link_type,link_type_name,name_description,type_code,traffic_flow_model,allowed_uses_p1,allowed_uses_p2,allowed_uses_p3,peak_load_factor_p1_auto,peak_load_factor_p1_bike,peak_load_factor_p1_walk,free_speed_bike,free_speed_walk,capacity_bike,capacity_walk,lanes_bike,lanes_walk,k_jam_km,meu_auto_bike,meu_auto_walk,meu_bike_walk,meu_bike_auto,meu_walk_bike,meu_walk_auto,emissions_auto_co2,emissions_auto_nox,emissions_bike_co2,emissions_bike_nox,emissions_walk_co2,emissions_walk_nox,emissions_ev_co2,emissions_ev_nox,emissions_truck_co2,emissions_truck_nox,emissions_bus_co2,emissions_bus_nox,emissions_hov_co2,emissions_hov_nox
302,Major Arterial,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3438,5.53516;0.0003;0.0043;0.0985,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3437,2;0.0003;0.0043;0.0985,23816.14583;0.0002;0.0042;0.3438,6.342370833;0.0003;0.0043;0.0985,25115.20833;0.0002;0.0042;0.3438,6.688318333;0.0003;0.0043;0.0985,10392.99771;0.0002;0.0042;0.3438,2;0.0003;0.0043;0.0985
303,Minor Arterial,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3439,5.53516;0.0003;0.0043;0.0986,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3438,2;0.0003;0.0043;0.0986,23816.14583;0.0002;0.0042;0.3439,6.342370833;0.0003;0.0043;0.0986,25115.20833;0.0002;0.0042;0.3439,6.688318333;0.0003;0.0043;0.0986,10392.99771;0.0002;0.0042;0.3439,2;0.0003;0.0043;0.0986
304,Collector,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3440,5.53516;0.0003;0.0043;0.0987,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3439,2;0.0003;0.0043;0.0987,23816.14583;0.0002;0.0042;0.3440,6.342370833;0.0003;0.0043;0.0987,25115.20833;0.0002;0.0042;0.3440,6.688318333;0.0003;0.0043;0.0987,10392.99771;0.0002;0.0042;0.3440,2;0.0003;0.0043;0.0987
305,Expressway,,f,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3441,5.53516;0.0003;0.0043;0.0988,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3440,2;0.0003;0.0043;0.0988,23816.14583;0.0002;0.0042;0.3441,6.342370833;0.0003;0.0043;0.0988,25115.20833;0.0002;0.0042;0.3441,6.688318333;0.0003;0.0043;0.0988,10392.99771;0.0002;0.0042;0.3441,2;0.0003;0.0043;0.0988
306,Ramp,,r,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3442,5.53516;0.0003;0.0043;0.0989,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3441,2;0.0003;0.0043;0.0989,23816.14583;0.0002;0.0042;0.3442,6.342370833;0.0003;0.0043;0.0989,25115.20833;0.0002;0.0042;0.3442,6.688318333;0.0003;0.0043;0.0989,10392.99771;0.0002;0.0042;0.3442,2;0.0003;0.0043;0.0989
400,Centroids,,c,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,,,,,,,,,,,,,,
401,Freeways,,f,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3444,5.53516;0.0003;0.0043;0.0991,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3443,2;0.0003;0.0043;0.0991,23816.14583;0.0002;0.0042;0.3444,6.342370833;0.0003;0.0043;0.0991,25115.20833;0.0002;0.0042;0.3444,6.688318333;0.0003;0.0043;0.0991,10392.99771;0.0002;0.0042;0.3444,2;0.0003;0.0043;0.0991
402,Major Arterial,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3445,5.53516;0.0003;0.0043;0.0992,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3444,2;0.0003;0.0043;0.0992,23816.14583;0.0002;0.0042;0.3445,6.342370833;0.0003;0.0043;0.0992,25115.20833;0.0002;0.0042;0.3445,6.688318333;0.0003;0.0043;0.0992,10392.99771;0.0002;0.0042;0.3445,2;0.0003;0.0043;0.0992
403,Minor Arterial,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3446,5.53516;0.0003;0.0043;0.0993,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3445,2;0.0003;0.0043;0.0993,23816.14583;0.0002;0.0042;0.3446,6.342370833;0.0003;0.0043;0.0993,25115.20833;0.0002;0.0042;0.3446,6.688318333;0.0003;0.0043;0.0993,10392.99771;0.0002;0.0042;0.3446,2;0.0003;0.0043;0.0993
404,Collector,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3447,5.53516;0.0003;0.0043;0.0994,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3446,2;0.0003;0.0043;0.0994,23816.14583;0.0002;0.0042;0.3447,6.342370833;0.0003;0.0043;0.0994,25115.20833;0.0002;0.0042;0.3447,6.688318333;0.0003;0.0043;0.0994,10392.99771;0.0002;0.0042;0.3447,2;0.0003;0.0043;0.0994
405,Expressway,,f,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3448,5.53516;0.0003;0.0043;0.0995,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3447,2;0.0003;0.0043;0.0995,23816.14583;0.0002;0.0042;0.3448,6.342370833;0.0003;0.0043;0.0995,25115.20833;0.0002;0.0042;0.3448,6.688318333;0.0003;0.0043;0.0995,10392.99771;0.0002;0.0042;0.3448,2;0.0003;0.0043;0.0995
406,Ramp,,r,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3449,5.53516;0.0003;0.0043;0.0996,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3448,2;0.0003;0.0043;0.0996,23816.14583;0.0002;0.0042;0.3449,6.342370833;0.0003;0.0043;0.0996,25115.20833;0.0002;0.0042;0.3449,6.688318333;0.0003;0.0043;0.0996,10392.99771;0.0002;0.0042;0.3449,2;0.0003;0.0043;0.0996
500,Centroids,,c,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,,,,,,,,,,,,,,
501,Freeways,,f,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3451,5.53516;0.0003;0.0043;0.0998,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3450,2;0.0003;0.0043;0.0998,23816.14583;0.0002;0.0042;0.3451,6.342370833;0.0003;0.0043;0.0998,25115.20833;0.0002;0.0042;0.3451,6.688318333;0.0003;0.0043;0.0998,10392.99771;0.0002;0.0042;0.3451,2;0.0003;0.0043;0.0998
502,Major Arterial,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3452,5.53516;0.0003;0.0043;0.0999,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3451,2;0.0003;0.0043;0.0999,23816.14583;0.0002;0.0042;0.3452,6.342370833;0.0003;0.0043;0.0999,25115.20833;0.0002;0.0042;0.3452,6.688318333;0.0003;0.0043;0.0999,10392.99771;0.0002;0.0042;0.3452,2;0.0003;0.0043;0.0999
503,Minor Arterial,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3453,5.53516;0.0003;0.0043;0.1000,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3452,2;0.0003;0.0043;0.1000,23816.14583;0.0002;0.0042;0.3453,6.342370833;0.0003;0.0043;0.1000,25115.20833;0.0002;0.0042;0.3453,6.688318333;0.0003;0.0043;0.1000,10392.99771;0.0002;0.0042;0.3453,2;0.0003;0.0043;0.1000
504,Collector,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3454,5.53516;0.0003;0.0043;0.1001,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3453,2;0.0003;0.0043;0.1001,23816.14583;0.0002;0.0042;0.3454,6.342370833;0.0003;0.0043;0.1001,25115.20833;0.0002;0.0042;0.3454,6.688318333;0.0003;0.0043;0.1001,10392.99771;0.0002;0.0042;0.3454,2;0.0003;0.0043;0.1001
505,Expressway,,f,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3455,5.53516;0.0003;0.0043;0.1002,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3454,2;0.0003;0.0043;0.1002,23816.14583;0.0002;0.0042;0.3455,6.342370833;0.0003;0.0043;0.1002,25115.20833;0.0002;0.0042;0.3455,6.688318333;0.0003;0.0043;0.1002,10392.99771;0.0002;0.0042;0.3455,2;0.0003;0.0043;0.1002
506,Ramp,,r,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3456,5.53516;0.0003;0.0043;0.1003,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3455,2;0.0003;0.0043;0.1003,23816.14583;0.0002;0.0042;0.3456,6.342370833;0.0003;0.0043;0.1003,25115.20833;0.0002;0.0042;0.3456,6.688318333;0.0003;0.0043;0.1003,10392.99771;0.0002;0.0042;0.3456,2;0.0003;0.0043;0.1003
600,Centroids,,c,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,,,,,,,,,,,,,,
601,Freeways,,f,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3458,5.53516;0.0003;0.0043;0.1005,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3457,2;0.0003;0.0043;0.1005,23816.14583;0.0002;0.0042;0.3458,6.342370833;0.0003;0.0043;0.1005,25115.20833;0.0002;0.0042;0.3458,6.688318333;0.0003;0.0043;0.1005,10392.99771;0.0002;0.0042;0.3458,2;0.0003;0.0043;0.1005
602,Major Arterial,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3459,5.53516;0.0003;0.0043;0.1006,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3458,2;0.0003;0.0043;0.1006,23816.14583;0.0002;0.0042;0.3459,6.342370833;0.0003;0.0043;0.1006,25115.20833;0.0002;0.0042;0.3459,6.688318333;0.0003;0.0043;0.1006,10392.99771;0.0002;0.0042;0.3459,2;0.0003;0.0043;0.1006
603,Minor Arterial,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3460,5.53516;0.0003;0.0043;0.1007,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3459,2;0.0003;0.0043;0.1007,23816.14583;0.0002;0.0042;0.3460,6.342370833;0.0003;0.0043;0.1007,25115.20833;0.0002;0.0042;0.3460,6.688318333;0.0003;0.0043;0.1007,10392.99771;0.0002;0.0042;0.3460,2;0.0003;0.0043;0.1007
604,Collector,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3461,5.53516;0.0003;0.0043;0.1008,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3460,2;0.0003;0.0043;0.1008,23816.14583;0.0002;0.0042;0.3461,6.342370833;0.0003;0.0043;0.1008,25115.20833;0.0002;0.0042;0.3461,6.688318333;0.0003;0.0043;0.1008,10392.99771;0.0002;0.0042;0.3461,2;0.0003;0.0043;0.1008
605,Expressway,,f,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3462,5.53516;0.0003;0.0043;0.1009,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3461,2;0.0003;0.0043;0.1009,23816.14583;0.0002;0.0042;0.3462,6.342370833;0.0003;0.0043;0.1009,25115.20833;0.0002;0.0042;0.3462,6.688318333;0.0003;0.0043;0.1009,10392.99771;0.0002;0.0042;0.3462,2;0.0003;0.0043;0.1009
