agent_id,seq_no,node_id,timestamp,timestamp_in_min,trip_time_in_min,travel_time_in_sec,waiting_time_in_simu_interval,x_coord,y_coord
49,1,1,T0711:29.000,431.48334,0.000000,924.9994,99,0.000000,-0.100000
49,2,4,T0726:54.000,446.89999,15.416656,900.0000,0,19.700000,-9.700000
50,1,1,T0711:38.000,431.63333,0.000000,923.9996,95,0.000000,-0.100000
50,2,4,T0727:02.000,447.03333,15.399994,900.0000,0,19.700000,-9.700000
51,1,1,T0711:43.749,431.72916,0.000000,925.2502,101,0.000000,-0.100000
51,2,4,T0727:09.000,447.14999,15.420837,900.0000,0,19.700000,-9.700000
52,1,1,T0711:52.500,431.87500,0.000000,923.4998,93,0.000000,-0.100000
52,2,4,T0727:16.000,447.26666,15.391663,900.0000,0,19.700000,-9.700000
53,1,1,T0712:01.250,432.02084,0.000000,922.7490,90,0.000000,-0.100000
53,2,4,T0727:24.000,447.39999,15.379150,900.0000,0,19.700000,-9.700000
54,1,1,T0712:07.000,432.11667,0.000000,925.9991,103,0.000000,-0.100000
54,2,4,T0727:33.000,447.54999,15.433319,900.0000,0,19.700000,-9.700000
55,1,1,T0712:16.000,432.26666,0.000000,927.0007,108,0.000000,-0.100000
55,2,4,T0727:43.000,447.71667,15.450012,900.0000,0,19.700000,-9.700000
56,1,1,T0712:24.750,432.41251,0.000000,926.2500,105,0.000000,-0.100000
56,2,4,T0727:51.000,447.85001,15.437500,900.0000,0,19.700000,-9.700000
57,1,1,T0712:30.499,432.50833,0.000000,929.5001,118,0.000000,-0.100000
57,2,4,T0728:00.000,448.00000,15.491669,900.0000,0,19.700000,-9.700000
58,1,1,T0712:39.250,432.65417,0.000000,929.7491,118,0.000000,-0.100000
58,2,4,T0728:09.000,448.14999,15.495819,900.0000,0,19.700000,-9.700000
59,1,1,T0712:48.000,432.79999,0.000000,932.0013,128,0.000000,-0.100000
59,2,4,T0728:20.000,448.33334,15.533356,900.0000,0,19.700000,-9.700000
60,1,1,T0712:54.000,432.89999,0.000000,935.0006,140,0.000000,-0.100000
60,2,4,T0728:29.000,448.48334,15.583344,900.0000,0,19.700000,-9.700000
61,1,1,T0713:02.750,433.04584,0.000000,934.2499,136,0.000000,-0.100000
61,2,4,T0728:37.000,448.61667,15.570831,900.0000,0,19.700000,-9.700000
62,1,1,T0713:11.500,433.19168,0.000000,933.4991,133,0.000000,-0.100000
62,2,4,T0728:45.000,448.75000,15.558319,900.0000,0,19.700000,-9.700000
63,1,1,T0713:17.250,433.28751,0.000000,934.7498,138,0.000000,-0.100000
63,2,4,T0728:52.000,448.86667,15.579163,900.0000,0,19.700000,-9.700000
64,1,1,T0713:26.250,433.43750,0.000000,933.7500,135,0.000000,-0.100000
64,2,4,T0729:00.000,449.00000,15.562500,900.0000,0,19.700000,-9.700000
65,1,1,T0713:35.000,433.58334,0.000000,934.9988,139,0.000000,-0.100000
65,2,4,T0729:10.000,449.16666,15.583313,900.0000,0,19.700000,-9.700000
66,1,1,T0713:40.750,433.67917,0.000000,939.2505,157,0.000000,-0.100000
66,2,4,T0729:20.000,449.33334,15.654175,900.0000,0,19.700000,-9.700000
67,1,1,T0713:49.500,433.82501,0.000000,940.4993,161,0.000000,-0.100000
67,2,4,T0729:30.000,449.50000,15.674988,900.0000,0,19.700000,-9.700000
68,1,1,T0713:58.249,433.97083,0.000000,942.7496,170,0.000000,-0.100000
68,2,4,T0729:41.000,449.68332,15.712494,900.0000,0,19.700000,-9.700000
69,1,1,T0714:04.249,434.07083,0.000000,943.7494,174,0.000000,-0.100000
69,2,4,T0729:48.000,449.79999,15.729156,900.0000,0,19.700000,-9.700000
70,1,1,T0714:13.000,434.21667,0.000000,941.9989,167,0.000000,-0.100000
70,2,4,T0729:55.000,449.91666,15.699982,900.0000,0,19.700000,-9.700000
71,1,1,T0714:21.749,434.36249,0.000000,942.2516,169,0.000000,-0.100000
71,2,4,T0730:04.000,450.06668,15.704193,900.0000,0,19.700000,-9.700000
72,1,1,T0714:27.500,434.45834,0.000000,947.4994,189,0.000000,-0.100000
72,2,4,T0730:15.000,450.25000,15.791656,900.0000,0,19.700000,-9.700000
73,1,1,T0714:36.249,434.60416,0.000000,948.7500,195,0.000000,-0.100000
73,2,4,T0730:25.000,450.41666,15.812500,900.0000,0,19.700000,-9.700000
74,1,1,T0714:45.250,434.75418,0.000000,948.7500,195,0.000000,-0.100000
74,2,4,T0730:34.000,450.56668,15.812500,900.0000,0,19.700000,-9.700000
75,1,1,T0714:51.000,434.85001,0.000000,949.9988,199,0.000000,-0.100000
75,2,4,T0730:41.000,450.68332,15.833313,900.0000,0,19.700000,-9.700000
76,1,1,T0714:59.749,434.99582,0.000000,951.2512,205,0.000000,-0.100000
76,2,4,T0730:51.000,450.85001,15.854187,900.0000,0,19.700000,-9.700000
77,1,1,T0715:08.499,435.14166,0.000000,952.5000,210,0.000000,-0.100000
77,2,4,T0731:01.000,451.01666,15.875000,900.0000,0,19.700000,-9.700000
78,1,1,T0715:14.749,435.24582,0.000000,954.2505,217,0.000000,-0.100000
78,2,4,T0731:09.000,451.14999,15.904175,900.0000,0,19.700000,-9.700000
79,1,1,T0715:24.000,435.39999,0.000000,952.0001,208,0.000000,-0.100000
79,2,4,T0731:16.000,451.26666,15.866669,900.0000,0,19.700000,-9.700000
80,1,1,T0715:33.250,435.55417,0.000000,951.7493,206,0.000000,-0.100000
80,2,4,T0731:25.000,451.41666,15.862488,900.0000,0,19.700000,-9.700000
81,1,1,T0715:39.250,435.65417,0.000000,953.7488,214,0.000000,-0.100000
81,2,4,T0731:33.000,451.54999,15.895813,900.0000,0,19.700000,-9.700000
82,1,1,T0715:48.499,435.80832,0.000000,951.5002,206,0.000000,-0.100000
82,2,4,T0731:40.000,451.66666,15.858337,900.0000,0,19.700000,-9.700000
83,1,1,T0715:57.749,435.96249,0.000000,950.2496,200,0.000000,-0.100000
83,2,4,T0731:48.000,451.79999,15.837494,900.0000,0,19.700000,-9.700000
84,1,1,T0716:03.750,436.06250,0.000000,952.2491,208,0.000000,-0.100000
84,2,4,T0731:56.000,451.93332,15.870819,900.0000,0,19.700000,-9.700000
85,1,1,T0716:13.000,436.21667,0.000000,949.9988,199,0.000000,-0.100000
85,2,4,T0732:03.000,452.04999,15.833313,900.0000,0,19.700000,-9.700000
86,1,1,T0716:22.249,436.37082,0.000000,948.7500,195,0.000000,-0.100000
86,2,4,T0732:11.000,452.18332,15.812500,900.0000,0,19.700000,-9.700000
87,1,1,T0716:28.500,436.47501,0.000000,952.5000,210,0.000000,-0.100000
87,2,4,T0732:21.000,452.35001,15.875000,900.0000,0,19.700000,-9.700000
88,1,1,T0716:37.500,436.62500,0.000000,951.5002,206,0.000000,-0.100000
88,2,4,T0732:29.000,452.48334,15.858337,900.0000,0,19.700000,-9.700000
89,1,1,T0716:46.750,436.77917,0.000000,949.2499,196,0.000000,-0.100000
89,2,4,T0732:36.000,452.60001,15.820831,900.0000,0,19.700000,-9.700000
90,1,1,T0716:53.000,436.88333,0.000000,950.0006,200,0.000000,-0.100000
90,2,4,T0732:43.000,452.71667,15.833344,900.0000,0,19.700000,-9.700000
91,1,1,T0717:02.250,437.03751,0.000000,947.7502,191,0.000000,-0.100000
91,2,4,T0732:50.000,452.83334,15.795837,900.0000,0,19.700000,-9.700000
92,1,1,T0717:11.250,437.18750,0.000000,948.7500,195,0.000000,-0.100000
92,2,4,T0733:00.000,453.00000,15.812500,900.0000,0,19.700000,-9.700000
93,1,1,T0717:17.499,437.29166,0.000000,949.5007,198,0.000000,-0.100000
93,2,4,T0733:07.000,453.11667,15.825012,900.0000,0,19.700000,-9.700000
94,1,1,T0717:26.749,437.44583,0.000000,947.2504,189,0.000000,-0.100000
94,2,4,T0733:14.000,453.23334,15.787506,900.0000,0,19.700000,-9.700000
95,1,1,T0717:36.000,437.60001,0.000000,945.0000,180,0.000000,-0.100000
95,2,4,T0733:21.000,453.35001,15.750000,900.0000,0,19.700000,-9.700000
96,1,1,T0717:42.000,437.70001,0.000000,946.9995,187,0.000000,-0.100000
96,2,4,T0733:29.000,453.48334,15.783325,900.0000,0,19.700000,-9.700000
97,1,1,T0717:51.249,437.85416,0.000000,945.7507,183,0.000000,-0.100000
97,2,4,T0733:37.000,453.61667,15.762512,900.0000,0,19.700000,-9.700000
98,1,1,T0718:00.499,438.00833,0.000000,947.4994,189,0.000000,-0.100000
98,2,4,T0733:48.000,453.79999,15.791656,900.0000,0,19.700000,-9.700000
99,1,1,T0718:06.749,438.11249,0.000000,950.2515,201,0.000000,-0.100000
99,2,4,T0733:57.000,453.95001,15.837524,900.0000,0,19.700000,-9.700000
100,1,1,T0718:15.750,438.26251,0.000000,950.2496,200,0.000000,-0.100000
100,2,4,T0734:06.000,454.10001,15.837494,900.0000,0,19.700000,-9.700000
101,1,1,T0718:25.000,438.41666,0.000000,951.0004,204,0.000000,-0.100000
