link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,meso_link_id,from_cell_code,lanes,length,free_speed_kmph,free_speed_mph,FFTT,time_period,inflow_volume,volume,CA,CD,density,queue,queue_ratio,discharge_cap,TD_free_flow_travel_time,waiting_time_in_sec,speed,geometry,notes
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0731:00.000_0732:00.000,49.000,53.000,1407.000,592.000,54.333,815.000,0.181,50.000,15.006,0.369,59.975,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0732:00.000_0733:00.000,56.000,52.000,1463.000,644.000,54.600,819.000,0.182,50.000,15.005,0.276,59.982,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0733:00.000_0734:00.000,49.000,52.000,1512.000,696.000,54.400,816.000,0.181,50.000,15.006,0.356,59.976,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0734:00.000_0735:00.000,56.000,45.000,1568.000,741.000,55.133,827.000,0.184,50.000,15.005,0.274,59.982,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0735:00.000_0736:00.000,49.000,52.000,1617.000,793.000,54.933,824.000,0.183,50.000,15.005,0.308,59.979,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0736:00.000_0737:00.000,49.000,53.000,1666.000,846.000,54.667,820.000,0.182,50.000,15.005,0.323,59.978,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0737:00.000_0738:00.000,49.000,48.000,1715.000,894.000,54.733,821.000,0.182,50.000,15.007,0.406,59.973,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0738:00.000_0739:00.000,56.000,49.000,1771.000,943.000,55.200,828.000,0.184,50.000,15.006,0.387,59.974,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0739:00.000_0740:00.000,56.000,46.000,1827.000,989.000,55.867,838.000,0.186,50.000,15.006,0.337,59.978,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0740:00.000_0741:00.000,49.000,52.000,1876.000,1041.000,55.667,835.000,0.186,50.000,15.008,0.473,59.968,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0741:00.000_0742:00.000,56.000,51.000,1932.000,1092.000,56.000,840.000,0.187,50.000,15.006,0.377,59.975,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0742:00.000_0743:00.000,49.000,50.000,1981.000,1142.000,55.933,839.000,0.186,50.000,15.008,0.504,59.966,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0743:00.000_0744:00.000,56.000,47.000,2037.000,1189.000,56.533,848.000,0.188,50.000,15.007,0.414,59.972,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0744:00.000_0745:00.000,49.000,51.000,2086.000,1240.000,56.400,846.000,0.188,50.000,15.008,0.494,59.967,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0745:00.000_0746:00.000,49.000,55.000,2135.000,1295.000,56.000,840.000,0.187,50.000,15.009,0.563,59.962,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0746:00.000_0747:00.000,56.000,53.000,2191.000,1348.000,56.200,843.000,0.187,50.000,15.008,0.508,59.966,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0747:00.000_0748:00.000,56.000,47.000,2247.000,1395.000,56.800,852.000,0.189,50.000,15.008,0.450,59.970,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0748:00.000_0749:00.000,49.000,50.000,2296.000,1445.000,56.733,851.000,0.189,50.000,15.010,0.615,59.959,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0749:00.000_0750:00.000,56.000,55.000,2352.000,1500.000,56.800,852.000,0.189,50.000,15.009,0.544,59.964,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
