first_column,agent_id,o_zone_id,d_zone_id,path_id,display_code,impacted_flag,info_receiving_flag,diverted_flag,mode_type_no,mode_type,demand_period,volume,toll,departure_time,travel_time,distance_km,distance_mile,speed_kmph,speed_mph,waiting_time,max_link_waiting_time,max_wait_link,node_sequence,time_sequence,geometry
,30,1,2,0,0,0,0,0,0,auto,am,1,0,426.0855,20.0978,20.0000,12.4301,59.7080,37.1087,0.0,0.0,,1;3;2;,0706:11.000;0716:11.000;0726:11.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,31,1,2,0,0,0,0,0,0,auto,am,1,0,426.1384,20.0991,20.0000,12.4301,59.7041,37.1063,0.0,0.0,,1;3;2;,0706:14.249;0716:14.249;0726:14.249;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,32,1,2,0,0,0,0,0,0,auto,am,1,0,426.1912,20.0963,20.0000,12.4301,59.7125,37.1116,0.0,0.0,,1;3;2;,0706:17.250;0716:17.250;0726:17.250;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,33,1,2,0,0,0,0,0,0,auto,am,1,0,426.1941,20.1059,20.0000,12.4301,59.6839,37.0938,0.0,0.0,,1;3;2;,0706:17.499;0716:18.000;0726:18.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,34,1,2,0,0,0,0,0,0,auto,am,1,0,426.2469,20.0989,20.0000,12.4301,59.7047,37.1067,0.0,0.0,,1;3;2;,0706:20.749;0716:20.749;0726:20.749;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,35,1,2,0,0,0,0,0,0,auto,am,1,0,426.2998,20.0961,20.0000,12.4301,59.7132,37.1120,0.0,0.0,,1;3;2;,0706:23.750;0716:23.750;0726:23.750;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,36,1,2,0,0,0,0,0,0,auto,am,1,0,426.3026,20.0974,20.0000,12.4301,59.7093,37.1096,0.0,0.0,,1;3;2;,0706:24.000;0716:24.000;0726:24.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,37,1,2,0,0,0,0,0,0,auto,am,1,0,426.3555,20.0987,20.0000,12.4301,59.7054,37.1071,0.0,0.0,,1;3;2;,0706:27.249;0716:27.249;0726:27.249;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,38,1,2,0,0,0,0,0,0,auto,am,1,0,426.4083,20.0958,20.0000,12.4301,59.7138,37.1124,0.0,0.0,,1;3;2;,0706:30.250;0716:30.250;0726:30.250;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,39,1,2,0,0,0,0,0,0,auto,am,1,0,426.4112,20.1055,20.0000,12.4301,59.6852,37.0946,0.0,0.0,,1;3;2;,0706:30.499;0716:31.000;0726:31.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,40,1,2,0,0,0,0,0,0,auto,am,1,0,426.4640,20.0985,20.0000,12.4301,59.7060,37.1075,0.0,0.0,,1;3;2;,0706:33.750;0716:33.750;0726:33.750;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,41,1,2,0,0,0,0,0,0,auto,am,1,0,426.5169,20.0998,20.0000,12.4301,59.7021,37.1051,0.0,0.0,,1;3;2;,0706:37.000;0716:37.000;0726:37.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,42,1,2,0,0,0,0,0,0,auto,am,1,0,426.5197,20.1136,20.0000,12.4301,59.6611,37.0796,0.0,0.0,,1;3;2;,0706:37.000;0716:38.000;0726:38.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
