link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,meso_link_id,from_cell_code,lanes,length,free_speed_kmph,free_speed_mph,FFTT,time_period,inflow_volume,outflow_volume,CA,CD,density,queue_length_in_process,queue_ratio,discharge_cap,TD_free_flow_travel_time,waiting_time_in_sec,speed_kmph,speed_mph,geometry,notes
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0741:00.000_0740:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0742:00.000_0741:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0743:00.000_0742:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0744:00.000_0743:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0745:00.000_0744:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0746:00.000_0745:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0747:00.000_0746:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0748:00.000_0747:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0749:00.000_0748:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0750:00.000_0749:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0751:00.000_0750:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0752:00.000_0751:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0753:00.000_0752:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0754:00.000_0753:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
