agent_id,seq_no,node_id,timestamp,timestamp_in_min,trip_time_in_min,travel_time_in_sec,waiting_time_in_simu_interval,x_coord,y_coord
102,2,3,T0718:48.000,438.79999,10.012482,600.0000,0,19.778254,14.806867
103,1,1,T0708:50.500,428.84167,0.000000,600.0000,0,0.017882,-0.125179
103,2,3,T0718:50.500,438.84167,10.000000,600.0000,0,19.778254,14.806867
104,1,1,T0708:53.750,428.89584,0.000000,600.0000,0,0.017882,-0.125179
104,2,3,T0718:53.750,438.89584,10.000000,600.0000,0,19.778254,14.806867
105,1,1,T0708:53.750,428.89584,0.000000,600.2490,0,0.017882,-0.125179
105,2,3,T0718:54.000,438.89999,10.004150,600.0000,0,19.778254,14.806867
106,1,1,T0708:57.000,428.95001,0.000000,600.0000,0,0.017882,-0.125179
106,2,3,T0718:57.000,438.95001,10.000000,600.0000,0,19.778254,14.806867
107,1,1,T0709:00.250,429.00418,0.000000,600.0000,0,0.017882,-0.125179
107,2,3,T0719:00.250,439.00418,10.000000,600.0000,0,19.778254,14.806867
108,1,1,T0709:00.250,429.00418,0.000000,600.7489,2,0.017882,-0.125179
108,2,3,T0719:01.000,439.01666,10.012482,600.0000,0,19.778254,14.806867
109,1,1,T0709:03.499,429.05832,0.000000,600.0000,0,0.017882,-0.125179
109,2,3,T0719:03.499,439.05832,10.000000,600.0000,0,19.778254,14.806867
110,1,1,T0709:06.749,429.11249,0.000000,600.0000,0,0.017882,-0.125179
110,2,3,T0719:06.749,439.11249,10.000000,600.0000,0,19.778254,14.806867
111,1,1,T0709:06.749,429.11249,0.000000,600.2509,1,0.017882,-0.125179
111,2,3,T0719:07.000,439.11667,10.004181,600.0000,0,19.778254,14.806867
112,1,1,T0709:10.000,429.16666,0.000000,600.0000,0,0.017882,-0.125179
112,2,3,T0719:10.000,439.16666,10.000000,600.0000,0,19.778254,14.806867
113,1,1,T0709:13.249,429.22083,0.000000,600.0000,0,0.017882,-0.125179
113,2,3,T0719:13.249,439.22083,10.000000,600.0000,0,19.778254,14.806867
114,1,1,T0709:13.249,429.22083,0.000000,600.7507,3,0.017882,-0.125179
114,2,3,T0719:14.000,439.23334,10.012512,600.0000,0,19.778254,14.806867
115,1,1,T0709:16.499,429.27499,0.000000,600.0000,0,0.017882,-0.125179
115,2,3,T0719:16.499,439.27499,10.000000,600.0000,0,19.778254,14.806867
116,1,1,T0709:19.749,429.32916,0.000000,600.0000,0,0.017882,-0.125179
116,2,3,T0719:19.749,439.32916,10.000000,600.0000,0,19.778254,14.806867
117,1,1,T0709:20.000,429.33334,0.000000,600.0000,0,0.017882,-0.125179
117,2,3,T0719:20.000,439.33334,10.000000,600.0000,0,19.778254,14.806867
118,1,1,T0709:23.000,429.38333,0.000000,600.0000,0,0.017882,-0.125179
118,2,3,T0719:23.000,439.38333,10.000000,600.0000,0,19.778254,14.806867
119,1,1,T0709:26.250,429.43750,0.000000,600.0000,0,0.017882,-0.125179
119,2,3,T0719:26.250,439.43750,10.000000,600.0000,0,19.778254,14.806867
120,1,1,T0709:26.500,429.44168,0.000000,600.0000,0,0.017882,-0.125179
120,2,3,T0719:26.500,439.44168,10.000000,600.0000,0,19.778254,14.806867
121,1,1,T0709:29.500,429.49167,0.000000,600.0000,0,0.017882,-0.125179
121,2,3,T0719:29.500,439.49167,10.000000,600.0000,0,19.778254,14.806867
122,1,1,T0709:32.750,429.54584,0.000000,600.0000,0,0.017882,-0.125179
122,2,3,T0719:32.750,439.54584,10.000000,600.0000,0,19.778254,14.806867
123,1,1,T0709:33.000,429.54999,0.000000,600.0000,0,0.017882,-0.125179
123,2,3,T0719:33.000,439.54999,10.000000,600.0000,0,19.778254,14.806867
124,1,1,T0709:36.000,429.60001,0.000000,600.0000,0,0.017882,-0.125179
124,2,3,T0719:36.000,439.60001,10.000000,600.0000,0,19.778254,14.806867
125,1,1,T0709:39.250,429.65417,0.000000,600.0000,0,0.017882,-0.125179
125,2,3,T0719:39.250,439.65417,10.000000,600.0000,0,19.778254,14.806867
126,1,1,T0709:39.499,429.65833,0.000000,600.4999,1,0.017882,-0.125179
126,2,3,T0719:40.000,439.66666,10.008331,600.0000,0,19.778254,14.806867
127,1,1,T0709:42.500,429.70834,0.000000,600.0000,0,0.017882,-0.125179
127,2,3,T0719:42.500,439.70834,10.000000,600.0000,0,19.778254,14.806867
128,1,1,T0709:45.750,429.76251,0.000000,600.0000,0,0.017882,-0.125179
128,2,3,T0719:45.750,439.76251,10.000000,600.0000,0,19.778254,14.806867
129,1,1,T0709:46.000,429.76666,0.000000,600.0000,0,0.017882,-0.125179
129,2,3,T0719:46.000,439.76666,10.000000,600.0000,0,19.778254,14.806867
130,1,1,T0709:49.000,429.81668,0.000000,600.0000,0,0.017882,-0.125179
130,2,3,T0719:49.000,439.81668,10.000000,600.0000,0,19.778254,14.806867
131,1,1,T0709:52.249,429.87082,0.000000,600.0000,0,0.017882,-0.125179
131,2,3,T0719:52.249,439.87082,10.000000,600.0000,0,19.778254,14.806867
132,1,1,T0709:52.500,429.87500,0.000000,600.4999,1,0.017882,-0.125179
132,2,3,T0719:53.000,439.88333,10.008331,600.0000,0,19.778254,14.806867
133,1,1,T0709:55.499,429.92499,0.000000,600.0000,0,0.017882,-0.125179
133,2,3,T0719:55.499,439.92499,10.000000,600.0000,0,19.778254,14.806867
134,1,1,T0709:58.749,429.97916,0.000000,600.0000,0,0.017882,-0.125179
134,2,3,T0719:58.749,439.97916,10.000000,600.0000,0,19.778254,14.806867
135,1,1,T0709:59.000,429.98334,0.000000,600.0000,0,0.017882,-0.125179
