activity_zone_id,name,geometry,centroid,centroid_x,centroid_y,access_node_vector,total_poi_count
22,B11,"POLYGON ((55.15509999999999 25.134980000000002,55.15509999999999 25.13999,55.16010999999999 25.13999,55.16010999999999 25.134980000000002,55.15509999999999 25.134980000000002))",POINT (55.15760499999999 25.137485),55.15760499999999,25.137485,,0
23,C1,"POLYGON ((55.105000000000004 25.129970000000004,55.105000000000004 25.134980000000002,55.11001 25.134980000000002,55.11001 25.129970000000004,55.105000000000004 25.129970000000004))",POINT (55.107505 25.132475000000003),55.107505,25.132475000000003,,0
24,C2,"POLYGON ((55.11001 25.129970000000004,55.11001 25.134980000000002,55.11502 25.134980000000002,55.11502 25.129970000000004,55.11001 25.129970000000004))",POINT (55.112515 25.132475000000003),55.112515,25.132475000000003,,0
25,C3,"POLYGON ((55.11502 25.129970000000004,55.11502 25.134980000000002,55.12003 25.134980000000002,55.12003 25.129970000000004,55.11502 25.129970000000004))",POINT (55.1179606 25.1328941),55.1179606,25.1328941,552,0
26,C4,"POLYGON ((55.12003 25.129970000000004,55.12003 25.134980000000002,55.12504 25.134980000000002,55.12504 25.129970000000004,55.12003 25.129970000000004))",POINT (55.122535 25.132475000000003),55.122535,25.132475000000003,,0
27,C5,"POLYGON ((55.12504 25.129970000000004,55.12504 25.134980000000002,55.13005 25.134980000000002,55.13005 25.129970000000004,55.12504 25.129970000000004))",POINT (55.1275757 25.1316597),55.1275757,25.1316597,258,0
28,C6,"POLYGON ((55.13005 25.129970000000004,55.13005 25.134980000000002,55.135059999999996 25.134980000000002,55.135059999999996 25.129970000000004,55.13005 25.129970000000004))",POINT (55.1336552 25.1341335),55.1336552,25.1341335,120,0
29,C7,"POLYGON ((55.135059999999996 25.129970000000004,55.135059999999996 25.134980000000002,55.140069999999994 25.134980000000002,55.140069999999994 25.129970000000004,55.135059999999996 25.129970000000004))",POINT (55.137564999999995 25.132475000000003),55.137564999999995,25.132475000000003,,0
30,C8,"POLYGON ((55.140069999999994 25.129970000000004,55.140069999999994 25.134980000000002,55.14507999999999 25.134980000000002,55.14507999999999 25.129970000000004,55.140069999999994 25.129970000000004))",POINT (55.1447046 25.1314305),55.1447046,25.1314305,219,0
31,C9,"POLYGON ((55.14507999999999 25.129970000000004,55.14507999999999 25.134980000000002,55.15008999999999 25.134980000000002,55.15008999999999 25.129970000000004,55.14507999999999 25.129970000000004))",POINT (55.14758499999999 25.132475000000003),55.14758499999999,25.132475000000003,,0
32,C10,"POLYGON ((55.15008999999999 25.129970000000004,55.15008999999999 25.134980000000002,55.15509999999999 25.134980000000002,55.15509999999999 25.129970000000004,55.15008999999999 25.129970000000004))",POINT (55.15140195 25.133012049999998),55.15140195,25.133012049999998,490;491,0
33,C11,"POLYGON ((55.15509999999999 25.129970000000004,55.15509999999999 25.134980000000002,55.16010999999999 25.134980000000002,55.16010999999999 25.129970000000004,55.15509999999999 25.129970000000004))",POINT (55.15760499999999 25.132475000000003),55.15760499999999,25.132475000000003,,0
34,D1,"POLYGON ((55.105000000000004 25.124960000000005,55.105000000000004 25.129970000000004,55.11001 25.129970000000004,55.11001 25.124960000000005,55.105000000000004 25.124960000000005))",POINT (55.107505 25.127465000000004),55.107505,25.127465000000004,,0
35,D2,"POLYGON ((55.11001 25.124960000000005,55.11001 25.129970000000004,55.11502 25.129970000000004,55.11502 25.124960000000005,55.11001 25.124960000000005))",POINT (55.112515 25.127465000000004),55.112515,25.127465000000004,,0
36,D3,"POLYGON ((55.11502 25.124960000000005,55.11502 25.129970000000004,55.12003 25.129970000000004,55.12003 25.124960000000005,55.11502 25.124960000000005))",POINT (55.117525 25.127465000000004),55.117525,25.127465000000004,,0
37,D4,"POLYGON ((55.12003 25.124960000000005,55.12003 25.129970000000004,55.12504 25.129970000000004,55.12504 25.124960000000005,55.12003 25.124960000000005))",POINT (55.12428735 25.128181249999997),55.12428735,25.128181249999997,80;255,0
38,D5,"POLYGON ((55.12504 25.124960000000005,55.12504 25.129970000000004,55.13005 25.129970000000004,55.13005 25.124960000000005,55.12504 25.124960000000005))",POINT (55.127545 25.127465000000004),55.127545,25.127465000000004,,0
39,D6,"POLYGON ((55.13005 25.124960000000005,55.13005 25.129970000000004,55.135059999999996 25.129970000000004,55.135059999999996 25.124960000000005,55.13005 25.124960000000005))",POINT (55.132554999999996 25.127465000000004),55.132554999999996,25.127465000000004,,0
40,D7,"POLYGON ((55.135059999999996 25.124960000000005,55.135059999999996 25.129970000000004,55.140069999999994 25.129970000000004,55.140069999999994 25.124960000000005,55.135059999999996 25.124960000000005))",POINT (55.137564999999995 25.127465000000004),55.137564999999995,25.127465000000004,,0
41,D8,"POLYGON ((55.140069999999994 25.124960000000005,55.140069999999994 25.129970000000004,55.14507999999999 25.129970000000004,55.14507999999999 25.124960000000005,55.140069999999994 25.124960000000005))",POINT (55.142574999999994 25.127465000000004),55.142574999999994,25.127465000000004,,0
42,D9,"POLYGON ((55.14507999999999 25.124960000000005,55.14507999999999 25.129970000000004,55.15008999999999 25.129970000000004,55.15008999999999 25.124960000000005,55.14507999999999 25.124960000000005))",POINT (55.1464195 25.1278601),55.1464195,25.1278601,75,0
43,D10,"POLYGON ((55.15008999999999 25.124960000000005,55.15008999999999 25.129970000000004,55.15509999999999 25.129970000000004,55.15509999999999 25.124960000000005,55.15008999999999 25.124960000000005))",POINT (55.15259499999999 25.127465000000004),55.15259499999999,25.127465000000004,,0
44,D11,"POLYGON ((55.15509999999999 25.124960000000005,55.15509999999999 25.129970000000004,55.16010999999999 25.129970000000004,55.16010999999999 25.124960000000005,55.15509999999999 25.124960000000005))",POINT (55.15760499999999 25.127465000000004),55.15760499999999,25.127465000000004,,0
45,E1,"POLYGON ((55.105000000000004 25.119950000000006,55.105000000000004 25.124960000000005,55.11001 25.124960000000005,55.11001 25.119950000000006,55.105000000000004 25.119950000000006))",POINT (55.107505 25.122455000000006),55.107505,25.122455000000006,,0
46,E2,"POLYGON ((55.11001 25.119950000000006,55.11001 25.124960000000005,55.11502 25.124960000000005,55.11502 25.119950000000006,55.11001 25.119950000000006))",POINT (55.112515 25.122455000000006),55.112515,25.122455000000006,,0
47,E3,"POLYGON ((55.11502 25.119950000000006,55.11502 25.124960000000005,55.12003 25.124960000000005,55.12003 25.119950000000006,55.11502 25.119950000000006))",POINT (55.119584525 25.123513925),55.119584525,25.123513925,169;556;557;558,0
48,E4,"POLYGON ((55.12003 25.119950000000006,55.12003 25.124960000000005,55.12504 25.124960000000005,55.12504 25.119950000000006,55.12003 25.119950000000006))",POINT (55.122535 25.122455000000006),55.122535,25.122455000000006,,0
49,E5,"POLYGON ((55.12504 25.119950000000006,55.12504 25.124960000000005,55.13005 25.124960000000005,55.13005 25.119950000000006,55.12504 25.119950000000006))",POINT (55.127545 25.122455000000006),55.127545,25.122455000000006,,0
50,E6,"POLYGON ((55.13005 25.119950000000006,55.13005 25.124960000000005,55.135059999999996 25.124960000000005,55.135059999999996 25.119950000000006,55.13005 25.119950000000006))",POINT (55.132554999999996 25.122455000000006),55.132554999999996,25.122455000000006,,0
51,E7,"POLYGON ((55.135059999999996 25.119950000000006,55.135059999999996 25.124960000000005,55.140069999999994 25.124960000000005,55.140069999999994 25.119950000000006,55.135059999999996 25.119950000000006))",POINT (55.137564999999995 25.122455000000006),55.137564999999995,25.122455000000006,,0
52,E8,"POLYGON ((55.140069999999994 25.119950000000006,55.140069999999994 25.124960000000005,55.14507999999999 25.124960000000005,55.14507999999999 25.119950000000006,55.140069999999994 25.119950000000006))",POINT (55.142574999999994 25.122455000000006),55.142574999999994,25.122455000000006,,0
53,E9,"POLYGON ((55.14507999999999 25.119950000000006,55.14507999999999 25.124960000000005,55.15008999999999 25.124960000000005,55.15008999999999 25.119950000000006,55.14507999999999 25.119950000000006))",POINT (55.14702785 25.12196395),55.14702785,25.12196395,199;259,0
54,E10,"POLYGON ((55.15008999999999 25.119950000000006,55.15008999999999 25.124960000000005,55.15509999999999 25.124960000000005,55.15509999999999 25.119950000000006,55.15008999999999 25.119950000000006))",POINT (55.15259499999999 25.122455000000006),55.15259499999999,25.122455000000006,,0
55,E11,"POLYGON ((55.15509999999999 25.119950000000006,55.15509999999999 25.124960000000005,55.16010999999999 25.124960000000005,55.16010999999999 25.119950000000006,55.15509999999999 25.119950000000006))",POINT (55.15760499999999 25.122455000000006),55.15760499999999,25.122455000000006,,0
56,F1,"POLYGON ((55.105000000000004 25.114940000000008,55.105000000000004 25.119950000000006,55.11001 25.119950000000006,55.11001 25.114940000000008,55.105000000000004 25.114940000000008))",POINT (55.107505 25.117445000000007),55.107505,25.117445000000007,,0
57,F2,"POLYGON ((55.11001 25.114940000000008,55.11001 25.119950000000006,55.11502 25.119950000000006,55.11502 25.114940000000008,55.11001 25.114940000000008))",POINT (55.112515 25.117445000000007),55.112515,25.117445000000007,,0
58,F3,"POLYGON ((55.11502 25.114940000000008,55.11502 25.119950000000006,55.12003 25.119950000000006,55.12003 25.114940000000008,55.11502 25.114940000000008))",POINT (55.117525 25.117445000000007),55.117525,25.117445000000007,,0
59,F4,"POLYGON ((55.12003 25.114940000000008,55.12003 25.119950000000006,55.12504 25.119950000000006,55.12504 25.114940000000008,55.12003 25.114940000000008))",POINT (55.122535 25.117445000000007),55.122535,25.117445000000007,,0
60,F5,"POLYGON ((55.12504 25.114940000000008,55.12504 25.119950000000006,55.13005 25.119950000000006,55.13005 25.114940000000008,55.12504 25.114940000000008))",POINT (55.127545 25.117445000000007),55.127545,25.117445000000007,,0
61,F6,"POLYGON ((55.13005 25.114940000000008,55.13005 25.119950000000006,55.135059999999996 25.119950000000006,55.135059999999996 25.114940000000008,55.13005 25.114940000000008))",POINT (55.132554999999996 25.117445000000007),55.132554999999996,25.117445000000007,,0
62,F7,"POLYGON ((55.135059999999996 25.114940000000008,55.135059999999996 25.119950000000006,55.140069999999994 25.119950000000006,55.140069999999994 25.114940000000008,55.135059999999996 25.114940000000008))",POINT (55.137564999999995 25.117445000000007),55.137564999999995,25.117445000000007,,0
63,F8,"POLYGON ((55.140069999999994 25.114940000000008,55.140069999999994 25.119950000000006,55.14507999999999 25.119950000000006,55.14507999999999 25.114940000000008,55.140069999999994 25.114940000000008))",POINT (55.142574999999994 25.117445000000007),55.142574999999994,25.117445000000007,,0
64,F9,"POLYGON ((55.14507999999999 25.114940000000008,55.14507999999999 25.119950000000006,55.15008999999999 25.119950000000006,55.15008999999999 25.114940000000008,55.14507999999999 25.114940000000008))",POINT (55.14758499999999 25.117445000000007),55.14758499999999,25.117445000000007,,0
65,F10,"POLYGON ((55.15008999999999 25.114940000000008,55.15008999999999 25.119950000000006,55.15509999999999 25.119950000000006,55.15509999999999 25.114940000000008,55.15008999999999 25.114940000000008))",POINT (55.15259499999999 25.117445000000007),55.15259499999999,25.117445000000007,,0
66,F11,"POLYGON ((55.15509999999999 25.114940000000008,55.15509999999999 25.119950000000006,55.16010999999999 25.119950000000006,55.16010999999999 25.114940000000008,55.15509999999999 25.114940000000008))",POINT (55.15760499999999 25.117445000000007),55.15760499999999,25.117445000000007,,0
67,G1,"POLYGON ((55.105000000000004 25.10993000000001,55.105000000000004 25.114940000000008,55.11001 25.114940000000008,55.11001 25.10993000000001,55.105000000000004 25.10993000000001))",POINT (55.107505 25.11243500000001),55.107505,25.11243500000001,,0
68,G2,"POLYGON ((55.11001 25.10993000000001,55.11001 25.114940000000008,55.11502 25.114940000000008,55.11502 25.10993000000001,55.11001 25.10993000000001))",POINT (55.112515 25.11243500000001),55.112515,25.11243500000001,,0
69,G3,"POLYGON ((55.11502 25.10993000000001,55.11502 25.114940000000008,55.12003 25.114940000000008,55.12003 25.10993000000001,55.11502 25.10993000000001))",POINT (55.117525 25.11243500000001),55.117525,25.11243500000001,,0
70,G4,"POLYGON ((55.12003 25.10993000000001,55.12003 25.114940000000008,55.12504 25.114940000000008,55.12504 25.10993000000001,55.12003 25.10993000000001))",POINT (55.122535 25.11243500000001),55.122535,25.11243500000001,,0
71,G5,"POLYGON ((55.12504 25.10993000000001,55.12504 25.114940000000008,55.13005 25.114940000000008,55.13005 25.10993000000001,55.12504 25.10993000000001))",POINT (55.127545 25.11243500000001),55.127545,25.11243500000001,,0
72,G6,"POLYGON ((55.13005 25.10993000000001,55.13005 25.114940000000008,55.135059999999996 25.114940000000008,55.135059999999996 25.10993000000001,55.13005 25.10993000000001))",POINT (55.132554999999996 25.11243500000001),55.132554999999996,25.11243500000001,,0
73,G7,"POLYGON ((55.135059999999996 25.10993000000001,55.135059999999996 25.114940000000008,55.140069999999994 25.114940000000008,55.140069999999994 25.10993000000001,55.135059999999996 25.10993000000001))",POINT (55.137564999999995 25.11243500000001),55.137564999999995,25.11243500000001,,0
74,G8,"POLYGON ((55.140069999999994 25.10993000000001,55.140069999999994 25.114940000000008,55.14507999999999 25.114940000000008,55.14507999999999 25.10993000000001,55.140069999999994 25.10993000000001))",POINT (55.142574999999994 25.11243500000001),55.142574999999994,25.11243500000001,,0
75,G9,"POLYGON ((55.14507999999999 25.10993000000001,55.14507999999999 25.114940000000008,55.15008999999999 25.114940000000008,55.15008999999999 25.10993000000001,55.14507999999999 25.10993000000001))",POINT (55.1478214625 25.113706637499998),55.1478214625,25.113706637499998,449;459;463;466;541;542;543;544,0
76,G10,"POLYGON ((55.15008999999999 25.10993000000001,55.15008999999999 25.114940000000008,55.15509999999999 25.114940000000008,55.15509999999999 25.10993000000001,55.15008999999999 25.10993000000001))",POINT (55.1535007 25.1132946),55.1535007,25.1132946,554,0
77,G11,"POLYGON ((55.15509999999999 25.10993000000001,55.15509999999999 25.114940000000008,55.16010999999999 25.114940000000008,55.16010999999999 25.10993000000001,55.15509999999999 25.10993000000001))",POINT (55.156 25.1147449),55.156,25.1147449,377,0
78,H1,"POLYGON ((55.105000000000004 25.10492000000001,55.105000000000004 25.10993000000001,55.11001 25.10993000000001,55.11001 25.10492000000001,55.105000000000004 25.10492000000001))",POINT (55.107505 25.10742500000001),55.107505,25.10742500000001,,0
79,H2,"POLYGON ((55.11001 25.10492000000001,55.11001 25.10993000000001,55.11502 25.10993000000001,55.11502 25.10492000000001,55.11001 25.10492000000001))",POINT (55.112515 25.10742500000001),55.112515,25.10742500000001,,0
80,H3,"POLYGON ((55.11502 25.10492000000001,55.11502 25.10993000000001,55.12003 25.10993000000001,55.12003 25.10492000000001,55.11502 25.10492000000001))",POINT (55.1170369 25.1092486),55.1170369,25.1092486,539,0
81,H4,"POLYGON ((55.12003 25.10492000000001,55.12003 25.10993000000001,55.12504 25.10993000000001,55.12504 25.10492000000001,55.12003 25.10492000000001))",POINT (55.1210628 25.1054175),55.1210628,25.1054175,51,0
82,H5,"POLYGON ((55.12504 25.10492000000001,55.12504 25.10993000000001,55.13005 25.10993000000001,55.13005 25.10492000000001,55.12504 25.10492000000001))",POINT (55.1293617 25.1049248),55.1293617,25.1049248,281,0
83,H6,"POLYGON ((55.13005 25.10492000000001,55.13005 25.10993000000001,55.135059999999996 25.10993000000001,55.135059999999996 25.10492000000001,55.13005 25.10492000000001))",POINT (55.1336412 25.1061186),55.1336412,25.1061186,147,0
84,H7,"POLYGON ((55.135059999999996 25.10492000000001,55.135059999999996 25.10993000000001,55.140069999999994 25.10993000000001,55.140069999999994 25.10492000000001,55.135059999999996 25.10492000000001))",POINT (55.137564999999995 25.10742500000001),55.137564999999995,25.10742500000001,,0
85,H8,"POLYGON ((55.140069999999994 25.10492000000001,55.140069999999994 25.10993000000001,55.14507999999999 25.10993000000001,55.14507999999999 25.10492000000001,55.140069999999994 25.10492000000001))",POINT (55.142574999999994 25.10742500000001),55.142574999999994,25.10742500000001,,0
86,H9,"POLYGON ((55.14507999999999 25.10492000000001,55.14507999999999 25.10993000000001,55.15008999999999 25.10993000000001,55.15008999999999 25.10492000000001,55.14507999999999 25.10492000000001))",POINT (55.14758499999999 25.10742500000001),55.14758499999999,25.10742500000001,,0
87,H10,"POLYGON ((55.15008999999999 25.10492000000001,55.15008999999999 25.10993000000001,55.15509999999999 25.10993000000001,55.15509999999999 25.10492000000001,55.15008999999999 25.10492000000001))",POINT (55.15259499999999 25.10742500000001),55.15259499999999,25.10742500000001,,0
88,H11,"POLYGON ((55.15509999999999 25.10492000000001,55.15509999999999 25.10993000000001,55.16010999999999 25.10993000000001,55.16010999999999 25.10492000000001,55.15509999999999 25.10492000000001))",POINT (55.15760499999999 25.10742500000001),55.15760499999999,25.10742500000001,,0
89,I1,"POLYGON ((55.105000000000004 25.099910000000012,55.105000000000004 25.10492000000001,55.11001 25.10492000000001,55.11001 25.099910000000012,55.105000000000004 25.099910000000012))",POINT (55.107505 25.10241500000001),55.107505,25.10241500000001,,0
90,I2,"POLYGON ((55.11001 25.099910000000012,55.11001 25.10492000000001,55.11502 25.10492000000001,55.11502 25.099910000000012,55.11001 25.099910000000012))",POINT (55.112515 25.10241500000001),55.112515,25.10241500000001,,0
91,I3,"POLYGON ((55.11502 25.099910000000012,55.11502 25.10492000000001,55.12003 25.10492000000001,55.12003 25.099910000000012,55.11502 25.099910000000012))",POINT (55.117525 25.10241500000001),55.117525,25.10241500000001,,0
92,I4,"POLYGON ((55.12003 25.099910000000012,55.12003 25.10492000000001,55.12504 25.10492000000001,55.12504 25.099910000000012,55.12003 25.099910000000012))",POINT (55.122535 25.10241500000001),55.122535,25.10241500000001,,0
93,I5,"POLYGON ((55.12504 25.099910000000012,55.12504 25.10492000000001,55.13005 25.10492000000001,55.13005 25.099910000000012,55.12504 25.099910000000012))",POINT (55.12750165 25.104666),55.12750165,25.104666,180;532,0
94,I6,"POLYGON ((55.13005 25.099910000000012,55.13005 25.10492000000001,55.135059999999996 25.10492000000001,55.135059999999996 25.099910000000012,55.13005 25.099910000000012))",POINT (55.132554999999996 25.10241500000001),55.132554999999996,25.10241500000001,,0
95,I7,"POLYGON ((55.135059999999996 25.099910000000012,55.135059999999996 25.10492000000001,55.140069999999994 25.10492000000001,55.140069999999994 25.099910000000012,55.135059999999996 25.099910000000012))",POINT (55.137564999999995 25.10241500000001),55.137564999999995,25.10241500000001,,0
96,I8,"POLYGON ((55.140069999999994 25.099910000000012,55.140069999999994 25.10492000000001,55.14507999999999 25.10492000000001,55.14507999999999 25.099910000000012,55.140069999999994 25.099910000000012))",POINT (55.1421475 25.100448),55.1421475,25.100448,517,0
97,I9,"POLYGON ((55.14507999999999 25.099910000000012,55.14507999999999 25.10492000000001,55.15008999999999 25.10492000000001,55.15008999999999 25.099910000000012,55.14507999999999 25.099910000000012))",POINT (55.14758499999999 25.10241500000001),55.14758499999999,25.10241500000001,,0
98,I10,"POLYGON ((55.15008999999999 25.099910000000012,55.15008999999999 25.10492000000001,55.15509999999999 25.10492000000001,55.15509999999999 25.099910000000012,55.15008999999999 25.099910000000012))",POINT (55.15259499999999 25.10241500000001),55.15259499999999,25.10241500000001,,0
99,I11,"POLYGON ((55.15509999999999 25.099910000000012,55.15509999999999 25.10492000000001,55.16010999999999 25.10492000000001,55.16010999999999 25.099910000000012,55.15509999999999 25.099910000000012))",POINT (55.156 25.101073175),55.156,25.101073175,223;372;435;527,0
100,J1,"POLYGON ((55.105000000000004 25.094900000000013,55.105000000000004 25.099910000000012,55.11001 25.099910000000012,55.11001 25.094900000000013,55.105000000000004 25.094900000000013))",POINT (55.107505 25.097405000000013),55.107505,25.097405000000013,,0
101,J2,"POLYGON ((55.11001 25.094900000000013,55.11001 25.099910000000012,55.11502 25.099910000000012,55.11502 25.094900000000013,55.11001 25.094900000000013))",POINT (55.112515 25.097405000000013),55.112515,25.097405000000013,,0
102,J3,"POLYGON ((55.11502 25.094900000000013,55.11502 25.099910000000012,55.12003 25.099910000000012,55.12003 25.094900000000013,55.11502 25.094900000000013))",POINT (55.117525 25.097405000000013),55.117525,25.097405000000013,,0
103,J4,"POLYGON ((55.12003 25.094900000000013,55.12003 25.099910000000012,55.12504 25.099910000000012,55.12504 25.094900000000013,55.12003 25.094900000000013))",POINT (55.122535 25.097405000000013),55.122535,25.097405000000013,,0
104,J5,"POLYGON ((55.12504 25.094900000000013,55.12504 25.099910000000012,55.13005 25.099910000000012,55.13005 25.094900000000013,55.12504 25.094900000000013))",POINT (55.127545 25.097405000000013),55.127545,25.097405000000013,,0
105,J6,"POLYGON ((55.13005 25.094900000000013,55.13005 25.099910000000012,55.135059999999996 25.099910000000012,55.135059999999996 25.094900000000013,55.13005 25.094900000000013))",POINT (55.132554999999996 25.097405000000013),55.132554999999996,25.097405000000013,,0
106,J7,"POLYGON ((55.135059999999996 25.094900000000013,55.135059999999996 25.099910000000012,55.140069999999994 25.099910000000012,55.140069999999994 25.094900000000013,55.135059999999996 25.094900000000013))",POINT (55.13987365 25.09531185),55.13987365,25.09531185,530;531,0
107,J8,"POLYGON ((55.140069999999994 25.094900000000013,55.140069999999994 25.099910000000012,55.14507999999999 25.099910000000012,55.14507999999999 25.094900000000013,55.140069999999994 25.094900000000013))",POINT (55.1415377 25.0998097),55.1415377,25.0998097,518,0
108,J9,"POLYGON ((55.14507999999999 25.094900000000013,55.14507999999999 25.099910000000012,55.15008999999999 25.099910000000012,55.15008999999999 25.094900000000013,55.14507999999999 25.094900000000013))",POINT (55.14758499999999 25.097405000000013),55.14758499999999,25.097405000000013,,0
109,J10,"POLYGON ((55.15008999999999 25.094900000000013,55.15008999999999 25.099910000000012,55.15509999999999 25.099910000000012,55.15509999999999 25.094900000000013,55.15008999999999 25.094900000000013))",POINT (55.1521783 25.0955223),55.1521783,25.0955223,516,0
110,J11,"POLYGON ((55.15509999999999 25.094900000000013,55.15509999999999 25.099910000000012,55.16010999999999 25.099910000000012,55.16010999999999 25.094900000000013,55.15509999999999 25.094900000000013))",POINT (55.156 25.097887277777776),55.156,25.097887277777776,62;90;104;186;264;418;430;431;469,0
111,K1,"POLYGON ((55.105000000000004 25.089890000000015,55.105000000000004 25.094900000000013,55.11001 25.094900000000013,55.11001 25.089890000000015,55.105000000000004 25.089890000000015))",POINT (55.107505 25.092395000000014),55.107505,25.092395000000014,,0
112,K2,"POLYGON ((55.11001 25.089890000000015,55.11001 25.094900000000013,55.11502 25.094900000000013,55.11502 25.089890000000015,55.11001 25.089890000000015))",POINT (55.112515 25.092395000000014),55.112515,25.092395000000014,,0
113,K3,"POLYGON ((55.11502 25.089890000000015,55.11502 25.094900000000013,55.12003 25.094900000000013,55.12003 25.089890000000015,55.11502 25.089890000000015))",POINT (55.117525 25.092395000000014),55.117525,25.092395000000014,,0
114,K4,"POLYGON ((55.12003 25.089890000000015,55.12003 25.094900000000013,55.12504 25.094900000000013,55.12504 25.089890000000015,55.12003 25.089890000000015))",POINT (55.122535 25.092395000000014),55.122535,25.092395000000014,,0
115,K5,"POLYGON ((55.12504 25.089890000000015,55.12504 25.094900000000013,55.13005 25.094900000000013,55.13005 25.089890000000015,55.12504 25.089890000000015))",POINT (55.127545 25.092395000000014),55.127545,25.092395000000014,,0
