link_seq_id,link_id,based_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,lanes_s1,link_type_s0,link_type_s1,lanes_p1_s0_auto,lanes_p1_s0_info,lanes_p1_s1_auto,lanes_p1_s1_info,VOL_p1_s0_auto,VOL_p1_s0_info,VOL_p1_s1_auto,VOL_p1_s1_info,MEU_p1_s0_auto,MEU_p1_s0_info,MEU_p1_s1_auto,MEU_p1_s1_info,CAP_p1_s0_auto,CAP_p1_s0_info,CAP_p1_s1_auto,CAP_p1_s1_info,PEN_p1_s0_auto,PEN_p1_s0_info,PEN_p1_s1_auto,PEN_p1_s1_info,DOC_p1_s0_auto,DOC_p1_s0_info,DOC_p1_s1_auto,DOC_p1_s1_info,TT_p1_s0_auto,TT_p1_s0_info,TT_p1_s1_auto,TT_p1_s1_info,CO2_p1_s0_auto,CO2_p1_s0_info,CO2_p1_s1_auto,CO2_p1_s1_info,NOX_p1_s0_auto,NOX_p1_s0_info,NOX_p1_s1_auto,NOX_p1_s1_info,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,VOL_am_25nb_info,MEU_am_25nb_info,CAP_am_25nb_info,PEN_am_25nb_info,DOC_am_25nb_info,TT_am_25nb_info,CO2_am_25nb_info,NOX_am_25nb_info,VOL_am_2040_auto,MEU_am_2040_auto,CAP_am_2040_auto,PEN_am_2040_auto,DOC_am_2040_auto,TT_am_2040_auto,CO2_am_2040_auto,NOX_am_2040_auto,VOL_am_2040_info,MEU_am_2040_info,CAP_am_2040_info,PEN_am_2040_info,DOC_am_2040_info,TT_am_2040_info,CO2_am_2040_info,NOX_am_2040_info,
11,11,motorway,1,14,"LINESTRING (-112.2164130 33.6539270, -112.2113330 33.6484510)",0.768430,0.477582,0.768430,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.2,0.2,0.8,0.8,0.8,0.8,50175.3,5575.0,19484.9,19484.9,13.2,1.5,5.2,5.2,3151.2,3151.2,5400.000,0.000,0.584,0.782,50175.326,13.247,350.1,350.1,6000.000,0.000,0.584,0.782,5575.036,1.472,1220.0,1220.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,0.769,19484.857,5.188,1220.0,1220.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,0.769,19484.857,5.188,
12,12,motorway,14,15,"LINESTRING (-112.2113330 33.6484510, -112.2070350 33.6440130)",0.633210,0.393543,0.633210,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.2,0.2,0.6,0.6,0.6,0.6,41346.0,4594.0,16056.1,16056.1,10.9,1.2,4.3,4.3,3151.2,3151.2,5400.000,0.000,0.584,0.644,41346.015,10.916,350.1,350.1,6000.000,0.000,0.584,0.644,4594.002,1.213,1220.0,1220.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,0.633,16056.122,4.275,1220.0,1220.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,0.633,16056.122,4.275,
13,13,motorway,15,16,"LINESTRING (-112.2070350 33.6440130, -112.2023290 33.6392980)",0.680980,0.423232,0.680980,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.2,0.2,0.7,0.7,0.7,0.7,44465.2,4940.6,17267.4,17267.4,11.7,1.3,4.6,4.6,3151.2,3151.2,5400.000,0.000,0.584,0.693,44465.200,11.739,350.1,350.1,6000.000,0.000,0.584,0.693,4940.578,1.304,1220.0,1220.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,0.681,17267.412,4.597,1220.0,1220.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,0.681,17267.412,4.597,
14,14,motorway,16,17,"LINESTRING (-112.2023290 33.6392980, -112.1908180 33.6393780)",1.067520,0.663468,1.067520,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.2,0.2,1.1,1.1,1.1,1.1,69704.7,7745.0,27068.8,27068.8,18.4,2.0,7.2,7.2,3151.2,3151.2,5400.000,0.000,0.584,1.086,69704.676,18.403,350.1,350.1,6000.000,0.000,0.584,1.086,7744.964,2.045,1220.0,1220.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,1.068,27068.795,7.207,1220.0,1220.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,1.068,27068.795,7.207,
15,15,motorway,17,18,"LINESTRING (-112.1908180 33.6393780, -112.1799140 33.6394530)",1.011240,0.628490,1.011240,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.2,0.2,1.0,1.0,1.0,1.0,66029.8,7336.6,25641.7,25641.7,17.4,1.9,6.8,6.8,3151.2,3151.2,5400.000,0.000,0.584,1.029,66029.823,17.433,350.1,350.1,6000.000,0.000,0.584,1.029,7336.647,1.937,1220.0,1220.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,1.012,25641.720,6.827,1220.0,1220.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,1.012,25641.720,6.827,
16,16,motorway,18,19,"LINESTRING (-112.1799140 33.6394530, -112.1682020 33.6395340)",1.086160,0.675053,1.086160,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.2,0.2,1.1,1.1,1.1,1.1,70921.8,7880.2,27541.4,27541.4,18.7,2.1,7.3,7.3,3151.2,3151.2,5400.000,0.000,0.584,1.105,70921.791,18.724,350.1,350.1,6000.000,0.000,0.584,1.105,7880.199,2.080,1220.0,1220.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,1.087,27541.444,7.333,1220.0,1220.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,1.087,27541.444,7.333,
17,17,motorway,19,20,"LINESTRING (-112.1682020 33.6395340, -112.1552780 33.6396230)",1.198560,0.744910,1.198560,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.2,0.2,1.2,1.2,1.2,1.2,78261.0,8695.7,30391.5,30391.5,20.7,2.3,8.1,8.1,3151.2,3151.2,5400.000,0.000,0.584,1.219,78261.050,20.662,350.1,350.1,6000.000,0.000,0.584,1.219,8695.672,2.296,1220.0,1220.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,1.199,30391.539,8.091,1220.0,1220.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,1.199,30391.539,8.091,
18,18,motorway,20,21,"LINESTRING (-112.1552780 33.6396230, -112.1431620 33.6397060)",1.123630,0.698341,1.123630,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.2,1.1,1.1,1.1,1.1,73368.4,8152.0,28491.6,28491.6,19.4,2.2,7.6,7.6,3151.2,3151.2,5400.000,0.000,0.584,1.143,73368.428,19.370,350.1,350.1,6000.000,0.000,0.584,1.143,8152.048,2.152,1220.0,1220.0,5400.000,0.000,0.226,1.124,28491.560,7.586,1220.0,1220.0,6000.000,0.000,0.226,1.124,28491.560,7.586,
19,19,motorway,21,22,"LINESTRING (-112.1431620 33.6397060, -112.1288240 33.6398050)",1.329690,0.826408,1.329690,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.2,0.2,1.4,1.4,1.3,1.3,86823.3,9647.0,33716.6,33716.6,22.9,2.5,9.0,9.0,3151.2,3151.2,5400.000,0.000,0.584,1.353,86823.301,22.922,350.1,350.1,6000.000,0.000,0.584,1.353,9647.034,2.547,1220.0,1220.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,1.330,33716.564,8.977,1220.0,1220.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,1.330,33716.564,8.977,
20,20,motorway,22,23,"LINESTRING (-112.1288240 33.6398050, -112.1173400 33.6398700)",1.065000,0.661902,1.065000,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.2,0.2,1.1,1.1,1.1,1.1,69540.1,7726.7,27004.9,27004.9,18.4,2.0,7.2,7.2,3151.2,3151.2,5400.000,0.000,0.584,1.084,69540.130,18.359,350.1,350.1,6000.000,0.000,0.584,1.084,7726.681,2.040,1220.0,1220.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,1.065,27004.896,7.190,1220.0,1220.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.226,1.065,27004.896,7.190,
