link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,cell_type,length,lanes,free_speed,capacity,mvmt_txt_id,main_node_id,cycle_length,start_green_time,end_green_time,nema_phase,geometry,
68,0,22,100208,hot,99,1,-1,0.15928,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106967 40.755143, -84.107863 40.757349)"
69,0,22,101944,hot,99,1,-1,0.26231,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106967 40.755143, -84.106945 40.758944)"
70,0,22,101970,hot,99,1,-1,0.10057,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106968 40.755141, -84.105051 40.755191)"
71,0,23,100207,hot,99,1,-1,0.14413,1,25.0,1800.0,,,,,,,"LINESTRING (-84.110987 40.755578, -84.109476 40.757325)"
72,0,23,100265,hot,99,1,-1,0.10417,1,25.0,1800.0,,,,,,,"LINESTRING (-84.110989 40.755581, -84.112548 40.754645)"
73,0,23,101892,hot,99,1,-1,0.32955,1,25.0,1800.0,,,,,,,"LINESTRING (-84.110989 40.755579, -84.110960 40.750802)"
74,0,24,101783,hot,99,1,-1,0.79110,1,25.0,1800.0,,,,,,,"LINESTRING (-84.140980 40.787413, -84.156049 40.786931)"
75,0,24,101786,hot,99,1,-1,0.49697,1,25.0,1800.0,,,,,,,"LINESTRING (-84.140981 40.787411, -84.140759 40.780213)"
76,0,24,101909,hot,99,1,-1,0.69129,1,25.0,1800.0,,,,,,,"LINESTRING (-84.140980 40.787410, -84.128246 40.789997)"
77,0,25,101906,hot,99,1,-1,0.46307,1,25.0,1800.0,,,,,,,"LINESTRING (-84.116124 40.794463, -84.118278 40.787954)"
78,0,25,101922,hot,99,1,-1,0.38920,1,25.0,1800.0,,,,,,,"LINESTRING (-84.116122 40.794461, -84.108814 40.795444)"
79,0,26,101919,hot,99,1,-1,0.50208,1,25.0,1800.0,,,,,,,"LINESTRING (-84.100397 40.795534, -84.100430 40.802810)"
80,0,26,101922,hot,99,1,-1,0.44148,1,25.0,1800.0,,,,,,,"LINESTRING (-84.100399 40.795536, -84.108814 40.795447)"
81,0,27,100131,hot,99,1,-1,0.58258,1,25.0,1800.0,,,,,,,"LINESTRING (-84.080157 40.795101, -84.070584 40.799382)"
82,0,27,101917,hot,99,1,-1,0.56913,1,25.0,1800.0,,,,,,,"LINESTRING (-84.080157 40.795103, -84.082588 40.803139)"
83,0,27,101926,hot,99,1,-1,0.59602,1,25.0,1800.0,,,,,,,"LINESTRING (-84.080159 40.795104, -84.087575 40.788558)"
84,0,28,101924,hot,99,1,-1,0.50379,1,25.0,1800.0,,,,,,,"LINESTRING (-84.101386 40.781110, -84.101491 40.788409)"
85,0,28,101929,hot,99,1,-1,0.72652,1,25.0,1800.0,,,,,,,"LINESTRING (-84.101388 40.781111, -84.108739 40.772190)"
86,0,29,100268,hot,99,1,-1,0.80701,1,25.0,1800.0,,,,,,,"LINESTRING (-84.115682 40.781248, -84.111806 40.769932)"
87,0,29,101906,hot,99,1,-1,0.48239,1,25.0,1800.0,,,,,,,"LINESTRING (-84.115680 40.781249, -84.118275 40.787954)"
88,0,29,101928,hot,99,1,-1,0.36610,1,25.0,1800.0,,,,,,,"LINESTRING (-84.115681 40.781247, -84.108716 40.780922)"
89,0,30,100751,hot,99,1,-1,0.94545,1,25.0,1800.0,,,,,,,"LINESTRING (-84.165079 40.802028, -84.166404 40.815691)"
90,0,30,101775,hot,99,1,-1,0.66496,1,25.0,1800.0,,,,,,,"LINESTRING (-84.165080 40.802030, -84.177546 40.803794)"
91,0,30,101781,hot,99,1,-1,0.44034,1,25.0,1800.0,,,,,,,"LINESTRING (-84.165080 40.802027, -84.156687 40.801856)"
92,0,31,101781,hot,99,1,-1,0.77273,1,25.0,1800.0,,,,,,,"LINESTRING (-84.141953 40.801813, -84.156687 40.801859)"
93,0,31,101907,hot,99,1,-1,0.70777,1,25.0,1800.0,,,,,,,"LINESTRING (-84.141953 40.801811, -84.128460 40.802007)"
94,0,32,101908,hot,99,1,-1,0.35303,1,25.0,1800.0,,,,,,,"LINESTRING (-84.121902 40.808335, -84.128557 40.809114)"
95,0,32,101912,hot,99,1,-1,0.47045,1,25.0,1800.0,,,,,,,"LINESTRING (-84.121902 40.808332, -84.113125 40.806919)"
96,0,33,100133,hot,99,1,-1,0.98125,1,25.0,1800.0,,,,,,,"LINESTRING (-84.089442 40.810182, -84.070782 40.809099)"
97,0,33,101915,hot,99,1,-1,0.49659,1,25.0,1800.0,,,,,,,"LINESTRING (-84.089440 40.810183, -84.089289 40.817378)"
98,0,33,101916,hot,99,1,-1,0.56648,1,25.0,1800.0,,,,,,,"LINESTRING (-84.089442 40.810185, -84.100243 40.810089)"
99,0,33,101918,hot,99,1,-1,0.50152,1,25.0,1800.0,,,,,,,"LINESTRING (-84.089443 40.810183, -84.089465 40.802915)"
100,0,34,100144,hot,99,1,-1,0.16345,1,25.0,1800.0,,,,,,,"LINESTRING (-84.098838 40.748803, -84.099392 40.746470)"
101,0,34,100212,hot,99,1,-1,0.08087,1,25.0,1800.0,,,,,,,"LINESTRING (-84.098835 40.748802, -84.098693 40.749971)"
102,0,35,100096,hot,99,1,-1,0.09167,1,25.0,1800.0,,,,,,,"LINESTRING (-84.097818 40.743877, -84.098236 40.742585)"
103,0,35,101952,hot,99,1,-1,0.09602,1,25.0,1800.0,,,,,,,"LINESTRING (-84.097816 40.743878, -84.099638 40.744018)"
104,0,36,101935,hot,99,1,-1,0.33674,1,25.0,1800.0,,,,,,,"LINESTRING (-84.095968 40.763092, -84.089560 40.763376)"
105,0,36,101948,hot,99,1,-1,0.26648,1,25.0,1800.0,,,,,,,"LINESTRING (-84.095969 40.763094, -84.095867 40.759232)"
106,0,37,100213,hot,99,1,-1,0.17784,1,25.0,1800.0,,,,,,,"LINESTRING (-84.098830 40.755914, -84.098853 40.753336)"
107,0,37,101947,hot,99,1,-1,0.23712,1,25.0,1800.0,,,,,,,"LINESTRING (-84.098828 40.755914, -84.098804 40.759352)"
108,0,38,101949,hot,99,1,-1,0.30530,1,25.0,1800.0,,,,,,,"LINESTRING (-84.092006 40.755898, -84.091906 40.760322)"
109,0,38,101951,hot,99,1,-1,0.12917,1,25.0,1800.0,,,,,,,"LINESTRING (-84.092007 40.755897, -84.089544 40.755863)"
110,0,38,101964,hot,99,1,-1,0.19943,1,25.0,1800.0,,,,,,,"LINESTRING (-84.092009 40.755898, -84.091829 40.753012)"
111,0,39,100214,hot,99,1,-1,0.60530,1,25.0,1800.0,,,,,,,"LINESTRING (-84.080074 40.764421, -84.079935 40.755650)"
112,0,39,100220,hot,99,1,-1,0.67008,1,25.0,1800.0,,,,,,,"LINESTRING (-84.080071 40.764421, -84.080067 40.774132)"
113,0,40,101962,hot,99,1,-1,0.20152,1,25.0,1800.0,,,,,,,"LINESTRING (-84.083063 40.751826, -84.085726 40.753929)"
114,0,41,100175,hot,99,1,-1,0.08731,1,25.0,1800.0,,,,,,,"LINESTRING (-84.159698 40.738199, -84.159150 40.737004)"
115,0,41,100744,hot,99,1,-1,0.11856,1,25.0,1800.0,,,,,,,"LINESTRING (-84.159696 40.738199, -84.159746 40.739917)"
116,0,42,100102,hot,99,1,-1,0.08295,1,25.0,1800.0,,,,,,,"LINESTRING (-84.088178 40.743819, -84.088063 40.742619)"
117,0,43,101927,hot,99,1,-1,0.27670,1,25.0,1800.0,,,,,,,"LINESTRING (-84.084365 40.779149, -84.089641 40.779186)"
118,0,43,101934,hot,99,1,-1,0.35701,1,25.0,1800.0,,,,,,,"LINESTRING (-84.084367 40.779148, -84.084441 40.773976)"
119,0,44,100183,hot,99,1,-1,0.15473,1,25.0,1800.0,,,,,,,"LINESTRING (-84.054452 40.772477, -84.055919 40.774425)"
120,0,44,100185,hot,99,1,-1,0.15758,1,25.0,1800.0,,,,,,,"LINESTRING (-84.054453 40.772475, -84.051454 40.772349)"
121,0,45,100125,hot,99,1,-1,0.47576,1,25.0,1800.0,,,,,,,"LINESTRING (-84.042092 40.767398, -84.041874 40.760507)"
122,0,45,100166,hot,99,1,-1,0.47652,1,25.0,1800.0,,,,,,,"LINESTRING (-84.042090 40.767399, -84.051173 40.767317)"
123,0,45,100182,hot,99,1,-1,0.67424,1,25.0,1800.0,,,,,,,"LINESTRING (-84.042089 40.767398, -84.041864 40.777166)"
124,0,46,100125,hot,99,1,-1,0.65568,1,25.0,1800.0,,,,,,,"LINESTRING (-84.052430 40.755423, -84.041872 40.760506)"
125,0,47,100126,hot,99,1,-1,0.54375,1,25.0,1800.0,,,,,,,"LINESTRING (-84.058162 40.805755, -84.068088 40.803470)"
126,0,47,100568,hot,99,1,-1,0.36117,1,25.0,1800.0,,,,,,,"LINESTRING (-84.058162 40.805752, -84.051361 40.804910)"
127,0,48,100198,hot,99,1,-1,0.36705,1,25.0,1800.0,,,,,,,"LINESTRING (-84.020266 40.812094, -84.013324 40.812776)"
128,0,49,100196,hot,99,1,-1,0.26723,1,25.0,1800.0,,,,,,,"LINESTRING (-84.009050 40.796608, -84.013251 40.794417)"
129,0,50,100194,hot,99,1,-1,0.20057,1,25.0,1800.0,,,,,,,"LINESTRING (-84.009502 40.780747, -84.013307 40.780442)"
130,0,51,100155,hot,99,1,-1,0.26780,1,25.0,1800.0,,,,,,,"LINESTRING (-84.008197 40.768189, -84.013270 40.767760)"
131,0,52,100128,hot,99,1,-1,0.39318,1,25.0,1800.0,,,,,,,"LINESTRING (-84.032747 40.750312, -84.036950 40.745594)"
132,0,52,100152,hot,99,1,-1,0.86117,1,25.0,1800.0,,,,,,,"LINESTRING (-84.032744 40.750311, -84.032621 40.762790)"
133,0,53,100094,hot,99,1,-1,0.12405,1,25.0,1800.0,,,,,,,"LINESTRING (-84.096710 40.741313, -84.099075 40.741332)"
134,0,53,100095,hot,99,1,-1,0.08731,1,25.0,1800.0,,,,,,,"LINESTRING (-84.096709 40.741311, -84.096797 40.742577)"
135,0,54,100089,hot,99,1,-1,0.06345,1,25.0,1800.0,,,,,,,"LINESTRING (-84.100341 40.739340, -84.099133 40.739295)"
136,0,54,101957,hot,99,1,-1,0.02803,1,25.0,1800.0,,,,,,,"LINESTRING (-84.100340 40.739340, -84.100108 40.739708)"
137,0,55,100087,hot,99,1,-1,0.18352,1,25.0,1800.0,,,,,,,"LINESTRING (-84.094353 40.734975, -84.094392 40.737636)"
138,0,55,100099,hot,99,1,-1,0.21496,1,25.0,1800.0,,,,,,,"LINESTRING (-84.094355 40.734977, -84.098448 40.734867)"
139,0,55,100258,hot,99,1,-1,0.27500,1,25.0,1800.0,,,,,,,"LINESTRING (-84.094356 40.734975, -84.092798 40.731168)"
140,0,56,100084,hot,99,1,-1,0.11515,1,25.0,1800.0,,,,,,,"LINESTRING (-84.089196 40.732001, -84.089948 40.730433)"
141,0,57,100103,hot,99,1,-1,0.15966,1,25.0,1800.0,,,,,,,"LINESTRING (-84.084951 40.740294, -84.084815 40.742607)"
142,0,57,100106,hot,99,1,-1,0.18011,1,25.0,1800.0,,,,,,,"LINESTRING (-84.084953 40.740294, -84.084931 40.737684)"
143,0,58,100104,hot,99,1,-1,0.52083,1,25.0,1800.0,,,,,,,"LINESTRING (-84.078869 40.734749, -84.078609 40.742294)"
144,0,58,100110,hot,99,1,-1,0.29602,1,25.0,1800.0,,,,,,,"LINESTRING (-84.078872 40.734749, -84.078611 40.730462)"
145,0,59,100106,hot,99,1,-1,0.11515,1,25.0,1800.0,,,,,,,"LINESTRING (-84.086260 40.736354, -84.084929 40.737683)"
146,0,59,100218,hot,99,1,-1,0.05473,1,25.0,1800.0,,,,,,,"LINESTRING (-84.086261 40.736356, -84.087263 40.736128)"
147,0,59,100223,hot,99,1,-1,0.21458,1,25.0,1800.0,,,,,,,"LINESTRING (-84.086262 40.736353, -84.083311 40.734200)"
148,0,60,100085,hot,99,1,-1,0.09811,1,25.0,1800.0,,,,,,,"LINESTRING (-84.083207 40.729144, -84.082646 40.730501)"
149,0,61,100110,hot,99,1,-1,0.12992,1,25.0,1800.0,,,,,,,"LINESTRING (-84.078536 40.728578, -84.078608 40.730462)"
150,0,62,100599,hot,99,1,-1,0.19167,1,25.0,1800.0,,,,,,,"LINESTRING (-84.081251 40.719616, -84.081157 40.716838)"
151,0,63,100238,hot,99,1,-1,0.16193,1,25.0,1800.0,,,,,,,"LINESTRING (-84.064012 40.732010, -84.066997 40.731413)"
152,0,63,100242,hot,99,1,-1,0.11004,1,25.0,1800.0,,,,,,,"LINESTRING (-84.064012 40.732007, -84.062091 40.731368)"
153,0,63,100243,hot,99,1,-1,0.37955,1,25.0,1800.0,,,,,,,"LINESTRING (-84.064011 40.732010, -84.071217 40.731564)"
154,0,64,100161,hot,99,1,-1,0.38447,1,25.0,1800.0,,,,,,,"LINESTRING (-84.025285 40.738387, -84.032323 40.736837)"
155,0,65,100117,hot,99,1,-1,0.61402,1,25.0,1800.0,,,,,,,"LINESTRING (-84.028269 40.722229, -84.028970 40.731111)"
156,0,65,100655,hot,99,1,-1,0.48655,1,25.0,1800.0,,,,,,,"LINESTRING (-84.028271 40.722229, -84.028008 40.715181)"
157,0,66,100239,hot,99,1,-1,0.02008,1,25.0,1800.0,,,,,,,"LINESTRING (-84.067226 40.730009, -84.066969 40.730224)"
158,0,66,102554,hot,99,1,-1,0.07973,1,25.0,1800.0,,,,,,,"LINESTRING (-84.067228 40.730011, -84.068487 40.729363)"
159,0,67,100199,hot,99,1,-1,0.14602,1,25.0,1800.0,,,,,,,"LINESTRING (-84.072312 40.726156, -84.070643 40.727852)"
160,0,67,100645,hot,99,1,-1,0.10208,1,25.0,1800.0,,,,,,,"LINESTRING (-84.072312 40.726156, -84.070788 40.727075)"
161,0,68,100154,hot,99,1,-1,0.26705,1,25.0,1800.0,,,,,,,"LINESTRING (-84.056573 40.727341, -84.054341 40.730821)"
162,0,68,100652,hot,99,1,-1,0.24394,1,25.0,1800.0,,,,,,,"LINESTRING (-84.056576 40.727342, -84.056372 40.723809)"
163,0,68,100654,hot,99,1,-1,0.27008,1,25.0,1800.0,,,,,,,"LINESTRING (-84.056574 40.727341, -84.051741 40.728684)"
164,0,69,100646,hot,99,1,-1,0.15909,1,25.0,1800.0,,,,,,,"LINESTRING (-84.067656 40.709429, -84.070686 40.709441)"
165,0,69,100648,hot,99,1,-1,0.51326,1,25.0,1800.0,,,,,,,"LINESTRING (-84.067654 40.709428, -84.067515 40.716864)"
166,0,70,100663,hot,99,1,-1,0.26098,1,25.0,1800.0,,,,,,,"LINESTRING (-84.027650 40.706121, -84.027679 40.702339)"
167,0,71,100157,hot,99,1,-1,0.51913,1,25.0,1800.0,,,,,,,"LINESTRING (-84.004031 40.741631, -83.994164 40.741094)"
168,0,71,100160,hot,99,1,-1,0.48996,1,25.0,1800.0,,,,,,,"LINESTRING (-84.004031 40.741634, -84.013209 40.742925)"
169,0,72,100657,hot,99,1,-1,0.37803,1,25.0,1800.0,,,,,,,"LINESTRING (-84.005993 40.717182, -84.013181 40.716877)"
170,0,72,100699,hot,99,1,-1,0.50720,1,25.0,1800.0,,,,,,,"LINESTRING (-84.005993 40.717179, -83.996359 40.716624)"
171,0,73,100662,hot,99,1,-1,1.21932,1,25.0,1800.0,,,,,,,"LINESTRING (-84.011824 40.684586, -84.013128 40.702226)"
172,0,73,100665,hot,99,1,-1,1.07595,1,25.0,1800.0,,,,,,,"LINESTRING (-84.011825 40.684587, -84.032296 40.684072)"
173,0,73,103415,hot,99,1,-1,1.37822,1,25.0,1800.0,,,,,,,"LINESTRING (-84.011824 40.684585, -83.989303 40.694829)"
174,0,73,103978,hot,99,1,-1,0.28750,1,25.0,1800.0,,,,,,,"LINESTRING (-84.011826 40.684587, -84.013268 40.680567)"
175,0,74,100057,hot,99,1,-1,0.03239,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104428 40.736703, -84.104394 40.737172)"
176,0,74,100062,hot,99,1,-1,0.03750,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104430 40.736705, -84.105115 40.736549)"
177,0,75,100060,hot,99,1,-1,0.04735,1,25.0,1800.0,,,,,,,"LINESTRING (-84.101869 40.736792, -84.101171 40.737229)"
178,0,75,100061,hot,99,1,-1,0.01970,1,25.0,1800.0,,,,,,,"LINESTRING (-84.101869 40.736794, -84.102245 40.736796)"
179,0,76,100070,hot,99,1,-1,0.12955,1,25.0,1800.0,,,,,,,"LINESTRING (-84.103974 40.732880, -84.103690 40.734746)"
180,0,76,100072,hot,99,1,-1,0.08598,1,25.0,1800.0,,,,,,,"LINESTRING (-84.103976 40.732879, -84.102335 40.732895)"
181,0,76,100073,hot,99,1,-1,0.05606,1,25.0,1800.0,,,,,,,"LINESTRING (-84.103976 40.732882, -84.105047 40.732861)"
182,0,76,100080,hot,99,1,-1,0.18485,1,25.0,1800.0,,,,,,,"LINESTRING (-84.103977 40.732880, -84.103475 40.730227)"
183,0,77,100206,hot,99,1,-1,0.05417,1,25.0,1800.0,,,,,,,"LINESTRING (-84.103431 40.728117, -84.102421 40.728289)"
184,0,77,100575,hot,99,1,-1,0.08693,1,25.0,1800.0,,,,,,,"LINESTRING (-84.103431 40.728119, -84.105087 40.728159)"
185,0,77,100580,hot,99,1,-1,0.12462,1,25.0,1800.0,,,,,,,"LINESTRING (-84.103433 40.728118, -84.103275 40.726314)"
186,0,78,100205,hot,99,1,-1,0.19659,1,25.0,1800.0,,,,,,,"LINESTRING (-84.094260 40.727510, -84.097834 40.728362)"
187,0,78,100259,hot,99,1,-1,0.17367,1,25.0,1800.0,,,,,,,"LINESTRING (-84.094260 40.727508, -84.092763 40.729755)"
188,0,78,100571,hot,99,1,-1,0.20777,1,25.0,1800.0,,,,,,,"LINESTRING (-84.094261 40.727510, -84.097922 40.726366)"
189,0,79,100202,hot,99,1,-1,0.16193,1,25.0,1800.0,,,,,,,"LINESTRING (-84.091514 40.720466, -84.094593 40.720324)"
