from_zone_id,to_zone_id,number_of_vehicles
12,1,13.198584
12,2,9.893838
12,3,19.950872
12,4,0.958784
12,5,6.854288
12,6,9.13905
12,7,6.425895
12,8,1.019983
12,9,43.838882
12,10,2.876353
12,11,58.506241
12,12,1.566694
12,13,29.681515
12,14,36.413403
12,15,13.647376
12,16,17.033722
12,17,13.284874
12,18,12.934408
12,19,16.841557
12,20,12.544367
12,21,33.594986
12,22,17.053509
12,23,7.817968
12,24,44.019012
12,25,2.995079
12,26,5.906519
12,27,9.114978
12,28,13.492135
12,30,5.779429
12,31,18.033712
12,32,12.026216
12,33,5.223131
12,34,29.632555
12,35,4.31045
12,36,6.855512
12,37,13.738359
12,38,11.98868
12,39,4.756998
12,40,2.115037
12,41,57.935051
13,1,10.112659
13,2,7.580587
13,3,15.286214
13,4,0.734614
13,5,5.251706
13,6,7.002274
13,7,4.923474
13,8,0.781504
13,9,33.589031
13,10,2.203841
13,11,44.827057
13,12,1.20039
13,13,22.74176
13,14,27.899685
13,15,10.456521
13,16,13.051113
13,17,10.178774
13,18,9.91025
13,19,12.903878
13,20,9.611403
13,21,25.740234
13,22,13.066274
13,23,5.99007
13,24,33.727047
13,25,2.294808
13,26,4.525532
13,27,6.98383
13,28,10.337576
13,30,4.428157
13,31,13.8173
13,32,9.214399
13,33,4.001925
13,34,22.704248
13,35,3.302635
13,36,5.252643
13,37,10.526231
13,38,9.185639
13,39,3.644777
13,40,1.620526
13,41,44.389416
14,1,12.406252
14,2,9.299895
14,3,18.753191
14,4,0.901227
14,5,6.442814
14,6,8.590419
14,7,6.040138
14,8,0.958752
14,9,41.207165
14,10,2.703681
14,11,54.994019
14,12,1.472643
14,13,27.899685
14,14,34.227448
14,15,12.828103
14,16,16.01116
14,17,12.487362
14,18,12.157935
14,19,15.830531
14,20,11.791308
14,21,31.578224
14,22,16.029758
14,23,7.348643
14,24,41.37648
14,25,2.81528
14,26,5.551942
14,27,8.567792
14,28,12.682181
14,30,5.432481
14,31,16.95112
14,32,11.304263
14,33,4.909578
14,34,27.853664
14,35,4.051686
14,36,6.443964
14,37,12.913624
14,38,11.26898
14,39,4.471428
14,40,1.988068
14,41,54.457119
15,1,4.649738
15,2,3.485507
15,3,7.028507
15,4,0.337771
15,5,2.414702
15,6,3.219602
15,7,2.263783
15,8,0.359331
15,9,15.44403
15,10,1.013312
15,11,20.611204
15,12,0.551932
15,13,10.456521
15,14,12.828103
15,15,4.807844
15,16,6.000821
15,17,4.680137
15,18,4.556671
15,19,5.933124
15,20,4.419263
15,21,11.8352
15,22,6.007792
15,23,2.754197
15,24,15.507488
15,25,1.055138
15,26,2.080812
15,27,3.211122
15,28,4.753153
15,30,2.036039
15,31,6.353109
15,32,4.236724
15,33,1.84006
15,34,10.439273
15,35,1.518531
15,36,2.415133
15,37,4.839896
15,38,4.2235
15,39,1.675846
15,40,0.745108
15,41,20.409979
16,1,5.796535
16,2,4.345161
16,3,8.761995
16,4,0.421077
16,5,3.010256
16,6,4.013675
16,7,2.822115
16,8,0.447955
16,9,19.253096
16,10,1.263232
16,11,25.694685
16,12,0.688058
16,13,13.035483
16,14,15.991984
16,15,5.993635
16,16,7.480844
16,17,5.834431
16,18,5.680514
16,19,7.39645
16,20,5.509216
16,21,14.754195
16,22,7.489534
16,23,3.433483
16,24,19.332205
16,25,1.315374
16,26,2.594017
16,27,4.003103
16,28,5.925456
16,30,2.538201
16,31,7.920019
16,32,5.281655
16,33,2.293887
16,34,13.013981
16,35,1.893057
16,36,3.010793
16,37,6.033592
16,38,5.265171
16,39,2.089171
16,40,0.928879
16,41,25.44383
17,1,30.754993
17,2,23.054361
17,3,46.489002
17,4,2.234134
17,5,15.971682
17,6,21.295576
17,7,14.973452
17,8,2.376738
17,9,102.152214
17,10,6.702402
17,11,136.329712
17,12,3.65067
17,13,69.163086
17,14,84.849556
17,15,31.800758
17,16,39.691528
17,17,30.956064
17,18,30.139418
17,19,39.243752
17,20,29.230555
17,21,78.28215
17,22,39.737637
17,23,18.217224
17,24,102.571953
17,25,6.979055
17,26,13.763217
17,27,21.239483
17,28,31.43902
17,30,13.467074
17,31,42.021687
17,32,28.023172
17,33,12.170802
17,34,69.049004
17,35,10.044096
17,36,15.974533
17,37,32.012764
17,38,27.935707
17,39,11.084632
17,40,4.928405
17,41,134.998734
18,1,16.263659
18,2,12.191459
18,3,24.584015
18,4,1.18144
18,5,8.446042
18,6,11.261389
18,7,7.918164
18,8,1.256851
18,9,54.019474
18,10,3.544321
18,11,72.093002
18,12,1.930524
18,13,36.574379
18,14,44.869598
18,15,16.816673
18,16,20.98942
18,17,16.369987
18,18,15.938133
18,19,20.752628
18,20,15.457513
18,21,41.396664
18,22,21.013802
18,23,9.633514
18,24,54.241436
18,25,3.690619
18,26,7.278176
18,27,11.231727
18,28,16.62538
18,30,7.121572
18,31,22.221638
18,32,14.819034
18,33,6.436085
18,34,36.51405
18,35,5.311454
18,36,8.44755
18,37,16.928783
18,38,14.77278
18,39,5.861704
18,40,2.606207
18,41,71.38916
19,1,10.842439
19,2,8.12764
19,3,16.389343
19,4,0.787627
19,5,5.630694
19,6,7.507593
19,7,5.278776
19,8,0.837901
19,9,36.012985
19,10,2.362881
19,11,48.062
19,12,1.287016
19,13,24.382917
19,14,29.913065
19,15,11.211115
19,16,13.992947
19,17,10.913324
19,18,10.625422
19,19,13.835086
19,20,10.305009
19,21,27.597776
19,22,14.009201
19,23,6.422343
19,24,36.160957
19,25,2.460413
19,26,4.852117
19,27,7.487818
19,28,11.083587
19,30,4.747715
19,31,14.814425
19,32,9.879355
19,33,4.290723
19,34,24.342699
19,35,3.54097
19,36,5.6317
19,37,11.285856
19,38,9.84852
19,39,3.907803
19,40,1.737471
19,41,47.592773
20,1,8.361188
20,2,6.267661
20,3,12.638705
20,4,0.607382
20,5,4.342132
20,6,5.789509
20,7,4.070748
20,8,0.646151
20,9,27.771551
20,10,1.822145
20,11,37.063194
20,12,0.992487
20,13,18.80298
20,14,23.067575
20,15,8.645494
20,16,10.790714
20,17,8.415853
20,18,8.193835
20,19,10.66898
20,20,7.946747
20,21,21.282131
20,22,10.803249
20,23,4.952615
20,24,27.885662
20,25,1.897357
20,26,3.741729
20,27,5.77426
20,28,8.547151
20,30,3.661218
20,31,11.424201
20,32,7.618503
20,33,3.308808
20,34,18.771965
20,35,2.730632
20,36,4.342907
20,37,8.703132
20,38,7.594725
20,39,3.013517
20,40,1.339858
20,41,36.701351
21,1,8.256934
21,2,6.18951
21,3,12.481115
21,4,0.599808
21,5,4.287991
21,6,5.71732
21,7,4.019991
21,8,0.638094
21,9,27.425272
21,10,1.799425
21,11,36.601063
21,12,0.980112
21,13,18.568529
21,14,22.779949
21,15,8.537695
21,16,10.656167
21,17,8.310917
21,18,8.091667
21,19,10.53595
21,20,7.847661
21,21,21.016768
21,22,10.668546
21,23,4.890862
21,24,27.53796
21,25,1.873699
21,26,3.695074
21,27,5.702261
21,28,8.440578
21,30,3.615567
21,31,11.281754
21,32,7.52351
21,33,3.267551
21,34,18.537901
21,35,2.696584
21,36,4.288756
21,37,8.594613
21,38,7.500027
21,39,2.975942
21,40,1.323151
21,41,36.243729
24,1,4.21187
24,2,3.157275
24,3,6.36663
24,4,0.305963
24,5,2.187308
24,6,2.916411
24,7,2.050601
24,8,0.325492
24,9,13.989659
24,10,0.917888
24,11,18.670238
24,12,0.499956
24,13,9.471826
24,14,11.620075
24,15,4.355087
24,16,5.435721
24,17,4.239407
24,18,4.127568
24,19,5.374399
24,20,4.003099
24,21,10.720675
24,22,5.442036
24,23,2.494833
24,24,14.047141
24,25,0.955776
24,26,1.884861
24,27,2.908729
24,28,4.305547
24,30,1.844304
24,31,5.754834
24,32,3.83775
24,33,1.666781
24,34,9.456203
24,35,1.37553
24,36,2.187699
24,37,4.384121
24,38,3.825771
24,39,1.518031
24,40,0.674941
24,41,18.487963
25,1,10.86329
25,2,8.14327
25,3,16.42086
25,4,0.789142
25,5,5.641523
25,6,7.52203
25,7,5.288928
25,8,0.839512
25,9,36.082241
25,10,2.367425
25,11,48.154427
25,12,1.289491
25,13,24.429808
25,14,29.970591
25,15,11.232675
25,16,14.019855
25,17,10.934312
25,18,10.645856
25,19,13.861691
25,20,10.324826
25,21,27.650848
25,22,14.036141
25,23,6.434694
25,24,36.230499
25,25,2.465144
25,26,4.861448
25,27,7.502217
25,28,11.104901
25,30,4.756845
25,31,14.842914
25,32,9.898355
25,33,4.298975
25,34,24.389511
25,35,3.547779
25,36,5.64253
25,37,11.30756
25,38,9.86746
25,39,3.915318
25,40,1.740813
25,41,47.684299
26,1,8.90331
26,2,6.674042
26,3,13.458172
26,4,0.646763
26,5,4.623666
26,6,6.164888
26,7,4.334687
26,8,0.688046
26,9,29.572201
26,10,1.940289
26,11,39.466297
26,12,1.056838
26,13,20.022127
26,14,24.563229
26,15,9.20605
26,16,11.490361
26,17,8.961518
26,18,8.725106
26,19,11.360734
26,20,8.461998
26,21,22.66202
26,22,11.503709
26,23,5.273732
26,24,29.69371
26,25,2.020377
26,26,3.984335
26,27,6.148651
26,28,9.10133
26,30,3.898604
26,31,12.164922
26,32,8.112471
26,33,3.523344
26,34,19.989101
26,35,2.907681
26,36,4.624492
26,37,9.267425
26,38,8.087151
26,39,3.208907
26,40,1.426731
26,41,39.08099
27,1,18.849163
27,2,14.129588
27,3,28.492243
27,4,1.369259
27,5,9.788746
27,6,13.051661
27,7,9.17695
27,8,1.456659
27,9,62.607185
27,10,4.107777
27,11,83.55394
27,12,2.237428
27,13,42.388767
27,14,52.002712
27,15,19.490091
27,16,24.326199
27,17,18.972395
27,18,18.471888
27,19,24.051765
27,20,17.914862
27,21,47.977673
27,22,24.354458
27,23,11.164997
27,24,62.864437
27,25,4.277333
27,26,8.435219
27,27,13.017283
27,28,19.268389
27,30,8.253719
27,31,25.754307
27,32,17.174879
27,33,7.459258
27,34,42.318844
27,35,6.155839
27,36,9.790494
27,37,19.620028
27,38,17.121275
27,39,6.793564
27,40,3.020527
27,41,82.738213
28,1,12.510506
28,2,9.378045
28,3,18.91078
28,4,0.9088
28,5,6.496955
28,6,8.662607
28,7,6.090896
28,8,0.966809
28,9,41.553444
28,10,2.726401
28,11,55.456154
28,12,1.485018
28,13,28.134136
28,14,34.515076
28,15,12.935902
28,16,16.145708
28,17,12.592298
28,18,12.260102
28,19,15.963561
28,20,11.890395
28,21,31.843588
28,22,16.164463
28,23,7.410396
28,24,41.724182
28,25,2.838938
28,26,5.598597
28,27,8.63979
28,28,12.788754
28,30,5.478132
28,31,17.093567
28,32,11.399257
28,33,4.950835
28,34,28.087729
28,35,4.085734
28,36,6.498116
28,37,13.022141
28,38,11.363677
28,39,4.509003
28,40,2.004775
28,41,54.914742
30,1,0.062553
30,2,0.04689
30,3,0.094554
30,4,0.004544
30,5,0.032485
30,6,0.043313
30,7,0.030454
30,8,0.004834
30,9,0.207767
30,10,0.013632
30,11,0.277281
30,12,0.007425
30,13,0.140671
30,14,0.172575
30,15,0.06468
30,16,0.080729
30,17,0.062961
30,18,0.061301
30,19,0.079818
30,20,0.059452
30,21,0.159218
30,22,0.080822
30,23,0.037052
30,24,0.208621
30,25,0.014195
30,26,0.027993
30,27,0.043199
30,28,0.063944
30,30,0.027391
30,31,0.085468
30,32,0.056996
30,33,0.024754
30,34,0.140439
30,35,0.020429
30,36,0.032491
30,37,0.065111
30,38,0.056818
30,39,0.022545
30,40,0.010024
30,41,0.274574
31,1,21.538921
31,2,16.145868
31,3,32.55806
31,4,1.564651
31,5,11.185592
31,6,14.914122
31,7,10.486492
31,8,1.664523
31,9,71.541176
31,10,4.693954
31,11,95.477013
31,12,2.556707
31,13,48.437603
31,14,59.423454
31,15,22.271311
31,16,27.797525
31,17,21.679739
31,18,21.107809
31,19,27.483931
31,20,20.471296
31,21,54.824043
31,22,27.829817
31,23,12.758232
31,24,71.835136
31,25,4.887704
31,26,9.638917
31,27,14.874838
31,28,22.017971
31,30,9.431518
31,31,29.429424
31,32,19.625719
31,33,8.523687
31,34,48.357708
31,35,7.034272
31,36,11.187589
31,37,22.419786
31,38,19.564465
31,39,7.763
31,40,3.451554
31,41,94.544876
32,1,18.223637
32,2,13.660686
32,3,27.546703
32,4,1.323819
32,5,9.463898
32,6,12.618531
32,7,8.872404
32,8,1.408318
32,9,60.529514
32,10,3.971457
32,11,80.781128
32,12,2.163177
32,13,40.982059
32,14,50.276958
32,15,18.843298
32,16,23.518913
32,17,18.342781
32,18,17.858883
32,19,23.253586
32,20,17.320341
32,21,46.385494
32,22,23.546234
32,23,10.794477
32,24,60.778225
32,25,4.135386
32,26,8.155289
32,27,12.585294
32,28,18.628952
32,30,7.979812
32,31,24.89963
32,32,16.604918
32,33,7.211716
32,34,40.914459
32,35,5.951553
32,36,9.465588
32,37,18.96892
32,38,16.553091
32,39,6.568114
32,40,2.920289
32,41,79.99247
33,1,6.505463
33,2,4.876584
33,3,9.833606
33,4,0.472576
33,5,3.378417
33,6,4.504556
33,7,3.167266
33,8,0.502741
33,9,21.60779
33,10,1.417728
33,11,28.8372
33,12,0.77221
33,13,14.629751
33,14,17.947838
33,15,6.726669
33,16,8.395768
33,17,6.547995
33,18,6.375253
33,19,8.301051
33,20,6.183005
33,21,16.558666
33,22,8.40552
33,23,3.853406
33,24,21.696575
33,25,1.476248
33,26,2.91127
33,27,4.492691
33,28,6.650152
33,30,2.848629
33,31,8.888655
33,32,5.927613
33,33,2.574434
33,34,14.605619
33,35,2.124582
33,36,3.37902
33,37,6.771513
33,38,5.909112
33,39,2.344682
33,40,1.042483
33,41,28.555666
34,1,23.102734
34,2,17.318125
34,3,34.921909
34,4,1.678251
34,5,11.99771
34,6,15.996947
34,7,11.247853
34,8,1.785374
34,9,76.735359
34,10,5.034754
34,11,102.409027
34,12,2.742334
34,13,51.954372
34,14,63.737839
34,15,23.888298
34,16,29.815739
34,17,23.253777
34,18,22.640322
34,19,29.479376
34,20,21.957596
34,21,58.804493
34,22,29.850374
34,23,13.684531
34,24,77.050659
34,25,5.242571
34,26,10.338741
34,27,15.954812
34,28,23.616566
34,30,10.116283
34,31,31.56612
34,32,21.050627
34,33,9.142542
34,34,51.868671
34,35,7.544989
34,36,11.999853
34,37,24.047554
34,38,20.984924
34,39,8.326626
34,40,3.702151
34,41,101.409218
35,1,8.194382
35,2,6.14262
35,3,12.386561
35,4,0.595264
35,5,4.255506
35,6,5.674007
35,7,3.989537
35,8,0.63326
35,9,27.217505
35,10,1.785793
35,11,36.32378
35,12,0.972687
35,13,18.42786
35,14,22.607374
35,15,8.473016
35,16,10.575438
35,17,8.247955
35,18,8.030367
35,19,10.456132
35,20,7.788208
35,21,20.85755
35,22,10.587723
35,23,4.853809
35,24,27.32934
35,25,1.859504
35,26,3.667081
35,27,5.659062
35,28,8.376634
35,30,3.588176
35,31,11.196286
35,32,7.466513
35,33,3.242797
35,34,18.397463
35,35,2.676156
35,36,4.256266
35,37,8.529503
35,38,7.443209
35,39,2.953397
35,40,1.313128
35,41,35.969154
36,1,3.71145
36,2,2.782154
36,3,5.610198
36,4,0.269611
36,5,1.92743
36,6,2.569907
36,7,1.806966
36,8,0.28682
36,9,12.327521
36,10,0.808832
36,11,16.451992
36,12,0.440555
36,13,8.34646
36,14,10.239472
36,15,3.837651
36,16,4.789893
36,17,3.735715
36,18,3.637164
36,19,4.735857
36,20,3.527484
36,21,9.446931
36,22,4.795457
36,23,2.198417
36,24,12.378174
36,25,0.842218
36,26,1.660917
36,27,2.563138
36,28,3.793997
36,30,1.625179
36,31,5.071092
36,32,3.381779
36,33,1.468748
36,34,8.332693
36,35,1.212101
36,36,1.927774
36,37,3.863235
36,38,3.371224
36,39,1.337671
36,40,0.59475
36,41,16.291372
37,1,20.74659
37,2,15.551926
37,3,31.360378
37,4,1.507094
37,5,10.774117
37,6,14.36549
37,7,10.100735
37,8,1.603291
37,9,68.909462
37,10,4.521281
37,11,91.96479
37,12,2.462656
37,13,46.655777
37,14,57.237499
37,15,21.452038
37,16,26.774965
37,17,20.882227
37,18,20.331337
37,19,26.472904
37,20,19.718239
37,21,52.807281
37,22,26.806067
37,23,12.288907
37,24,69.192604
37,25,4.707905
37,26,9.284339
37,27,14.327651
37,28,21.208017
37,30,9.084569
37,31,28.346832
37,32,18.903767
37,33,8.210135
37,34,46.578819
37,35,6.775509
37,36,10.776041
37,37,21.595051
37,38,18.844765
37,39,7.47743
37,40,3.324585
37,41,91.066948
38,1,1.334454
38,2,1.000325
38,3,2.01715
38,4,0.096939
38,5,0.693009
38,6,0.924011
38,7,0.649696
38,8,0.103126
38,9,4.432367
38,10,0.290816
38,11,5.915323
38,12,0.158402
38,13,3.000975
38,14,3.681608
38,15,1.37983
38,16,1.722209
38,17,1.343178
38,18,1.307744
38,19,1.70278
38,20,1.268309
38,21,3.396649
38,22,1.724209
38,23,0.790442
38,24,4.45058
38,25,0.30282
38,26,0.597184
38,27,0.921578
38,28,1.364134
38,30,0.584334
38,31,1.823314
38,32,1.215921
38,33,0.528089
38,34,2.996024
38,35,0.435812
38,36,0.693132
38,37,1.389028
38,38,1.212126
38,39,0.48096
38,40,0.213843
38,41,5.857573
39,1,0.896586
39,2,0.672093
39,3,1.355273
39,4,0.065131
39,5,0.465615
39,6,0.62082
39,7,0.436514
39,8,0.069288
39,9,2.977997
39,10,0.195392
39,11,3.974358
39,12,0.106426
39,13,2.01628
39,14,2.47358
39,15,0.927073
39,16,1.157109
39,17,0.902448
39,18,0.878641
39,19,1.144055
39,20,0.852145
39,21,2.282124
39,22,1.158453
39,23,0.531078
39,24,2.990233
39,25,0.203457
39,26,0.401233
39,27,0.619185
39,28,0.916527
39,30,0.392599
39,31,1.225039
39,32,0.816947
39,33,0.35481
39,34,2.012954
39,35,0.292811
39,36,0.465698
39,37,0.933253
39,38,0.814397
39,39,0.323145
39,40,0.143676
39,41,3.935556
40,1,0.208508
40,2,0.156301
40,3,0.31518
40,4,0.015147
40,5,0.108283
40,6,0.144377
40,7,0.101515
40,8,0.016113
40,9,0.692557
40,10,0.04544
40,11,0.924269
40,12,0.02475
40,13,0.468902
40,14,0.575251
40,15,0.215598
40,16,0.269095
40,17,0.209872
40,18,0.204335
40,19,0.266059
40,20,0.198173
40,21,0.530726
40,22,0.269408
40,23,0.123507
40,24,0.695403
40,25,0.047316
40,26,0.09331
40,27,0.143996
40,28,0.213146
40,30,0.091302
40,31,0.284893
40,32,0.189988
40,33,0.082514
40,34,0.468129
40,35,0.068096
40,36,0.108302
40,37,0.217036
40,38,0.189395
40,39,0.07515
40,40,0.033413
40,41,0.915246
41,1,19.745749
41,2,14.801682
41,3,29.847515
41,4,1.43439
41,5,10.254361
41,6,13.672482
41,7,9.613463
41,8,1.525947
41,9,65.585182
41,10,4.303169
41,11,87.528297
41,12,2.343854
41,13,44.405045
41,14,54.476292
41,15,20.417166
41,16,25.483307
41,17,19.874844
41,18,19.350529
41,19,25.19582
41,20,18.767006
41,21,50.259796
41,22,25.512911
41,23,11.696075
41,24,65.854668
41,25,4.48079
41,26,8.836452
41,27,13.636468
41,28,20.184917
41,30,8.646318
41,31,26.979347
41,32,17.991827
41,33,7.814067
41,34,44.331799
41,35,6.44865
41,36,10.256192
41,37,20.55328
41,38,17.935671
41,39,7.11671
41,40,3.164203
41,41,86.673767
