link_id,nb_lane,length,from_node_id,to_node_id,FT,AT,dir_flag,time_period,period,period_factor,volume,capacity,speed,speed_limit,Date
10360AB,6,0.21931,12596,12614,1,1,1,0630_0645,0600_0900,2.826108439,355.75,4984,65.06666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0645_0700,0600_0900,2.826108439,346.5833333,4984,64.275,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0700_0715,0600_0900,2.826108439,360.75,4984,61.89166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0715_0730,0600_0900,2.826108439,369.75,4984,60.98333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0730_0745,0600_0900,2.826108439,315.5833333,4984,60.41666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0745_0800,0600_0900,2.826108439,369,4984,59.6,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0760_0815,0600_0900,2.826108439,365.3333333,4984,58.33333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0815_0830,0600_0900,2.826108439,355,4984,59.46666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0830_0845,0600_0900,2.826108439,360.3333333,4984,58.61666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0845_0860,0600_0900,2.826108439,352.8333333,4984,58.71666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0900_0915,0900_1400,4.789740585,311.1666667,8374,50.83333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0915_0930,0900_1400,4.789740585,326.1666667,8374,54.49166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0930_0945,0900_1400,4.789740585,330.75,8374,54.78333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0945_1000,0900_1400,4.789740585,327.5833333,8374,56.91666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1000_1015,0900_1400,4.789740585,308.8333333,8374,60.76666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1015_1030,0900_1400,4.789740585,317.9166667,8374,63.15833333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1030_1045,0900_1400,4.789740585,314.75,8374,63.61666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1045_1100,0900_1400,4.789740585,316.0833333,8374,63.5,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1060_1115,0900_1400,4.789740585,303.8333333,8374,63.59166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1115_1130,0900_1400,4.789740585,305.75,8374,62.725,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1130_1145,0900_1400,4.789740585,327.6666667,8374,60.69166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1145_1160,0900_1400,4.789740585,324.25,8374,58.73333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1200_1215,0900_1400,4.789740585,326.6666667,8374,57.08333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1215_1230,0900_1400,4.789740585,322.0833333,8374,58.99166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1230_1245,0900_1400,4.789740585,322.0833333,8374,55.39166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1245_1300,0900_1400,4.789740585,316.5833333,8374,56.25,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1300_1315,0900_1400,4.789740585,321.6666667,8374,57.175,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1315_1330,0900_1400,4.789740585,324.25,8374,46.5,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1330_1345,0900_1400,4.789740585,323.4166667,8374,44.725,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1345_1400,0900_1400,4.789740585,328.1666667,8374,44.675,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1360_1415,0900_1400,4.789740585,319.5,8374,40.74166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1415_1430,1400_1800,3.901633041,305.4166667,6745,37.9,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1430_1445,1400_1800,3.901633041,283.9166667,6745,32.75,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1445_1460,1400_1800,3.901633041,285.75,6745,29.79166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1500_1515,1400_1800,3.901633041,257.8333333,6745,29.16666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1515_1530,1400_1800,3.901633041,259.5833333,6745,25.4,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1530_1545,1400_1800,3.901633041,251,6745,24.80833333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1545_1600,1400_1800,3.901633041,243.1666667,6745,23.69166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1600_1615,1400_1800,3.901633041,238.0833333,6745,22.125,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1615_1630,1400_1800,3.901633041,222.75,6745,20.525,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1630_1645,1400_1800,3.901633041,225.3333333,6745,21.175,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1645_1700,1400_1800,3.901633041,207.75,6745,21.1,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1660_1715,1400_1800,3.901633041,218.9166667,6745,20.54166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1715_1730,1400_1800,3.901633041,218,6745,20.75,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1730_1745,1400_1800,3.901633041,235.5833333,6745,22.875,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1745_1760,1400_1800,3.901633041,237.75,6745,37.74166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1800_1815,1800_0600,4.789740585,241.8333333,8566,52.79166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1815_1830,1800_0600,4.789740585,270.1666667,8566,61.76666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1830_1845,1800_0600,4.789740585,267.9166667,8566,61.98333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1845_1900,1800_0600,4.789740585,272.4166667,8566,60.85,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1900_1915,1800_0600,4.789740585,266.0833333,8566,60.96666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1915_1930,1800_0600,4.789740585,268.75,8566,58.06666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1930_1945,1800_0600,4.789740585,267.5,8566,62.10833333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1945_2000,1800_0600,4.789740585,255.5,8566,63.34166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,1960_2015,1800_0600,4.789740585,259.25,8566,64.00833333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2015_2030,1800_0600,4.789740585,246.0833333,8566,64.24166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2030_2045,1800_0600,4.789740585,220.8333333,8566,65.08333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2045_2060,1800_0600,4.789740585,218.9166667,8566,65.36666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2100_2115,1800_0600,4.789740585,212.6666667,8566,65.34166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2115_2130,1800_0600,4.789740585,221,8566,65.34166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2130_2145,1800_0600,4.789740585,210.5833333,8566,65.65,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2145_2200,1800_0600,4.789740585,188.0833333,8566,66.35833333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2200_2215,1800_0600,4.789740585,173.6666667,8566,66.2,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2215_2230,1800_0600,4.789740585,166.25,8566,66.875,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2230_2245,1800_0600,4.789740585,158.8333333,8566,66.79166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2245_2300,1800_0600,4.789740585,152.3333333,8566,67,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2260_2315,1800_0600,4.789740585,146.8333333,8566,67.59166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2315_2330,1800_0600,4.789740585,122.75,8566,67.84166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2330_2345,1800_0600,4.789740585,115.5,8566,67.325,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,2345_2360,1800_0600,4.789740585,98,8566,67.70833333,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0000_0015,1800_0600,4.789740585,45,8296,75.2,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0015_0030,1800_0600,4.789740585,49,8296,75.85,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0030_0045,1800_0600,4.789740585,35,8296,75.45,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0045_0100,1800_0600,4.789740585,29.5,8296,76.1,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0100_0115,1800_0600,4.789740585,33,8296,75.4,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0115_0130,1800_0600,4.789740585,23.5,8296,75.45,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0130_0145,1800_0600,4.789740585,28.5,8296,75.3,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0145_0200,1800_0600,4.789740585,25.5,8296,75.8,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0160_0215,1800_0600,4.789740585,17.5,8296,77.95,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0215_0230,1800_0600,4.789740585,33.5,8296,77.15,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0230_0245,1800_0600,4.789740585,36,8296,76.4,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0245_0260,1800_0600,4.789740585,38.5,8296,78,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0300_0315,1800_0600,4.789740585,53,8296,77.75,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0315_0330,1800_0600,4.789740585,73,8296,78.2,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0330_0345,1800_0600,4.789740585,133.5,8296,79,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0345_0400,1800_0600,4.789740585,178.5,8296,79.4,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0400_0415,1800_0600,4.789740585,239,8296,77.95,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0415_0430,1800_0600,4.789740585,413,8296,73.95,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0430_0445,1800_0600,4.789740585,536,8296,71.7,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0445_0500,1800_0600,4.789740585,547,8296,71.15,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0460_0515,1800_0600,4.789740585,569.5,8296,67.15,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0515_0530,1800_0600,4.789740585,556.5,8296,62.55,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0530_0545,1800_0600,4.789740585,529.5,8296,60.75,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0545_0560,1800_0600,4.789740585,521.5,8296,60.5,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0600_0615,0600_0900,4.789740585,401,4774,64.4,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0615_0630,0600_0900,2.826108439,347,4774,64.6,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0630_0645,0600_0900,2.826108439,338.5,4774,64,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0645_0700,0600_0900,2.826108439,381,4774,63.55,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0700_0715,0600_0900,2.826108439,383,4774,61.5,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0715_0730,0600_0900,2.826108439,368,4774,62.95,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0730_0745,0600_0900,2.826108439,385.5,4774,62.3,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0745_0800,0600_0900,2.826108439,360.5,4774,52.7,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0760_0815,0600_0900,2.826108439,301,4774,42.05,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0815_0830,0600_0900,2.826108439,318,4774,42.9,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0830_0845,0600_0900,2.826108439,303,4774,41.95,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0845_0860,0600_0900,2.826108439,331,4774,48.25,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0900_0915,0900_1400,4.789740585,444,8147,63.35,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0915_0930,0900_1400,4.789740585,467,8147,63.2,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0930_0945,0900_1400,4.789740585,486,8147,62.45,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,0945_1000,0900_1400,4.789740585,496,8147,61.7,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1000_1015,0900_1400,4.789740585,524.5,8147,62.75,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1015_1030,0900_1400,4.789740585,478.5,8147,63.5,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1030_1045,0900_1400,4.789740585,462.5,8147,65.45,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1045_1100,0900_1400,4.789740585,423.5,8147,67.8,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1060_1115,0900_1400,4.789740585,415,8147,66.7,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1115_1130,0900_1400,4.789740585,499.5,8147,64,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1130_1145,0900_1400,4.789740585,445,8147,68.8,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1145_1160,0900_1400,4.789740585,445.5,8147,69.05,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1200_1215,0900_1400,4.789740585,407,8147,71.5,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1215_1230,0900_1400,4.789740585,436.5,8147,70.2,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1230_1245,0900_1400,4.789740585,425,8147,70.1,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1245_1300,0900_1400,4.789740585,436,8147,69.95,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1300_1315,0900_1400,4.789740585,454,8147,69.3,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1315_1330,0900_1400,4.789740585,471.5,8147,66.65,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1330_1345,0900_1400,4.789740585,489,8147,66.2,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1345_1400,0900_1400,4.789740585,451.5,8147,65.75,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1360_1415,0900_1400,4.789740585,469.5,8147,66.9,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1415_1430,1400_1800,3.901633041,477,6462,62.05,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1430_1445,1400_1800,3.901633041,457.5,6462,57.25,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1445_1460,1400_1800,3.901633041,400,6462,44.3,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1500_1515,1400_1800,3.901633041,364,6462,50.75,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1515_1530,1400_1800,3.901633041,365,6462,59.85,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1530_1545,1400_1800,3.901633041,329.5,6462,59.15,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1545_1600,1400_1800,3.901633041,320.5,6462,57.35,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1600_1615,1400_1800,3.901633041,333.5,6462,56,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1615_1630,1400_1800,3.901633041,329,6462,57.1,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1630_1645,1400_1800,3.901633041,306,6462,55.4,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1645_1700,1400_1800,3.901633041,321.5,6462,58.55,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1660_1715,1400_1800,3.901633041,302.5,6462,59.7,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1715_1730,1400_1800,3.901633041,306,6462,60,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1730_1745,1400_1800,3.901633041,287.5,6462,60.95,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1745_1760,1400_1800,3.901633041,277,6462,68.75,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1800_1815,1800_0600,4.789740585,233.5,8296,72.9,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1815_1830,1800_0600,4.789740585,267.5,8296,72,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1830_1845,1800_0600,4.789740585,253.5,8296,73.5,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1845_1900,1800_0600,4.789740585,250.5,8296,72.75,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1900_1915,1800_0600,4.789740585,334,8296,71.95,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1915_1930,1800_0600,4.789740585,317.5,8296,72.35,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1930_1945,1800_0600,4.789740585,302.5,8296,71.85,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1945_2000,1800_0600,4.789740585,274.5,8296,73.75,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,1960_2015,1800_0600,4.789740585,258,8296,72.65,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2015_2030,1800_0600,4.789740585,249,8296,72.7,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2030_2045,1800_0600,4.789740585,255.5,8296,73.4,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2045_2060,1800_0600,4.789740585,241.5,8296,73.4,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2100_2115,1800_0600,4.789740585,238,8296,72.8,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2115_2130,1800_0600,4.789740585,224.5,8296,74.05,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2130_2145,1800_0600,4.789740585,196,8296,74.55,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2145_2200,1800_0600,4.789740585,184.5,8296,74.75,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2200_2215,1800_0600,4.789740585,150,8296,74.75,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2215_2230,1800_0600,4.789740585,133,8296,75.5,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2230_2245,1800_0600,4.789740585,132.5,8296,75.35,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2245_2300,1800_0600,4.789740585,107,8296,74.9,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2260_2315,1800_0600,4.789740585,90.5,8296,76.2,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2315_2330,1800_0600,4.789740585,69.5,8296,75.55,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2330_2345,1800_0600,4.789740585,71,8296,75.9,70,1/1/2018
10362AB,1,0.24231,12616,12603,0,1,1,2345_2360,1800_0600,4.789740585,65,8296,75.45,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0000_0015,1800_0600,4.789740585,72.4,8566,69.38,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0015_0030,1800_0600,4.789740585,61.5,8566,69.23,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0030_0045,1800_0600,4.789740585,49.6,8566,69.58,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0045_0100,1800_0600,4.789740585,53.2,8566,69.8,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0100_0115,1800_0600,4.789740585,44.2,8566,70.1,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0115_0130,1800_0600,4.789740585,48.7,8566,69.91,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0130_0145,1800_0600,4.789740585,50.3,8566,69.39,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0145_0200,1800_0600,4.789740585,46.5,8566,69.23,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0160_0215,1800_0600,4.789740585,45.2,8566,69.15,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0215_0230,1800_0600,4.789740585,49.7,8566,70.35,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0230_0245,1800_0600,4.789740585,55.1,8566,70,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0245_0260,1800_0600,4.789740585,60.1,8566,70.66,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0300_0315,1800_0600,4.789740585,67.6,8566,70.96,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0315_0330,1800_0600,4.789740585,84.6,8566,70.46,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0330_0345,1800_0600,4.789740585,113.2,8566,71.15,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0345_0400,1800_0600,4.789740585,130.5,8566,71.65,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0400_0415,1800_0600,4.789740585,151.3,8566,71.3,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0415_0430,1800_0600,4.789740585,236.7,8566,69.48,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0430_0445,1800_0600,4.789740585,293.6,8566,67.89,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0445_0500,1800_0600,4.789740585,323.1,8566,67.82,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0460_0515,1800_0600,4.789740585,345.5,8566,65.08,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0515_0530,1800_0600,4.789740585,362.7,8566,61.52,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0530_0545,1800_0600,4.789740585,358.9,8566,60.66,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0545_0560,1800_0600,4.789740585,356.5,8566,59.28,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0600_0615,0600_0900,4.789740585,371.3,4984,58.5,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0615_0630,0600_0900,2.826108439,348.1,4984,57.39,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0630_0645,0600_0900,2.826108439,351.9,4984,55.62,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0645_0700,0600_0900,2.826108439,381.1,4984,56.33,70,1/1/2018
10363AB,5,0.20976,12612,12591,1,1,1,0700_0715,0600_0900,2.826108439,376.3,4984,54.76,70,1/1/2018
