link_id,link_no,layer_no,from_node_id,to_node_id,from_gate_flag,to_gate_flag,link_type,link_type_name,link_type_code,lanes,link_distance_VDF,free_speed,cutoff_speed,fftt,capacity,allow_uses,BPR_plf,BPR_alpha,BPR_beta,QVDF_plf,QVDF_alpha,QVDF_beta,QVDF_cd,QVDF_n,geometry
27,26,0,1352,5209,-1,-1,99,,,7.000000,0.404824,33.810000,28.738501,0.718411,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.933963 40.567876,-111.938738 40.568083)"
28,27,0,1352,6256,-1,-1,99,,,7.000000,0.408686,33.810000,28.738501,0.725264,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.933963 40.567876,-111.929139 40.568044)"
29,28,0,1352,11181,-1,-1,99,,,7.000000,0.638129,33.810000,28.738501,1.132439,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.933963 40.567876,-111.931031 40.573173)"
30,29,0,1352,11261,-1,-1,99,,,7.000000,0.621557,33.810000,28.738501,1.103029,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.933963 40.567876,-111.934612 40.562298)"
31,30,0,1353,5589,-1,-1,99,,,7.000000,0.412548,33.810000,28.738501,0.732116,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.934266 40.584068,-111.934063 40.587781)"
32,31,0,1353,11172,-1,-1,99,,,7.000000,0.385356,33.810000,28.738501,0.683861,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.934266 40.584068,-111.938819 40.584171)"
33,32,0,1353,11173,-1,-1,99,,,7.000000,0.426063,33.810000,28.738501,0.756102,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.934266 40.584068,-111.929246 40.584369)"
34,33,0,1354,5592,-1,-1,99,,,7.000000,0.422684,32.200000,27.370001,0.787610,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.923428 40.584054,-111.922175 40.587742)"
35,34,0,1354,11173,-1,-1,99,,,7.000000,0.493480,32.200000,27.370001,0.919529,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.923428 40.584054,-111.929246 40.584369)"
36,35,0,1355,5219,-1,-1,99,,,7.000000,0.374736,33.810000,28.738501,0.665015,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.924746 40.576632,-111.929172 40.576740)"
37,36,0,1355,11183,-1,-1,99,,,7.000000,0.474977,33.810000,28.738501,0.842905,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.924746 40.576632,-111.923406 40.572477)"
38,37,0,1356,6255,-1,-1,99,,,7.000000,0.406594,33.810000,28.738501,0.721552,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.924114 40.567177,-111.919626 40.565871)"
39,38,0,1356,6256,-1,-1,99,,,7.000000,0.436039,33.810000,28.738501,0.773805,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.924114 40.567177,-111.929139 40.568044)"
40,39,0,1356,11183,-1,-1,99,,,7.000000,0.591147,33.810000,28.738501,1.049062,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.924114 40.567177,-111.923406 40.572477)"
41,40,0,1356,11259,-1,-1,99,,,7.000000,0.615121,33.810000,28.738501,1.091607,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.924114 40.567177,-111.926737 40.562009)"
42,41,0,1357,5174,-1,-1,99,,,7.000000,0.671114,33.810000,28.738501,1.190974,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.914302 40.565109,-111.913869 40.559071)"
43,42,0,1357,5588,-1,-1,99,,,7.000000,0.797260,33.810000,28.738501,1.414835,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.914302 40.565109,-111.917018 40.571988)"
44,43,0,1357,6255,-1,-1,99,,,7.000000,0.458404,33.810000,28.738501,0.813494,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.914302 40.565109,-111.919626 40.565871)"
45,44,0,1359,6185,-1,-1,99,,,7.000000,0.576987,33.810000,28.738501,1.023935,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.911824 40.577722,-111.905514 40.575754)"
46,45,0,1360,10850,-1,-1,99,,,7.000000,0.265646,32.200000,27.370001,0.494992,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.901834 40.584029,-111.904175 40.585624)"
47,46,0,1360,11489,-1,-1,99,,,7.000000,0.381816,32.200000,27.370001,0.711458,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.901834 40.584029,-111.902652 40.580647)"
48,47,0,1361,5728,-1,-1,99,,,7.000000,0.274334,32.200000,27.370001,0.511182,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.902492 40.575680,-111.900794 40.573575)"
49,48,0,1397,11261,-1,-1,99,,,7.000000,0.983421,33.810000,28.738501,1.745201,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.936589 40.553565,-111.934612 40.562298)"
50,49,0,1404,11257,-1,-1,99,,,7.000000,0.223490,32.200000,27.370001,0.416441,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.908153 40.571760,-111.908371 40.569754)"
51,50,0,3689,11507,-1,-1,1,,,2.000000,0.151246,40.250000,34.212502,0.225460,601.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.900748 40.562521,-111.902527 40.562393)"
52,51,0,4156,10849,-1,-1,1,,,1.000000,0.152211,38.640000,32.844002,0.236353,633.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.900942 40.585620,-111.900672 40.584264)"
53,52,0,4156,10850,-1,-1,1,,,1.000000,0.273530,38.640000,32.844002,0.424736,633.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.900942 40.585620,-111.904175 40.585624)"
54,53,0,4804,5106,-1,-1,1,,,1.000000,0.418984,46.690000,39.686501,0.538424,666.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910307 40.602331,-111.910268 40.598557)"
55,54,0,4804,5109,-1,-1,1,,,1.000000,0.400480,46.690000,39.686501,0.514646,666.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910307 40.602331,-111.910315 40.605939)"
56,55,0,4899,5030,-1,-1,1,,,2.000000,0.418823,48.300000,41.055000,0.520277,633.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910059 40.625783,-111.909957 40.621262)"
57,56,0,4952,1289,-1,-1,99,,,7.000000,0.390504,33.810000,28.738501,0.692998,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.929251 40.616674,-111.933868 40.616707)"
58,57,0,4952,1290,-1,-1,99,,,7.000000,0.404824,33.810000,28.738501,0.718411,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.929251 40.616674,-111.924502 40.617134)"
59,58,0,4952,5022,-1,-1,1,,,1.000000,0.805626,51.520000,43.792000,0.938229,666.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.929251 40.616674,-111.929163 40.609415)"
60,59,0,4952,5440,-1,-1,1,,,1.000000,0.630712,51.520000,43.792000,0.734525,666.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.929251 40.616674,-111.929192 40.623484)"
61,60,0,4958,1299,-1,-1,99,,,7.000000,0.319869,33.810000,28.738501,0.567647,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910232 40.618529,-111.908054 40.616174)"
62,61,0,4958,5010,-1,-1,1,,,2.000000,0.227706,57.960000,49.265999,0.235720,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910232 40.618529,-111.910059 40.616076)"
63,62,0,4958,5030,-1,-1,1,,,2.000000,0.254367,57.960000,49.265999,0.263320,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910232 40.618529,-111.909957 40.621262)"
64,63,0,5009,5027,-1,-1,1,,,2.000000,0.242637,57.960000,49.265999,0.251177,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.913172 40.610470,-111.910314 40.610655)"
65,64,0,5009,5240,-1,-1,1,,,2.000000,0.477712,57.960000,49.265999,0.494526,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.913172 40.610470,-111.911929 40.614669)"
66,65,0,5009,5863,-1,-1,1,,,2.000000,0.306354,57.960000,49.265999,0.317136,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.913172 40.610470,-111.916784 40.610265)"
67,66,0,5010,4958,-1,-1,1,,,2.000000,0.227706,57.960000,49.265999,0.235720,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910059 40.616076,-111.910232 40.618529)"
68,67,0,5010,5027,-1,-1,1,,,1.000000,0.502603,56.350000,47.897499,0.535159,857.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910059 40.616076,-111.910314 40.610655)"
69,68,0,5010,5240,-1,-1,1,,,2.000000,0.216748,57.960000,49.265999,0.224377,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910059 40.616076,-111.911929 40.614669)"
70,69,0,5017,5018,-1,-1,1,,,3.000000,0.801282,69.230000,58.845501,0.694452,854.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938751 40.609517,-111.938855 40.616737)"
71,70,0,5017,11123,-1,-1,1,,,2.000000,0.421880,57.960000,49.265999,0.436729,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938751 40.609517,-111.943739 40.609520)"
72,71,0,5017,11124,-1,-1,1,,,2.000000,0.586320,57.960000,49.265999,0.606956,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938751 40.609517,-111.931819 40.609526)"
73,72,0,5017,11146,-1,-1,1,,,3.000000,0.401767,69.230000,58.845501,0.348202,854.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938751 40.609517,-111.938858 40.605898)"
74,73,0,5018,1285,-1,-1,99,,,7.000000,0.383586,33.810000,28.738501,0.680720,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938855 40.616737,-111.943375 40.616454)"
75,74,0,5018,1289,-1,-1,99,,,7.000000,0.421719,33.810000,28.738501,0.748392,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938855 40.616737,-111.933868 40.616707)"
76,75,0,5018,5017,-1,-1,1,,,3.000000,0.801282,69.230000,58.845501,0.694452,854.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938855 40.616737,-111.938751 40.609517)"
77,76,0,5018,5436,-1,-1,1,,,3.000000,0.815602,69.230000,58.845501,0.706863,854.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938855 40.616737,-111.938742 40.624085)"
78,77,0,5022,4952,-1,-1,1,,,1.000000,0.805626,51.520000,43.792000,0.938229,666.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.929163 40.609415,-111.929251 40.616674)"
79,78,0,5022,5524,-1,-1,1,,,2.000000,0.319869,57.960000,49.265999,0.331128,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.929163 40.609415,-111.925488 40.608731)"
80,79,0,5022,11124,-1,-1,1,,,2.000000,0.224938,57.960000,49.265999,0.232855,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.929163 40.609415,-111.931819 40.609526)"
81,80,0,5022,11147,-1,-1,1,,,1.000000,0.191471,51.520000,43.792000,0.222986,666.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.929163 40.609415,-111.929235 40.607691)"
82,81,0,5027,5009,-1,-1,1,,,2.000000,0.242637,57.960000,49.265999,0.251177,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910314 40.610655,-111.913172 40.610470)"
83,82,0,5027,5010,-1,-1,1,,,1.000000,0.502603,56.350000,47.897499,0.535159,857.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910314 40.610655,-111.910059 40.616076)"
84,83,0,5027,11129,-1,-1,1,,,2.000000,0.227995,57.960000,49.265999,0.236020,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910314 40.610655,-111.907639 40.610911)"
85,84,0,5027,11150,-1,-1,1,,,1.000000,0.382620,46.690000,39.686501,0.491694,666.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910314 40.610655,-111.910332 40.607207)"
86,85,0,5030,4899,-1,-1,1,,,2.000000,0.418823,48.300000,41.055000,0.520277,633.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.909957 40.621262,-111.910059 40.625783)"
87,86,0,5030,4958,-1,-1,1,,,2.000000,0.254367,57.960000,49.265999,0.263320,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.909957 40.621262,-111.910232 40.618529)"
88,87,0,5030,10872,-1,-1,1,,,2.000000,0.292178,57.960000,49.265999,0.302462,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.909957 40.621262,-111.913107 40.621094)"
89,88,0,5030,11128,-1,-1,1,,,2.000000,0.216427,46.690000,39.686501,0.278124,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.909957 40.621262,-111.907655 40.620856)"
90,89,0,5034,11129,-1,-1,1,,,2.000000,0.447849,57.960000,49.265999,0.463612,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.902804 40.610814,-111.907639 40.610911)"
91,90,0,5037,11128,-1,-1,1,,,2.000000,0.534413,46.690000,39.686501,0.686759,814.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.901884 40.620828,-111.907655 40.620856)"
92,91,0,5103,5820,-1,-1,1,,,1.000000,0.924531,51.520000,43.792000,1.076706,666.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.929223 40.594991,-111.929267 40.603321)"
93,92,0,5103,11161,-1,-1,1,,,1.000000,0.437809,51.520000,43.792000,0.509871,666.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.929223 40.594991,-111.929272 40.591047)"
94,93,0,5106,4804,-1,-1,1,,,1.000000,0.418984,46.690000,39.686501,0.538424,666.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910268 40.598557,-111.910307 40.602331)"
95,94,0,5106,5117,-1,-1,1,,,1.000000,1.203049,38.640000,32.844002,1.868089,633.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910268 40.598557,-111.910225 40.587717)"
96,95,0,5106,10852,-1,-1,1,,,1.000000,0.088656,38.640000,32.844002,0.137664,633.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910268 40.598557,-111.909246 40.598382)"
97,96,0,5109,4804,-1,-1,1,,,1.000000,0.400480,46.690000,39.686501,0.514646,666.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910315 40.605939,-111.910307 40.602331)"
98,97,0,5109,11150,-1,-1,1,,,1.000000,0.140787,46.690000,39.686501,0.180922,666.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910315 40.605939,-111.910332 40.607207)"
99,98,0,5109,11151,-1,-1,1,,,1.000000,0.313433,41.860000,35.581001,0.449259,514.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.910315 40.605939,-111.906610 40.605960)"
100,99,0,5112,5589,-1,-1,1,,,2.000000,0.394849,62.790000,53.371498,0.377304,892.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938730 40.587762,-111.934063 40.587781)"
101,100,0,5112,11159,-1,-1,1,,,2.000000,0.412387,62.790000,53.371498,0.394063,892.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938730 40.587762,-111.943604 40.587762)"
102,101,0,5112,11160,-1,-1,1,,,3.000000,0.342395,69.230000,58.845501,0.296746,854.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938730 40.587762,-111.938878 40.590844)"
103,102,0,5112,11172,-1,-1,1,,,2.000000,0.398549,62.790000,53.371498,0.380840,892.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938730 40.587762,-111.938819 40.584171)"
104,103,0,5113,8002,-1,-1,1,,,1.000000,0.389378,41.860000,35.581001,0.558115,514.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938770 40.594013,-111.943373 40.593977)"
105,104,0,5113,11148,-1,-1,1,,,3.000000,0.557679,69.230000,58.845501,0.483328,854.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938770 40.594013,-111.938793 40.599039)"
106,105,0,5113,11160,-1,-1,1,,,3.000000,0.351888,69.230000,58.845501,0.304973,854.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.938770 40.594013,-111.938878 40.590844)"
107,106,0,5114,5589,-1,-1,1,,,2.000000,0.411904,62.790000,53.371498,0.393602,892.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.929195 40.587794,-111.934063 40.587781)"
108,107,0,5114,5592,-1,-1,1,,,2.000000,0.594043,51.520000,43.792000,0.691820,847.000000,auto,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.929195 40.587794,-111.922175 40.587742)"
