link_seq_id,link_id,based_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,lanes_p1_s0_auto,VOL_p1_s0_auto,MEU_p1_s0_auto,CAP_p1_s0_auto,PEN_p1_s0_auto,DOC_p1_s0_auto,TT_p1_s0_auto,CO2_p1_s0_auto,NOX_p1_s0_auto,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,
11,11,,1314,11146,"LINESTRING (-111.944074 40.606326,-111.938858 40.605898)",0.443762,0.275800,0.787511,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,691.3,691.3,70000.0,0.0,0.0,0.8,0.0,0.0,691.3,691.3,70000.000,0.000,0.010,0.788,0.000,0.000,
12,12,,1316,11148,"LINESTRING (-111.943565 40.598006,-111.938793 40.599039)",0.419627,0.260800,0.744680,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,0.0,0.0,70000.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,70000.000,0.000,0.000,0.745,0.000,0.000,
13,13,,1318,11160,"LINESTRING (-111.943411 40.590891,-111.938878 40.590844)",0.383586,0.238400,0.680720,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,0.0,0.0,70000.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,70000.000,0.000,0.000,0.681,0.000,0.000,
14,14,,1319,11124,"LINESTRING (-111.934408 40.607297,-111.931819 40.609526)",0.330489,0.205400,0.586493,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,7.0,,7.0,365.2,365.2,70000.0,0.0,0.0,0.6,0.0,0.0,365.2,365.2,70000.000,0.000,0.005,0.586,0.000,0.000,
15,15,,1320,5820,"LINESTRING (-111.934152 40.599993,-111.929267 40.603321)",0.554301,0.344500,0.983674,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,7.0,,7.0,0.0,0.0,70000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70000.000,0.000,0.000,0.984,0.000,0.000,
16,16,,1320,11148,"LINESTRING (-111.934152 40.599993,-111.938793 40.599039)",0.406594,0.252700,0.721552,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,7.0,,7.0,0.0,0.0,70000.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,70000.000,0.000,0.000,0.722,0.000,0.000,
17,17,,1322,5589,"LINESTRING (-111.934349 40.591006,-111.934063 40.587781)",0.358646,0.222900,0.636462,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,7.0,,7.0,0.0,0.0,70000.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,70000.000,0.000,0.000,0.636,0.000,0.000,
18,18,,1322,11161,"LINESTRING (-111.934349 40.591006,-111.929272 40.591047)",0.429603,0.267000,0.762383,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,7.0,,7.0,272.2,272.2,70000.0,0.0,0.0,0.8,0.0,0.0,272.2,272.2,70000.000,0.000,0.004,0.762,0.000,0.000,
19,19,,1323,5592,"LINESTRING (-111.921418 40.591609,-111.922175 40.587742)",0.433947,0.269700,0.770093,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,7.0,,7.0,706.7,706.7,70000.0,0.0,0.0,0.8,0.0,0.0,706.7,706.7,70000.000,0.000,0.010,0.770,0.000,0.000,
20,20,,1325,10853,"LINESTRING (-111.907451 40.592344,-111.904442 40.592385)",0.254705,0.158300,0.474605,32.200000,-27.800000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,7.0,,7.0,341.5,341.5,70000.0,0.0,0.0,0.5,0.0,0.0,341.5,341.5,70000.000,0.000,0.005,0.475,0.000,0.000,
21,21,,1346,11172,"LINESTRING (-111.943605 40.584092,-111.938819 40.584171)",0.405146,0.251800,0.718982,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,809.4,809.4,70000.0,0.0,0.0,0.7,0.0,0.0,809.4,809.4,70000.000,0.000,0.012,0.719,0.000,0.000,
22,22,,1348,5210,"LINESTRING (-111.943542 40.576985,-111.938741 40.576961)",0.406272,0.252500,0.720980,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,0.0,0.0,70000.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,70000.000,0.000,0.000,0.721,0.000,0.000,
23,23,,1349,5210,"LINESTRING (-111.934352 40.576870,-111.938741 40.576961)",0.371518,0.230900,0.659305,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,219.4,219.4,70000.0,0.0,0.0,0.7,0.0,0.0,219.4,219.4,70000.000,0.000,0.003,0.659,0.000,0.000,
24,24,,1349,5219,"LINESTRING (-111.934352 40.576870,-111.929172 40.576740)",0.438613,0.272600,0.778373,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,252.0,252.0,70000.0,0.0,0.0,0.8,0.0,0.0,252.0,252.0,70000.000,0.000,0.004,0.778,0.000,0.000,
25,25,,1349,11181,"LINESTRING (-111.934352 40.576870,-111.931031 40.573173)",0.497342,0.309100,0.882594,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,333.1,333.1,70000.0,0.0,0.0,0.9,0.0,0.0,333.1,333.1,70000.000,0.000,0.005,0.883,0.000,0.000,
26,26,,1351,5209,"LINESTRING (-111.943535 40.568001,-111.938738 40.568083)",0.406112,0.252400,0.720695,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,271.6,271.6,70000.0,0.0,0.0,0.7,0.0,0.0,271.6,271.6,70000.000,0.000,0.004,0.721,0.000,0.000,
27,27,,1352,5209,"LINESTRING (-111.933963 40.567876,-111.938738 40.568083)",0.404824,0.251600,0.718411,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,97.8,97.8,70000.0,0.0,0.0,0.7,0.0,0.0,97.8,97.8,70000.000,0.000,0.001,0.718,0.000,0.000,
28,28,,1352,6256,"LINESTRING (-111.933963 40.567876,-111.929139 40.568044)",0.408686,0.254000,0.725264,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,161.5,161.5,70000.0,0.0,0.0,0.7,0.0,0.0,161.5,161.5,70000.000,0.000,0.002,0.725,0.000,0.000,
29,29,,1352,11181,"LINESTRING (-111.933963 40.567876,-111.931031 40.573173)",0.638129,0.396600,1.132439,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,119.4,119.4,70000.0,0.0,0.0,1.1,0.0,0.0,119.4,119.4,70000.000,0.000,0.002,1.132,0.000,0.000,
30,30,,1352,11261,"LINESTRING (-111.933963 40.567876,-111.934612 40.562298)",0.621557,0.386300,1.103029,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,39.0,39.0,70000.0,0.0,0.0,1.1,0.0,0.0,39.0,39.0,70000.000,0.000,0.001,1.103,0.000,0.000,
31,31,,1353,5589,"LINESTRING (-111.934266 40.584068,-111.934063 40.587781)",0.412548,0.256400,0.732116,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,7.0,,7.0,23.8,23.8,70000.0,0.0,0.0,0.7,0.0,0.0,23.8,23.8,70000.000,0.000,0.000,0.732,0.000,0.000,
32,32,,1353,11172,"LINESTRING (-111.934266 40.584068,-111.938819 40.584171)",0.385356,0.239500,0.683861,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,7.0,,7.0,45.7,45.7,70000.0,0.0,0.0,0.7,0.0,0.0,45.7,45.7,70000.000,0.000,0.001,0.684,0.000,0.000,
33,33,,1353,11173,"LINESTRING (-111.934266 40.584068,-111.929246 40.584369)",0.426063,0.264800,0.756102,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,7.0,,7.0,27.7,27.7,70000.0,0.0,0.0,0.8,0.0,0.0,27.7,27.7,70000.000,0.000,0.000,0.756,0.000,0.000,
34,34,,1354,5592,"LINESTRING (-111.923428 40.584054,-111.922175 40.587742)",0.422684,0.262700,0.787610,32.200000,-27.800000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,7.0,,7.0,527.2,527.2,70000.0,0.0,0.0,0.8,0.0,0.0,527.2,527.2,70000.000,0.000,0.008,0.788,0.000,0.000,
35,35,,1354,11173,"LINESTRING (-111.923428 40.584054,-111.929246 40.584369)",0.493480,0.306700,0.919529,32.200000,-27.800000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,7.0,,7.0,208.8,208.8,70000.0,0.0,0.0,0.9,0.0,0.0,208.8,208.8,70000.000,0.000,0.003,0.920,0.000,0.000,
36,36,,1355,5219,"LINESTRING (-111.924746 40.576632,-111.929172 40.576740)",0.374736,0.232900,0.665015,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,0.0,0.0,70000.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,70000.000,0.000,0.000,0.665,0.000,0.000,
37,37,,1355,11183,"LINESTRING (-111.924746 40.576632,-111.923406 40.572477)",0.474977,0.295200,0.842905,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,448.1,448.1,70000.0,0.0,0.0,0.8,0.0,0.0,448.1,448.1,70000.000,0.000,0.006,0.843,0.000,0.000,
38,38,,1356,6255,"LINESTRING (-111.924114 40.567177,-111.919626 40.565871)",0.406594,0.252700,0.721552,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,116.0,116.0,70000.0,0.0,0.0,0.7,0.0,0.0,116.0,116.0,70000.000,0.000,0.002,0.722,0.000,0.000,
39,39,,1356,6256,"LINESTRING (-111.924114 40.567177,-111.929139 40.568044)",0.436039,0.271000,0.773805,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,255.4,255.4,70000.0,0.0,0.0,0.8,0.0,0.0,255.4,255.4,70000.000,0.000,0.004,0.774,0.000,0.000,
40,40,,1356,11183,"LINESTRING (-111.924114 40.567177,-111.923406 40.572477)",0.591147,0.367400,1.049062,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,73.2,73.2,70000.0,0.0,0.0,1.0,0.0,0.0,73.2,73.2,70000.000,0.000,0.001,1.049,0.000,0.000,
41,41,,1356,11259,"LINESTRING (-111.924114 40.567177,-111.926737 40.562009)",0.615121,0.382300,1.091607,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,93.1,93.1,70000.0,0.0,0.0,1.1,0.0,0.0,93.1,93.1,70000.000,0.000,0.001,1.092,0.000,0.000,
42,42,,1357,5174,"LINESTRING (-111.914302 40.565109,-111.913869 40.559071)",0.671114,0.417100,1.190974,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,0.0,0.0,70000.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,70000.000,0.000,0.000,1.191,0.000,0.000,
43,43,,1357,5588,"LINESTRING (-111.914302 40.565109,-111.917018 40.571988)",0.797260,0.495500,1.414835,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,0.0,0.0,70000.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,70000.000,0.000,0.000,1.415,0.000,0.000,
44,44,,1357,6255,"LINESTRING (-111.914302 40.565109,-111.919626 40.565871)",0.458404,0.284900,0.813494,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,0.0,0.0,70000.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,70000.000,0.000,0.000,0.813,0.000,0.000,
45,45,,1359,6185,"LINESTRING (-111.911824 40.577722,-111.905514 40.575754)",0.576987,0.358600,1.023935,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,457.4,457.4,70000.0,0.0,0.0,1.0,0.0,0.0,457.4,457.4,70000.000,0.000,0.007,1.024,0.000,0.000,
46,46,,1360,10850,"LINESTRING (-111.901834 40.584029,-111.904175 40.585624)",0.265646,0.165100,0.494992,32.200000,-27.800000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,0.0,0.0,70000.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,70000.000,0.000,0.000,0.495,0.000,0.000,
47,47,,1360,11489,"LINESTRING (-111.901834 40.584029,-111.902652 40.580647)",0.381816,0.237300,0.711458,32.200000,-27.800000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,0.0,0.0,70000.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,70000.000,0.000,0.000,0.711,0.000,0.000,
48,48,,1361,5728,"LINESTRING (-111.902492 40.575680,-111.900794 40.573575)",0.274334,0.170500,0.511182,32.200000,-27.800000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,0.0,0.0,70000.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,70000.000,0.000,0.000,0.511,0.000,0.000,
49,49,,1397,11261,"LINESTRING (-111.936589 40.553565,-111.934612 40.562298)",0.983421,0.611200,1.745201,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,47.1,47.1,70000.0,0.0,0.0,1.7,0.0,0.0,47.1,47.1,70000.000,0.000,0.001,1.745,0.000,0.000,
50,50,,1404,11257,"LINESTRING (-111.908153 40.571760,-111.908371 40.569754)",0.223490,0.138900,0.416441,32.200000,-27.800000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,49.9,49.9,70000.0,0.0,0.0,0.4,0.0,0.0,49.9,49.9,70000.000,0.000,0.001,0.416,0.000,0.000,
51,51,motorway,3689,11507,"LINESTRING (-111.900748 40.562521,-111.902527 40.562393)",0.151246,0.094000,0.225460,40.250000,-79.750000,601.000000,-1399.000000,-1,,network_wide,-1,0,-1,-1,2.0,motorway,2.0,0.0,0.0,1202.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1202.000,0.000,0.000,0.225,0.000,0.000,
52,52,motorway,4156,10849,"LINESTRING (-111.900942 40.585620,-111.900672 40.584264)",0.152211,0.094600,0.236353,38.640000,-81.360000,633.000000,-1367.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,1.0,0.0,0.0,633.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,633.000,0.000,0.000,0.236,0.000,0.000,
53,53,motorway,4156,10850,"LINESTRING (-111.900942 40.585620,-111.904175 40.585624)",0.273530,0.170000,0.424736,38.640000,-81.360000,633.000000,-1367.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,1.0,4.6,4.6,633.0,0.0,0.0,0.4,40.8,0.0,4.6,4.6,633.000,0.000,0.007,0.425,40.823,0.011,
54,54,motorway,4804,5106,"LINESTRING (-111.910307 40.602331,-111.910268 40.598557)",0.418984,0.260400,0.538424,46.690000,-73.310000,666.000000,-1334.000000,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1574.5,1574.5,666.0,0.0,2.4,3.1,40535.4,4.8,1574.5,1574.5,666.000,0.000,2.364,3.061,40535.366,4.772,
55,55,motorway,4804,5109,"LINESTRING (-111.910307 40.602331,-111.910315 40.605939)",0.400480,0.248900,0.514646,46.690000,-73.310000,666.000000,-1334.000000,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1137.8,1137.8,666.0,0.0,1.7,1.2,14612.0,2.5,1137.8,1137.8,666.000,0.000,1.708,1.172,14611.979,2.534,
56,56,motorway,4899,5030,"LINESTRING (-111.910059 40.625783,-111.909957 40.621262)",0.418823,0.260300,0.520277,48.300000,-71.700000,633.000000,-1367.000000,-1,,network_wide,-1,0,-1,-1,2.0,motorway,2.0,246.2,246.2,1266.0,0.0,0.2,0.5,2662.4,0.7,246.2,246.2,1266.000,0.000,0.194,0.520,2662.408,0.709,
57,57,,4952,1289,"LINESTRING (-111.929251 40.616674,-111.933868 40.616707)",0.390504,0.242700,0.692998,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,105.5,105.5,70000.0,0.0,0.0,0.7,0.0,0.0,105.5,105.5,70000.000,0.000,0.002,0.693,0.000,0.000,
58,58,,4952,1290,"LINESTRING (-111.929251 40.616674,-111.924502 40.617134)",0.404824,0.251600,0.718411,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,173.1,173.1,70000.0,0.0,0.0,0.7,0.0,0.0,173.1,173.1,70000.000,0.000,0.002,0.718,0.000,0.000,
59,59,motorway,4952,5022,"LINESTRING (-111.929251 40.616674,-111.929163 40.609415)",0.805626,0.500700,0.938229,51.520000,-68.480000,666.000000,-1334.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,1.0,460.9,460.9,666.0,0.0,0.7,1.0,8906.7,2.3,460.9,460.9,666.000,0.000,0.692,0.971,8906.730,2.329,
60,60,motorway,4952,5440,"LINESTRING (-111.929251 40.616674,-111.929192 40.623484)",0.630712,0.391990,0.734525,51.520000,-68.480000,666.000000,-1334.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,1.0,631.7,631.7,666.0,0.0,0.9,0.8,9445.9,2.4,631.7,631.7,666.000,0.000,0.948,0.824,9445.850,2.367,
61,61,,4958,1299,"LINESTRING (-111.910232 40.618529,-111.908054 40.616174)",0.319869,0.198800,0.567647,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,103.5,103.5,70000.0,0.0,0.0,0.6,0.0,0.0,103.5,103.5,70000.000,0.000,0.001,0.568,0.000,0.000,
62,62,motorway,4958,5010,"LINESTRING (-111.910232 40.618529,-111.910059 40.616076)",0.227706,0.141520,0.235720,57.960000,-62.040000,814.000000,-1186.000000,-1,,network_wide,-1,0,-1,-1,2.0,motorway,2.0,1321.6,1321.6,1628.0,0.0,0.8,0.3,6408.8,1.7,1321.6,1321.6,1628.000,0.000,0.812,0.251,6408.755,1.653,
63,63,motorway,4958,5030,"LINESTRING (-111.910232 40.618529,-111.909957 40.621262)",0.254367,0.158090,0.263320,57.960000,-62.040000,814.000000,-1186.000000,-1,,network_wide,-1,0,-1,-1,2.0,motorway,2.0,1764.8,1764.8,1628.0,0.0,1.1,0.3,9548.3,2.3,1764.8,1764.8,1628.000,0.000,1.084,0.318,9548.324,2.313,
64,64,motorway,5009,5027,"LINESTRING (-111.913172 40.610470,-111.910314 40.610655)",0.242637,0.150800,0.251177,57.960000,-62.040000,814.000000,-1186.000000,-1,,network_wide,-1,0,-1,1,2.0,motorway,2.0,803.6,803.6,1628.0,0.0,0.5,0.3,4187.6,1.1,803.6,803.6,1628.000,0.000,0.494,0.253,4187.562,1.110,
65,65,motorway,5009,5240,"LINESTRING (-111.913172 40.610470,-111.911929 40.614669)",0.477712,0.296900,0.494526,57.960000,-62.040000,814.000000,-1186.000000,-1,,network_wide,-1,0,-1,1,2.0,motorway,2.0,560.7,560.7,1628.0,0.0,0.3,0.5,5760.7,1.5,560.7,560.7,1628.000,0.000,0.344,0.496,5760.720,1.532,
66,66,motorway,5009,5863,"LINESTRING (-111.913172 40.610470,-111.916784 40.610265)",0.306354,0.190400,0.317136,57.960000,-62.040000,814.000000,-1186.000000,-1,,network_wide,-1,0,-1,1,2.0,motorway,2.0,588.5,588.5,1628.0,0.0,0.4,0.3,3877.3,1.0,588.5,588.5,1628.000,0.000,0.361,0.318,3877.275,1.031,
67,67,motorway,5010,4958,"LINESTRING (-111.910059 40.616076,-111.910232 40.618529)",0.227706,0.141520,0.235720,57.960000,-62.040000,814.000000,-1186.000000,-1,,network_wide,-1,0,-1,-1,2.0,motorway,2.0,1685.0,1685.0,1628.0,0.0,1.0,0.3,8147.4,2.0,1685.0,1685.0,1628.000,0.000,1.035,0.276,8147.429,2.003,
68,68,motorway,5010,5027,"LINESTRING (-111.910059 40.616076,-111.910314 40.610655)",0.502603,0.312370,0.535159,56.350000,-63.650000,857.000000,-1143.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,1.0,1132.0,1132.0,857.0,0.0,1.3,0.8,12812.8,2.8,1132.0,1132.0,857.000,0.000,1.321,0.780,12812.842,2.820,
69,69,motorway,5010,5240,"LINESTRING (-111.910059 40.616076,-111.911929 40.614669)",0.216748,0.134710,0.224377,57.960000,-62.040000,814.000000,-1186.000000,-1,,network_wide,-1,0,-1,-1,2.0,motorway,2.0,189.5,189.5,1628.0,0.0,0.1,0.2,883.9,0.2,189.5,189.5,1628.000,0.000,0.116,0.224,883.913,0.235,
70,70,motorway,5017,5018,"LINESTRING (-111.938751 40.609517,-111.938855 40.616737)",0.801282,0.498000,0.694452,69.230000,-50.770000,854.000000,-1146.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,3.0,1906.6,1906.6,2562.0,0.0,0.7,0.7,27475.0,7.2,1906.6,1906.6,2562.000,0.000,0.744,0.726,27474.955,7.169,
71,71,motorway,5017,11123,"LINESTRING (-111.938751 40.609517,-111.943739 40.609520)",0.421880,0.262200,0.436729,57.960000,-62.040000,814.000000,-1186.000000,-1,,network_wide,-1,0,-1,-1,2.0,motorway,2.0,334.3,334.3,1628.0,0.0,0.2,0.4,3034.3,0.8,334.3,334.3,1628.000,0.000,0.205,0.437,3034.274,0.808,
72,72,motorway,5017,11124,"LINESTRING (-111.938751 40.609517,-111.931819 40.609526)",0.586320,0.364400,0.606956,57.960000,-62.040000,814.000000,-1186.000000,-1,,network_wide,-1,0,-1,-1,2.0,motorway,2.0,534.4,534.4,1628.0,0.0,0.3,0.6,6740.0,1.8,534.4,534.4,1628.000,0.000,0.328,0.608,6740.022,1.793,
73,73,motorway,5017,11146,"LINESTRING (-111.938751 40.609517,-111.938858 40.605898)",0.401767,0.249700,0.348202,69.230000,-50.770000,854.000000,-1146.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,3.0,1865.2,1865.2,2562.0,0.0,0.7,0.4,13477.8,3.5,1865.2,1865.2,2562.000,0.000,0.728,0.363,13477.784,3.523,
74,74,,5018,1285,"LINESTRING (-111.938855 40.616737,-111.943375 40.616454)",0.383586,0.238400,0.680720,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,629.4,629.4,70000.0,0.0,0.0,0.7,0.0,0.0,629.4,629.4,70000.000,0.000,0.009,0.681,0.000,0.000,
