link_id,from_node_id,to_node_id,time_period,volume,CA,CD,density,queue,travel_time,waiting_time_in_sec,speed,notes
1,1,3,1425:00_1426:00,42.00000,998.00000,965.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1426:00_1427:00,41.00000,1039.00000,1006.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1427:00_1428:00,42.00000,1081.00000,1048.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1428:00_1429:00,41.00000,1122.00000,1089.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1429:00_1430:00,42.00000,1164.00000,1131.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1430:00_1431:00,41.00000,1205.00000,1172.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1431:00_1432:00,42.00000,1247.00000,1214.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1432:00_1433:00,41.00000,1288.00000,1255.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1433:00_1434:00,42.00000,1330.00000,1297.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1434:00_1435:00,41.00000,1372.00000,1338.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1435:00_1436:00,42.00000,1413.00000,1380.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1436:00_1437:00,41.00000,1455.00000,1421.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1437:00_1438:00,42.00000,1496.00000,1463.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1438:00_1439:00,41.00000,1538.00000,1504.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1439:00_1440:00,42.00000,1579.00000,1546.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1440:00_1441:00,41.00000,1621.00000,1587.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1441:00_1442:00,42.00000,1662.00000,1629.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1442:00_1443:00,41.00000,1704.00000,1670.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1443:00_1444:00,42.00000,1745.00000,1712.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1444:00_1445:00,42.00000,1787.00000,1754.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1445:00_1446:00,41.00000,1828.00000,1795.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1446:00_1447:00,42.00000,1870.00000,1837.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1447:00_1448:00,41.00000,1911.00000,1878.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1448:00_1449:00,42.00000,1953.00000,1920.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1449:00_1450:00,41.00000,1994.00000,1961.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1450:00_1451:00,42.00000,2036.00000,2003.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1451:00_1452:00,41.00000,2077.00000,2044.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1452:00_1453:00,42.00000,2119.00000,2086.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1453:00_1454:00,41.00000,2160.00000,2127.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1454:00_1455:00,42.00000,2202.00000,2169.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1455:00_1456:00,41.00000,2244.00000,2210.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1456:00_1457:00,42.00000,2285.00000,2252.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1457:00_1458:00,41.00000,2327.00000,2293.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1458:00_1459:00,42.00000,2368.00000,2335.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1459:00_1500:00,41.00000,2410.00000,2376.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1500:00_1501:00,42.00000,2451.00000,2418.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1501:00_1502:00,41.00000,2493.00000,2459.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1502:00_1503:00,42.00000,2534.00000,2501.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1503:00_1504:00,42.00000,2576.00000,2543.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1504:00_1505:00,41.00000,2617.00000,2584.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1505:00_1506:00,42.00000,2659.00000,2626.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1506:00_1507:00,41.00000,2700.00000,2667.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1507:00_1508:00,42.00000,2742.00000,2709.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1508:00_1509:00,41.00000,2783.00000,2750.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1509:00_1510:00,42.00000,2825.00000,2792.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1510:00_1511:00,41.00000,2866.00000,2833.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1511:00_1512:00,42.00000,2908.00000,2875.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1512:00_1513:00,41.00000,2949.00000,2916.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1513:00_1514:00,42.00000,2991.00000,2958.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1514:00_1515:00,41.00000,3033.00000,2999.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1515:00_1516:00,42.00000,3074.00000,3041.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1516:00_1517:00,41.00000,3116.00000,3082.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1517:00_1518:00,42.00000,3157.00000,3124.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1518:00_1519:00,41.00000,3199.00000,3165.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1519:00_1520:00,42.00000,3240.00000,3207.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1520:00_1521:00,41.00000,3282.00000,3248.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1521:00_1522:00,42.00000,3323.00000,3290.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1522:00_1523:00,41.00000,3365.00000,3331.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1523:00_1524:00,42.00000,3406.00000,3373.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1524:00_1525:00,42.00000,3448.00000,3415.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1525:00_1526:00,41.00000,3489.00000,3456.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1526:00_1527:00,42.00000,3531.00000,3498.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1527:00_1528:00,41.00000,3572.00000,3539.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1528:00_1529:00,42.00000,3614.00000,3581.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1529:00_1530:00,41.00000,3655.00000,3622.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1530:00_1531:00,42.00000,3697.00000,3664.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1531:00_1532:00,41.00000,3738.00000,3705.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1532:00_1533:00,42.00000,3780.00000,3747.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1533:00_1534:00,41.00000,3821.00000,3788.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1534:00_1535:00,42.00000,3863.00000,3830.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1535:00_1536:00,41.00000,3905.00000,3871.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1536:00_1537:00,42.00000,3946.00000,3913.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1537:00_1538:00,41.00000,3988.00000,3954.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1538:00_1539:00,42.00000,4029.00000,3996.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1539:00_1540:00,41.00000,4071.00000,4037.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1540:00_1541:00,42.00000,4112.00000,4079.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
