od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,path_FF_travel_time_min,distance_km,distance_mile,
23,1,24,0,23,0,0,p,AM,135.12,1,-111.942300,40.624038,-111.907451,40.592344,7.7174,6.4428,4.0043,
24,1,25,0,24,0,0,p,AM,9.19,1,-111.942300,40.624038,-111.923428,40.584054,5.9887,6.0135,3.7374,
25,1,26,0,25,0,0,p,AM,18.13,1,-111.942300,40.624038,-111.921418,40.591609,4.9666,4.8102,2.9896,
26,1,27,0,26,0,0,p,AM,27.98,1,-111.942300,40.624038,-111.943605,40.584092,4.9091,5.1369,3.1926,
27,1,28,0,27,0,0,p,AM,41.41,1,-111.942300,40.624038,-111.911824,40.577722,7.6039,7.6830,4.7750,
28,1,30,0,29,0,0,p,AM,17.74,1,-111.942300,40.624038,-111.901834,40.584029,8.2068,7.9883,4.9648,
29,1,31,0,30,0,0,p,AM,55.35,1,-111.942300,40.624038,-111.944074,40.606326,2.8503,2.7633,1.7174,
30,1,32,0,31,0,0,p,AM,36.91,1,-111.942300,40.624038,-111.943375,40.616454,1.7001,1.5001,0.9323,
31,1,33,0,32,0,0,p,AM,16.03,1,-111.942300,40.624038,-111.943535,40.568001,6.6182,6.9235,4.3030,
32,1,34,0,33,0,0,p,AM,90.96,1,-111.942300,40.624038,-111.934408,40.607297,2.4084,2.5144,1.5627,
33,1,35,0,34,0,0,p,AM,13.23,1,-111.942300,40.624038,-111.924502,40.617134,2.6450,2.1854,1.3583,
34,1,36,0,35,0,0,p,AM,21.04,1,-111.942300,40.624038,-111.908054,40.616174,3.8666,3.5043,2.1780,
35,1,37,0,36,0,0,p,AM,42.17,1,-111.942300,40.624038,-111.934352,40.576870,5.6146,5.9036,3.6691,
36,1,38,0,37,0,0,p,AM,36.80,1,-111.942300,40.624038,-111.936589,40.553565,8.6164,8.4897,5.2764,
37,1,39,0,38,0,0,p,AM,14.60,1,-111.942300,40.624038,-111.908153,40.571760,9.3248,8.9908,5.5878,
38,1,40,0,39,0,0,p,AM,6.49,1,-111.942300,40.624038,-111.915638,40.613722,4.3464,3.9597,2.4610,
39,1,41,0,40,0,0,p,AM,177.83,1,-111.942300,40.624038,-111.938760,40.630427,0.9847,1.0048,0.6245,
40,2,1,1,0,0,0,p,AM,30.34,1,-111.943739,40.609520,-111.942300,40.624038,2.1509,2.3396,1.4541,
41,2,3,1,2,0,0,p,AM,45.86,1,-111.943739,40.609520,-111.943604,40.587762,2.9260,3.2497,2.0197,
42,2,4,1,3,0,0,p,AM,2.20,1,-111.943739,40.609520,-111.944442,40.573253,4.7133,4.9509,3.0770,
43,2,5,1,4,0,0,p,AM,15.76,1,-111.943739,40.609520,-111.943762,40.562247,5.6924,6.0939,3.7874,
44,2,6,1,5,0,0,p,AM,21.01,1,-111.943739,40.609520,-111.938753,40.552997,6.2470,6.6959,4.1615,
45,2,7,1,6,0,0,p,AM,14.77,1,-111.943739,40.609520,-111.929153,40.555761,6.9861,7.1826,4.4640,
46,2,8,1,7,0,0,p,AM,2.34,1,-111.943739,40.609520,-111.902749,40.557151,8.1275,7.7082,4.7907,
47,2,9,1,8,0,0,p,AM,100.77,1,-111.943739,40.609520,-111.899113,40.558973,8.3007,7.8131,4.8559,
48,2,10,1,9,0,0,p,AM,6.61,1,-111.943739,40.609520,-111.897106,40.569721,8.0347,7.5437,4.6884,
49,2,11,1,10,0,0,p,AM,134.48,1,-111.943739,40.609520,-111.901030,40.587971,6.2659,6.1866,3.8450,
50,2,12,1,11,0,0,p,AM,3.60,1,-111.943739,40.609520,-111.906610,40.605960,4.0827,3.6946,2.2962,
51,2,13,1,12,0,0,p,AM,68.23,1,-111.943739,40.609520,-111.902804,40.610814,3.6602,3.5336,2.1961,
52,2,14,1,13,0,0,p,AM,83.70,1,-111.943739,40.609520,-111.901884,40.620828,4.8930,4.5425,2.8232,
53,2,15,1,14,0,0,p,AM,31.37,1,-111.943739,40.609520,-111.910059,40.625783,4.4481,4.2105,2.6168,
54,2,16,1,15,0,0,p,AM,39.15,1,-111.943739,40.609520,-111.929192,40.626782,3.0745,3.1932,1.9846,
55,2,17,1,16,0,0,p,AM,30.54,1,-111.943739,40.609520,-111.933868,40.616707,1.8807,1.6449,1.0223,
56,2,18,1,17,0,0,p,AM,29.73,1,-111.943739,40.609520,-111.934202,40.630776,3.5888,3.1923,1.9840,
57,2,19,1,18,0,0,p,AM,38.71,1,-111.943739,40.609520,-111.933963,40.567876,5.3390,5.4264,3.3725,
58,2,20,1,19,0,0,p,AM,28.83,1,-111.943739,40.609520,-111.924114,40.567177,6.5610,6.2217,3.8668,
59,2,21,1,20,0,0,p,AM,77.22,1,-111.943739,40.609520,-111.913648,40.554715,8.5687,8.6732,5.3904,
60,2,22,1,21,0,0,p,AM,39.20,1,-111.943739,40.609520,-111.900748,40.562521,7.5353,7.2770,4.5227,
61,2,23,1,22,0,0,p,AM,17.97,1,-111.943739,40.609520,-111.902492,40.575680,8.3821,7.6527,4.7562,
62,2,24,1,23,0,0,p,AM,101.18,1,-111.943739,40.609520,-111.907451,40.592344,6.6076,5.3858,3.3473,
63,2,25,1,24,0,0,p,AM,6.88,1,-111.943739,40.609520,-111.923428,40.584054,4.7119,4.5176,2.8077,
64,2,26,1,25,0,0,p,AM,13.58,1,-111.943739,40.609520,-111.921418,40.591609,3.6898,3.3143,2.0599,
65,2,27,1,26,0,0,p,AM,20.95,1,-111.943739,40.609520,-111.943605,40.584092,3.6322,3.6410,2.2629,
66,2,28,1,27,0,0,p,AM,31.01,1,-111.943739,40.609520,-111.911824,40.577722,6.3271,6.1871,3.8453,
67,2,30,1,29,0,0,p,AM,13.28,1,-111.943739,40.609520,-111.901834,40.584029,6.9299,6.4924,4.0351,
68,2,31,1,30,0,0,p,AM,41.45,1,-111.943739,40.609520,-111.944074,40.606326,1.5734,1.2674,0.7877,
69,2,32,1,31,0,0,p,AM,27.64,1,-111.943739,40.609520,-111.943375,40.616454,1.8130,1.6067,0.9986,
70,2,33,1,32,0,0,p,AM,12.01,1,-111.943739,40.609520,-111.943535,40.568001,5.3413,5.4276,3.3733,
71,2,34,1,33,0,0,p,AM,68.11,1,-111.943739,40.609520,-111.934408,40.607297,1.1315,1.0185,0.6330,
72,2,35,1,34,0,0,p,AM,9.91,1,-111.943739,40.609520,-111.924502,40.617134,2.9350,2.4436,1.5187,
73,2,36,1,35,0,0,p,AM,15.76,1,-111.943739,40.609520,-111.908054,40.616174,4.2320,3.8571,2.3972,
74,2,37,1,36,0,0,p,AM,31.58,1,-111.943739,40.609520,-111.934352,40.576870,4.3377,4.4077,2.7394,
75,2,38,1,37,0,0,p,AM,27.56,1,-111.943739,40.609520,-111.936589,40.553565,7.3395,6.9938,4.3467,
76,2,39,1,38,0,0,p,AM,10.93,1,-111.943739,40.609520,-111.908153,40.571760,8.0480,7.4949,4.6581,
77,2,40,1,39,0,0,p,AM,8.00,1,-111.943739,40.609520,-111.915638,40.613722,3.7911,3.4236,2.1278,
78,2,41,1,40,0,0,p,AM,133.17,1,-111.943739,40.609520,-111.938760,40.630427,2.5123,2.7427,1.7046,
79,3,1,2,0,0,0,p,AM,61.18,1,-111.943604,40.587762,-111.942300,40.624038,4.2029,4.7456,2.9494,
80,3,2,2,1,0,0,p,AM,45.86,1,-111.943604,40.587762,-111.943739,40.609520,2.9260,3.2497,2.0197,
81,3,4,2,3,0,0,p,AM,4.44,1,-111.943604,40.587762,-111.944442,40.573253,2.5759,2.5260,1.5699,
82,3,5,2,4,0,0,p,AM,31.77,1,-111.943604,40.587762,-111.943762,40.562247,3.5550,3.6690,2.2803,
83,3,6,2,5,0,0,p,AM,42.36,1,-111.943604,40.587762,-111.938753,40.552997,4.1096,4.2709,2.6544,
84,3,7,2,6,0,0,p,AM,29.78,1,-111.943604,40.587762,-111.929153,40.555761,4.8487,4.7577,2.9569,
85,3,8,2,7,0,0,p,AM,4.73,1,-111.943604,40.587762,-111.902749,40.557151,5.9901,5.2832,3.2836,
86,3,9,2,8,0,0,p,AM,203.20,1,-111.943604,40.587762,-111.899113,40.558973,6.1633,5.3882,3.3488,
87,3,10,2,9,0,0,p,AM,13.33,1,-111.943604,40.587762,-111.897106,40.569721,5.8973,5.1188,3.1813,
88,3,11,2,10,0,0,p,AM,271.18,1,-111.943604,40.587762,-111.901030,40.587971,4.1285,3.7616,2.3379,
89,3,12,2,11,0,0,p,AM,7.26,1,-111.943604,40.587762,-111.906610,40.605960,5.8613,5.4688,3.3989,
90,3,13,2,12,0,0,p,AM,137.58,1,-111.943604,40.587762,-111.902804,40.610814,5.4388,5.3078,3.2988,
91,3,14,2,13,0,0,p,AM,168.78,1,-111.943604,40.587762,-111.901884,40.620828,6.6716,6.3167,3.9258,
92,3,15,2,14,0,0,p,AM,63.26,1,-111.943604,40.587762,-111.910059,40.625783,6.2267,5.9846,3.7195,
93,3,16,2,15,0,0,p,AM,78.95,1,-111.943604,40.587762,-111.929192,40.626782,5.0856,4.7491,2.9516,
94,3,17,2,16,0,0,p,AM,61.58,1,-111.943604,40.587762,-111.933868,40.616707,3.9327,4.0508,2.5176,
95,3,18,2,17,0,0,p,AM,59.95,1,-111.943604,40.587762,-111.934202,40.630776,5.6408,5.5982,3.4793,
96,3,19,2,18,0,0,p,AM,78.06,1,-111.943604,40.587762,-111.933963,40.567876,3.2016,3.0014,1.8654,
97,3,20,2,19,0,0,p,AM,58.14,1,-111.943604,40.587762,-111.924114,40.567177,4.4236,3.7968,2.3597,
98,3,21,2,20,0,0,p,AM,155.72,1,-111.943604,40.587762,-111.913648,40.554715,6.4313,6.2482,3.8833,
99,3,22,2,21,0,0,p,AM,79.04,1,-111.943604,40.587762,-111.900748,40.562521,5.3979,4.8520,3.0156,
100,3,23,2,22,0,0,p,AM,36.24,1,-111.943604,40.587762,-111.902492,40.575680,6.2447,5.2278,3.2491,
101,3,24,2,23,0,0,p,AM,204.03,1,-111.943604,40.587762,-111.907451,40.592344,5.0394,4.2286,2.6281,
102,3,25,2,24,0,0,p,AM,13.88,1,-111.943604,40.587762,-111.923428,40.584054,2.5745,2.0927,1.3006,
103,3,26,2,25,0,0,p,AM,27.38,1,-111.943604,40.587762,-111.921418,40.591609,1.9325,1.7751,1.1032,
104,3,27,2,26,0,0,p,AM,42.25,1,-111.943604,40.587762,-111.943605,40.584092,1.4948,1.2161,0.7558,
105,3,28,2,27,0,0,p,AM,62.54,1,-111.943604,40.587762,-111.911824,40.577722,4.1897,3.7622,2.3382,
106,3,30,2,29,0,0,p,AM,26.79,1,-111.943604,40.587762,-111.901834,40.584029,4.7925,4.0675,2.5280,
107,3,31,2,30,0,0,p,AM,83.59,1,-111.943604,40.587762,-111.944074,40.606326,2.9286,2.8698,1.7836,
108,3,32,2,31,0,0,p,AM,55.74,1,-111.943604,40.587762,-111.943375,40.616454,3.8650,4.0127,2.4939,
109,3,33,2,32,0,0,p,AM,24.21,1,-111.943604,40.587762,-111.943535,40.568001,3.2039,3.0027,1.8662,
110,3,34,2,33,0,0,p,AM,137.35,1,-111.943604,40.587762,-111.934408,40.607297,2.4867,2.6209,1.6289,
111,3,35,2,34,0,0,p,AM,19.98,1,-111.943604,40.587762,-111.924502,40.617134,4.7136,4.2178,2.6214,
112,3,36,2,35,0,0,p,AM,31.78,1,-111.943604,40.587762,-111.908054,40.616174,6.0106,5.6313,3.4999,
113,3,37,2,36,0,0,p,AM,63.68,1,-111.943604,40.587762,-111.934352,40.576870,2.2003,1.9828,1.2323,
114,3,38,2,37,0,0,p,AM,55.57,1,-111.943604,40.587762,-111.936589,40.553565,5.2021,4.5689,2.8396,
115,3,39,2,38,0,0,p,AM,22.05,1,-111.943604,40.587762,-111.908153,40.571760,5.9106,5.0700,3.1510,
116,3,40,2,39,0,0,p,AM,9.80,1,-111.943604,40.587762,-111.915638,40.613722,5.5696,5.1978,3.2305,
117,3,41,2,40,0,0,p,AM,268.53,1,-111.943604,40.587762,-111.938760,40.630427,4.5643,5.1486,3.1999,
118,4,1,3,0,0,0,p,AM,2.94,1,-111.944442,40.573253,-111.942300,40.624038,5.9902,6.4468,4.0067,
119,4,2,3,1,0,0,p,AM,2.20,1,-111.944442,40.573253,-111.943739,40.609520,4.7133,4.9509,3.0770,
120,4,3,3,2,0,0,p,AM,4.44,1,-111.944442,40.573253,-111.943604,40.587762,2.5759,2.5260,1.5699,
121,4,5,3,4,0,0,p,AM,1.53,1,-111.944442,40.573253,-111.943762,40.562247,2.2325,2.1178,1.3162,
122,4,6,3,5,0,0,p,AM,2.04,1,-111.944442,40.573253,-111.938753,40.552997,2.7871,2.7197,1.6903,
123,4,7,3,6,0,0,p,AM,1.43,1,-111.944442,40.573253,-111.929153,40.555761,3.5261,3.2064,1.9928,
124,4,8,3,7,0,0,p,AM,0.23,1,-111.944442,40.573253,-111.902749,40.557151,5.4481,4.9842,3.0977,
125,4,9,3,8,0,0,p,AM,9.77,1,-111.944442,40.573253,-111.899113,40.558973,5.6213,5.0891,3.1629,
126,4,10,3,9,0,0,p,AM,0.64,1,-111.944442,40.573253,-111.897106,40.569721,5.7557,4.1226,2.5622,
127,4,11,3,10,0,0,p,AM,13.03,1,-111.944442,40.573253,-111.901030,40.587971,5.9158,5.4628,3.3952,
128,4,12,3,11,0,0,p,AM,0.35,1,-111.944442,40.573253,-111.906610,40.605960,7.6486,7.1700,4.4562,
129,4,13,3,12,0,0,p,AM,6.61,1,-111.944442,40.573253,-111.902804,40.610814,7.2261,7.0090,4.3561,
130,4,14,3,13,0,0,p,AM,8.11,1,-111.944442,40.573253,-111.901884,40.620828,8.4589,8.0179,4.9831,
131,4,15,3,14,0,0,p,AM,3.04,1,-111.944442,40.573253,-111.910059,40.625783,8.0140,7.6858,4.7768,
132,4,16,3,15,0,0,p,AM,3.79,1,-111.944442,40.573253,-111.929192,40.626782,6.8729,6.4503,4.0089,
133,4,17,3,16,0,0,p,AM,2.96,1,-111.944442,40.573253,-111.933868,40.616707,5.7201,5.7520,3.5749,
134,4,18,3,17,0,0,p,AM,2.88,1,-111.944442,40.573253,-111.934202,40.630776,7.4281,7.2994,4.5366,
135,4,19,3,18,0,0,p,AM,3.75,1,-111.944442,40.573253,-111.933963,40.567876,1.8791,1.4502,0.9013,
136,4,20,3,19,0,0,p,AM,2.79,1,-111.944442,40.573253,-111.924114,40.567177,3.1010,2.2455,1.3956,
137,4,21,3,20,0,0,p,AM,7.48,1,-111.944442,40.573253,-111.913648,40.554715,5.1088,4.6970,2.9192,
138,4,22,3,21,0,0,p,AM,3.80,1,-111.944442,40.573253,-111.900748,40.562521,5.2563,3.8559,2.3964,
139,4,23,3,22,0,0,p,AM,1.74,1,-111.944442,40.573253,-111.902492,40.575680,6.4643,4.5112,2.8037,
140,4,24,3,23,0,0,p,AM,9.81,1,-111.944442,40.573253,-111.907451,40.592344,6.8267,5.9298,3.6854,
141,4,25,3,24,0,0,p,AM,0.67,1,-111.944442,40.573253,-111.923428,40.584054,4.1615,3.0199,1.8769,
142,4,26,3,25,0,0,p,AM,1.32,1,-111.944442,40.573253,-111.921418,40.591609,3.7198,3.4763,2.1605,
143,4,27,3,26,0,0,p,AM,2.03,1,-111.944442,40.573253,-111.943605,40.584092,2.5200,2.1202,1.3177,
144,4,28,3,27,0,0,p,AM,3.01,1,-111.944442,40.573253,-111.911824,40.577722,5.9770,5.4634,3.3955,
145,4,30,3,29,0,0,p,AM,1.29,1,-111.944442,40.573253,-111.901834,40.584029,6.5280,4.7351,2.9429,
146,4,31,3,30,0,0,p,AM,4.02,1,-111.944442,40.573253,-111.944074,40.606326,4.7159,4.5710,2.8409,
147,4,32,3,31,0,0,p,AM,2.68,1,-111.944442,40.573253,-111.943375,40.616454,5.6523,5.7139,3.5512,
148,4,33,3,32,0,0,p,AM,1.16,1,-111.944442,40.573253,-111.943535,40.568001,1.8814,1.4515,0.9021,
149,4,34,3,33,0,0,p,AM,6.60,1,-111.944442,40.573253,-111.934408,40.607297,4.2740,4.3221,2.6862,
150,4,35,3,34,0,0,p,AM,0.96,1,-111.944442,40.573253,-111.924502,40.617134,6.5009,5.9190,3.6787,
151,4,36,3,35,0,0,p,AM,1.53,1,-111.944442,40.573253,-111.908054,40.616174,7.7979,7.3325,4.5572,
152,4,37,3,36,0,0,p,AM,3.06,1,-111.944442,40.573253,-111.934352,40.576870,1.6950,1.2862,0.7994,
153,4,38,3,37,0,0,p,AM,2.67,1,-111.944442,40.573253,-111.936589,40.553565,3.8796,3.0177,1.8755,
154,4,39,3,38,0,0,p,AM,1.06,1,-111.944442,40.573253,-111.908153,40.571760,4.7105,3.3926,2.1085,
155,4,40,3,39,0,0,p,AM,0.47,1,-111.944442,40.573253,-111.915638,40.613722,7.3569,6.8990,4.2878,
156,4,41,3,40,0,0,p,AM,12.90,1,-111.944442,40.573253,-111.938760,40.630427,6.3516,6.8498,4.2572,
157,5,1,4,0,0,0,p,AM,21.04,1,-111.943762,40.562247,-111.942300,40.624038,6.9693,7.5898,4.7171,
158,5,2,4,1,0,0,p,AM,15.77,1,-111.943762,40.562247,-111.943739,40.609520,5.6924,6.0939,3.7874,
159,5,3,4,2,0,0,p,AM,31.80,1,-111.943762,40.562247,-111.943604,40.587762,3.5550,3.6690,2.2803,
160,5,4,4,3,0,0,p,AM,1.53,1,-111.943762,40.562247,-111.944442,40.573253,2.2325,2.1178,1.3162,
161,5,6,4,5,0,0,p,AM,14.57,1,-111.943762,40.562247,-111.938753,40.552997,1.4687,1.4598,0.9073,
162,5,7,4,6,0,0,p,AM,10.24,1,-111.943762,40.562247,-111.929153,40.555761,2.2077,1.9466,1.2098,
163,5,8,4,7,0,0,p,AM,1.63,1,-111.943762,40.562247,-111.902749,40.557151,4.1297,3.7244,2.3147,
164,5,9,4,8,0,0,p,AM,69.88,1,-111.943762,40.562247,-111.899113,40.558973,4.3029,3.8293,2.3799,
165,5,10,4,9,0,0,p,AM,4.58,1,-111.943762,40.562247,-111.897106,40.569721,5.5783,4.7046,2.9239,
166,5,11,4,10,0,0,p,AM,93.26,1,-111.943762,40.562247,-111.901030,40.587971,6.8949,6.6059,4.1056,
167,5,12,4,11,0,0,p,AM,2.50,1,-111.943762,40.562247,-111.906610,40.605960,8.6277,8.3130,5.1666,
168,5,13,4,12,0,0,p,AM,47.31,1,-111.943762,40.562247,-111.902804,40.610814,8.2052,8.1520,5.0665,
169,5,14,4,13,0,0,p,AM,58.04,1,-111.943762,40.562247,-111.901884,40.620828,9.4380,9.1609,5.6935,
170,5,15,4,14,0,0,p,AM,21.75,1,-111.943762,40.562247,-111.910059,40.625783,8.9931,8.8289,5.4872,
171,5,16,4,15,0,0,p,AM,27.15,1,-111.943762,40.562247,-111.929192,40.626782,7.8520,7.5933,4.7193,
172,5,17,4,16,0,0,p,AM,21.18,1,-111.943762,40.562247,-111.933868,40.616707,6.6992,6.8950,4.2853,
173,5,18,4,17,0,0,p,AM,20.62,1,-111.943762,40.562247,-111.934202,40.630776,8.4072,8.4424,5.2470,
174,5,19,4,18,0,0,p,AM,26.85,1,-111.943762,40.562247,-111.933963,40.567876,1.7911,1.4772,0.9181,
175,5,20,4,19,0,0,p,AM,20.00,1,-111.943762,40.562247,-111.924114,40.567177,2.5988,2.0573,1.2786,
176,5,21,4,20,0,0,p,AM,53.55,1,-111.943762,40.562247,-111.913648,40.554715,3.7903,3.4371,2.1362,
177,5,22,4,21,0,0,p,AM,27.18,1,-111.943762,40.562247,-111.900748,40.562521,4.6636,4.0481,2.5159,
178,5,23,4,22,0,0,p,AM,12.46,1,-111.943762,40.562247,-111.902492,40.575680,6.2869,5.0932,3.1654,
179,5,24,4,23,0,0,p,AM,70.17,1,-111.943762,40.562247,-111.907451,40.592344,7.8058,7.0728,4.3958,
180,5,25,4,24,0,0,p,AM,4.77,1,-111.943762,40.562247,-111.923428,40.584054,5.1406,4.1630,2.5873,
181,5,26,4,25,0,0,p,AM,9.41,1,-111.943762,40.562247,-111.921418,40.591609,4.6989,4.6193,2.8709,
182,5,27,4,26,0,0,p,AM,14.53,1,-111.943762,40.562247,-111.943605,40.584092,3.4991,3.2632,2.0281,
183,5,28,4,27,0,0,p,AM,21.51,1,-111.943762,40.562247,-111.911824,40.577722,5.8778,4.8636,3.0228,
184,5,30,4,29,0,0,p,AM,9.21,1,-111.943762,40.562247,-111.901834,40.584029,6.3506,5.3171,3.3046,
185,5,31,4,30,0,0,p,AM,28.75,1,-111.943762,40.562247,-111.944074,40.606326,5.6950,5.7140,3.5513,
186,5,32,4,31,0,0,p,AM,19.17,1,-111.943762,40.562247,-111.943375,40.616454,6.6314,6.8569,4.2616,
187,5,33,4,32,0,0,p,AM,8.33,1,-111.943762,40.562247,-111.943535,40.568001,1.7934,1.4785,0.9189,
188,5,34,4,33,0,0,p,AM,47.23,1,-111.943762,40.562247,-111.934408,40.607297,5.2531,5.4652,3.3966,
189,5,35,4,34,0,0,p,AM,6.87,1,-111.943762,40.562247,-111.924502,40.617134,7.4800,7.0620,4.3891,
190,5,36,4,35,0,0,p,AM,10.93,1,-111.943762,40.562247,-111.908054,40.616174,8.7770,8.4756,5.2676,
191,5,37,4,36,0,0,p,AM,21.90,1,-111.943762,40.562247,-111.934352,40.576870,2.6741,2.4293,1.5098,
192,5,38,4,37,0,0,p,AM,19.11,1,-111.943762,40.562247,-111.936589,40.553565,2.5611,1.7578,1.0925,
193,5,39,4,38,0,0,p,AM,7.58,1,-111.943762,40.562247,-111.908153,40.571760,5.5916,4.6559,2.8936,
194,5,40,4,39,0,0,p,AM,3.37,1,-111.943762,40.562247,-111.915638,40.613722,8.3361,8.0420,4.9982,
195,5,41,4,40,0,0,p,AM,92.35,1,-111.943762,40.562247,-111.938760,40.630427,7.3307,7.9929,4.9676,
196,6,1,5,0,0,0,p,AM,28.04,1,-111.938753,40.552997,-111.942300,40.624038,7.5239,8.1917,5.0912,
197,6,2,5,1,0,0,p,AM,21.02,1,-111.938753,40.552997,-111.943739,40.609520,6.2470,6.6959,4.1615,
198,6,3,5,2,0,0,p,AM,42.39,1,-111.938753,40.552997,-111.943604,40.587762,4.1096,4.2709,2.6544,
199,6,4,5,3,0,0,p,AM,2.04,1,-111.938753,40.552997,-111.944442,40.573253,2.7871,2.7197,1.6903,
200,6,5,5,4,0,0,p,AM,14.56,1,-111.938753,40.552997,-111.943762,40.562247,1.4687,1.4598,0.9073,
201,6,7,5,6,0,0,p,AM,13.65,1,-111.938753,40.552997,-111.929153,40.555761,2.7623,2.5485,1.5839,
202,6,8,5,7,0,0,p,AM,2.17,1,-111.938753,40.552997,-111.902749,40.557151,4.6843,4.3263,2.6888,
203,6,9,5,8,0,0,p,AM,93.15,1,-111.938753,40.552997,-111.899113,40.558973,4.8575,4.4312,2.7540,
204,6,10,5,9,0,0,p,AM,6.11,1,-111.938753,40.552997,-111.897106,40.569721,6.1329,5.3065,3.2980,
205,6,11,5,10,0,0,p,AM,124.31,1,-111.938753,40.552997,-111.901030,40.587971,7.4495,7.2078,4.4797,
206,6,12,5,11,0,0,p,AM,3.33,1,-111.938753,40.552997,-111.906610,40.605960,9.1823,8.9149,5.5407,
207,6,13,5,12,0,0,p,AM,63.07,1,-111.938753,40.552997,-111.902804,40.610814,8.7598,8.7539,5.4406,
208,6,14,5,13,0,0,p,AM,77.37,1,-111.938753,40.552997,-111.901884,40.620828,9.9926,9.7628,6.0676,
209,6,15,5,14,0,0,p,AM,29.00,1,-111.938753,40.552997,-111.910059,40.625783,9.5477,9.4308,5.8613,
210,6,16,5,15,0,0,p,AM,36.19,1,-111.938753,40.552997,-111.929192,40.626782,8.4066,8.1952,5.0934,
211,6,17,5,16,0,0,p,AM,28.23,1,-111.938753,40.552997,-111.933868,40.616707,7.2538,7.4970,4.6594,
212,6,18,5,17,0,0,p,AM,27.48,1,-111.938753,40.552997,-111.934202,40.630776,8.9618,9.0443,5.6211,
213,6,19,5,18,0,0,p,AM,35.78,1,-111.938753,40.552997,-111.933963,40.567876,2.3457,2.0791,1.2922,
214,6,20,5,19,0,0,p,AM,26.65,1,-111.938753,40.552997,-111.924114,40.567177,3.1534,2.6592,1.6527,
215,6,21,5,20,0,0,p,AM,71.38,1,-111.938753,40.552997,-111.913648,40.554715,4.3449,4.0391,2.5103,
216,6,22,5,21,0,0,p,AM,36.24,1,-111.938753,40.552997,-111.900748,40.562521,5.2182,4.6500,2.8900,
217,6,23,5,22,0,0,p,AM,16.61,1,-111.938753,40.552997,-111.902492,40.575680,6.8415,5.6951,3.5395,
218,6,24,5,23,0,0,p,AM,93.53,1,-111.938753,40.552997,-111.907451,40.592344,8.3604,7.6747,4.7699,
