link_id,link_no,from_node_id,to_node_id,link_type,link_type_name,lanes,link_distance_VDF,free_speed,cutoff_speed,fftt,capacity,allow_uses,BPR_plf,BPR_alpha,BPR_beta,QVDF_qdf,QVDF_alpha,QVDF_beta,QVDF_cd,QVDF_n,geometry
21,20,1346,11172,2,,7,0.251800,21.000000,14.700000,0.719429,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.943605 40.584092,-111.938819 40.584171)"
22,21,1348,5210,2,,7,0.252500,21.000000,14.700000,0.721429,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.943542 40.576985,-111.938741 40.576961)"
23,22,1349,5210,2,,7,0.230900,21.000000,14.700000,0.659714,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.934352 40.576870,-111.938741 40.576961)"
24,23,1349,5219,2,,7,0.272600,21.000000,14.700000,0.778857,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.934352 40.576870,-111.929172 40.576740)"
25,24,1349,11181,2,,7,0.309100,21.000000,14.700000,0.883143,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.934352 40.576870,-111.931031 40.573173)"
26,25,1351,5209,2,,7,0.252400,21.000000,14.700000,0.721143,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.943535 40.568001,-111.938738 40.568083)"
27,26,1352,5209,2,,7,0.251600,21.000000,14.700000,0.718857,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.933963 40.567876,-111.938738 40.568083)"
28,27,1352,6256,2,,7,0.254000,21.000000,14.700000,0.725714,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.933963 40.567876,-111.929139 40.568044)"
29,28,1352,11181,2,,7,0.396600,21.000000,14.700000,1.133143,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.933963 40.567876,-111.931031 40.573173)"
30,29,1352,11261,2,,7,0.386300,21.000000,14.700000,1.103714,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.933963 40.567876,-111.934612 40.562298)"
31,30,1353,5589,2,,7,0.256400,21.000000,14.700000,0.732571,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.934266 40.584068,-111.934063 40.587781)"
32,31,1353,11172,2,,7,0.239500,21.000000,14.700000,0.684286,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.934266 40.584068,-111.938819 40.584171)"
33,32,1353,11173,2,,7,0.264800,21.000000,14.700000,0.756571,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.934266 40.584068,-111.929246 40.584369)"
34,33,1354,5592,2,,7,0.262700,20.000000,14.000000,0.788100,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.923428 40.584054,-111.922175 40.587742)"
35,34,1354,11173,2,,7,0.306700,20.000000,14.000000,0.920100,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.923428 40.584054,-111.929246 40.584369)"
36,35,1355,5219,2,,7,0.232900,21.000000,14.700000,0.665429,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.924746 40.576632,-111.929172 40.576740)"
37,36,1355,11183,2,,7,0.295200,21.000000,14.700000,0.843429,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.924746 40.576632,-111.923406 40.572477)"
38,37,1356,6255,2,,7,0.252700,21.000000,14.700000,0.722000,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.924114 40.567177,-111.919626 40.565871)"
39,38,1356,6256,2,,7,0.271000,21.000000,14.700000,0.774286,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.924114 40.567177,-111.929139 40.568044)"
40,39,1356,11183,2,,7,0.367400,21.000000,14.700000,1.049714,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.924114 40.567177,-111.923406 40.572477)"
41,40,1356,11259,2,,7,0.382300,21.000000,14.700000,1.092286,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.924114 40.567177,-111.926737 40.562009)"
42,41,1357,5174,2,,7,0.417100,21.000000,14.700000,1.191714,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.914302 40.565109,-111.913869 40.559071)"
43,42,1357,5588,2,,7,0.495500,21.000000,14.700000,1.415714,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.914302 40.565109,-111.917018 40.571988)"
44,43,1357,6255,2,,7,0.284900,21.000000,14.700000,0.814000,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.914302 40.565109,-111.919626 40.565871)"
45,44,1359,6185,2,,7,0.358600,21.000000,14.700000,1.024571,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.911824 40.577722,-111.905514 40.575754)"
46,45,1360,10850,2,,7,0.165100,20.000000,14.000000,0.495300,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.901834 40.584029,-111.904175 40.585624)"
47,46,1360,11489,2,,7,0.237300,20.000000,14.000000,0.711900,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.901834 40.584029,-111.902652 40.580647)"
48,47,1361,5728,2,,7,0.170500,20.000000,14.000000,0.511500,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.902492 40.575680,-111.900794 40.573575)"
49,48,1397,11261,2,,7,0.611200,21.000000,14.700000,1.746286,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.936589 40.553565,-111.934612 40.562298)"
50,49,1404,11257,2,,7,0.138900,20.000000,14.000000,0.416700,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.908153 40.571760,-111.908371 40.569754)"
51,50,3689,11507,1,,2,0.094000,25.000000,17.500000,0.225600,601.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.900748 40.562521,-111.902527 40.562393)"
52,51,4156,10849,1,,1,0.094600,24.000000,16.799999,0.236500,633.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.900942 40.585620,-111.900672 40.584264)"
53,52,4156,10850,1,,1,0.170000,24.000000,16.799999,0.425000,633.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.900942 40.585620,-111.904175 40.585624)"
54,53,4804,5106,1,,1,0.260400,29.000000,20.299999,0.538759,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910307 40.602331,-111.910268 40.598557)"
55,54,4804,5109,1,,1,0.248900,29.000000,20.299999,0.514966,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910307 40.602331,-111.910315 40.605939)"
56,55,4899,5030,1,,2,0.260300,30.000000,21.000000,0.520600,633.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910059 40.625783,-111.909957 40.621262)"
57,56,4952,1289,2,,7,0.242700,21.000000,14.700000,0.693429,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929251 40.616674,-111.933868 40.616707)"
58,57,4952,1290,2,,7,0.251600,21.000000,14.700000,0.718857,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929251 40.616674,-111.924502 40.617134)"
59,58,4952,5022,1,,1,0.500700,32.000000,22.400000,0.938813,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929251 40.616674,-111.929163 40.609415)"
60,59,4952,5440,1,,1,0.391990,32.000000,22.400000,0.734981,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929251 40.616674,-111.929192 40.623484)"
61,60,4958,1299,2,,7,0.198800,21.000000,14.700000,0.568000,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910232 40.618529,-111.908054 40.616174)"
62,61,4958,5010,1,,2,0.141520,36.000000,25.200001,0.235867,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910232 40.618529,-111.910059 40.616076)"
63,62,4958,5030,1,,2,0.158090,36.000000,25.200001,0.263483,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910232 40.618529,-111.909957 40.621262)"
64,63,5009,5027,1,,2,0.150800,36.000000,25.200001,0.251333,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.913172 40.610470,-111.910314 40.610655)"
65,64,5009,5240,1,,2,0.296900,36.000000,25.200001,0.494833,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.913172 40.610470,-111.911929 40.614669)"
66,65,5009,5863,1,,2,0.190400,36.000000,25.200001,0.317333,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.913172 40.610470,-111.916784 40.610265)"
67,66,5010,4958,1,,2,0.141520,36.000000,25.200001,0.235867,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910059 40.616076,-111.910232 40.618529)"
68,67,5010,5027,1,,1,0.312370,35.000000,24.500000,0.535491,857.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910059 40.616076,-111.910314 40.610655)"
69,68,5010,5240,1,,2,0.134710,36.000000,25.200001,0.224517,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910059 40.616076,-111.911929 40.614669)"
70,69,5017,5018,1,,3,0.498000,43.000000,30.100000,0.694884,854.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938751 40.609517,-111.938855 40.616737)"
71,70,5017,11123,1,,2,0.262200,36.000000,25.200001,0.437000,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938751 40.609517,-111.943739 40.609520)"
72,71,5017,11124,1,,2,0.364400,36.000000,25.200001,0.607333,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938751 40.609517,-111.931819 40.609526)"
73,72,5017,11146,1,,3,0.249700,43.000000,30.100000,0.348419,854.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938751 40.609517,-111.938858 40.605898)"
74,73,5018,1285,2,,7,0.238400,21.000000,14.700000,0.681143,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938855 40.616737,-111.943375 40.616454)"
75,74,5018,1289,2,,7,0.262100,21.000000,14.700000,0.748857,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938855 40.616737,-111.933868 40.616707)"
76,75,5018,5017,1,,3,0.498000,43.000000,30.100000,0.694884,854.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938855 40.616737,-111.938751 40.609517)"
77,76,5018,5436,1,,3,0.506900,43.000000,30.100000,0.707302,854.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938855 40.616737,-111.938742 40.624085)"
78,77,5022,4952,1,,1,0.500700,32.000000,22.400000,0.938813,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929163 40.609415,-111.929251 40.616674)"
79,78,5022,5524,1,,2,0.198800,36.000000,25.200001,0.331333,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929163 40.609415,-111.925488 40.608731)"
80,79,5022,11124,1,,2,0.139800,36.000000,25.200001,0.233000,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929163 40.609415,-111.931819 40.609526)"
81,80,5022,11147,1,,1,0.119000,32.000000,22.400000,0.223125,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929163 40.609415,-111.929235 40.607691)"
82,81,5027,5009,1,,2,0.150800,36.000000,25.200001,0.251333,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910314 40.610655,-111.913172 40.610470)"
83,82,5027,5010,1,,1,0.312370,35.000000,24.500000,0.535491,857.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910314 40.610655,-111.910059 40.616076)"
84,83,5027,11129,1,,2,0.141700,36.000000,25.200001,0.236167,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910314 40.610655,-111.907639 40.610911)"
85,84,5027,11150,1,,1,0.237800,29.000000,20.299999,0.492000,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910314 40.610655,-111.910332 40.607207)"
86,85,5030,4899,1,,2,0.260300,30.000000,21.000000,0.520600,633.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.909957 40.621262,-111.910059 40.625783)"
87,86,5030,4958,1,,2,0.158090,36.000000,25.200001,0.263483,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.909957 40.621262,-111.910232 40.618529)"
88,87,5030,10872,1,,2,0.181590,36.000000,25.200001,0.302650,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.909957 40.621262,-111.913107 40.621094)"
89,88,5030,11128,1,,2,0.134510,29.000000,20.299999,0.278297,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.909957 40.621262,-111.907655 40.620856)"
90,89,5034,11129,1,,2,0.278340,36.000000,25.200001,0.463900,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.902804 40.610814,-111.907639 40.610911)"
91,90,5037,11128,1,,2,0.332140,29.000000,20.299999,0.687186,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.901884 40.620828,-111.907655 40.620856)"
92,91,5103,5820,1,,1,0.574600,32.000000,22.400000,1.077375,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929223 40.594991,-111.929267 40.603321)"
93,92,5103,11161,1,,1,0.272100,32.000000,22.400000,0.510188,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929223 40.594991,-111.929272 40.591047)"
94,93,5106,4804,1,,1,0.260400,29.000000,20.299999,0.538759,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910268 40.598557,-111.910307 40.602331)"
95,94,5106,5117,1,,1,0.747700,24.000000,16.799999,1.869250,633.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910268 40.598557,-111.910225 40.587717)"
96,95,5106,10852,1,,1,0.055100,24.000000,16.799999,0.137750,633.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910268 40.598557,-111.909246 40.598382)"
97,96,5109,4804,1,,1,0.248900,29.000000,20.299999,0.514966,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910315 40.605939,-111.910307 40.602331)"
98,97,5109,11150,1,,1,0.087500,29.000000,20.299999,0.181034,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910315 40.605939,-111.910332 40.607207)"
99,98,5109,11151,1,,1,0.194800,26.000000,18.200001,0.449538,514.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910315 40.605939,-111.906610 40.605960)"
100,99,5112,5589,1,,2,0.245400,39.000000,27.299999,0.377538,892.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938730 40.587762,-111.934063 40.587781)"
101,100,5112,11159,1,,2,0.256300,39.000000,27.299999,0.394308,892.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938730 40.587762,-111.943604 40.587762)"
102,101,5112,11160,1,,3,0.212800,43.000000,30.100000,0.296930,854.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938730 40.587762,-111.938878 40.590844)"
103,102,5112,11172,1,,2,0.247700,39.000000,27.299999,0.381077,892.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938730 40.587762,-111.938819 40.584171)"
104,103,5113,8002,1,,1,0.242000,26.000000,18.200001,0.558462,514.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938770 40.594013,-111.943373 40.593977)"
105,104,5113,11148,1,,3,0.346600,43.000000,30.100000,0.483628,854.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938770 40.594013,-111.938793 40.599039)"
106,105,5113,11160,1,,3,0.218700,43.000000,30.100000,0.305163,854.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.938770 40.594013,-111.938878 40.590844)"
107,106,5114,5589,1,,2,0.256000,39.000000,27.299999,0.393846,892.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929195 40.587794,-111.934063 40.587781)"
108,107,5114,5592,1,,2,0.369200,32.000000,22.400000,0.692250,847.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929195 40.587794,-111.922175 40.587742)"
109,108,5114,11161,1,,1,0.224400,32.000000,22.400000,0.420750,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929195 40.587794,-111.929272 40.591047)"
110,109,5114,11173,1,,1,0.236200,29.000000,20.299999,0.488690,666.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.929195 40.587794,-111.929246 40.584369)"
111,110,5117,5106,1,,1,0.747700,24.000000,16.799999,1.869250,633.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910225 40.587717,-111.910268 40.598557)"
112,111,5117,11255,1,,2,0.123100,32.000000,22.400000,0.230813,847.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.910225 40.587717,-111.907886 40.587813)"
113,112,5118,5727,1,,2,0.111900,32.000000,22.400000,0.209813,847.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.904260 40.588014,-111.902133 40.588000)"
114,113,5118,10854,1,,1,0.091300,24.000000,16.799999,0.228250,633.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.904260 40.588014,-111.904193 40.586691)"
115,114,5118,11255,1,,2,0.191200,32.000000,22.400000,0.358500,847.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.904260 40.588014,-111.907886 40.587813)"
116,115,5118,11910,1,,1,0.135800,24.000000,16.799999,0.339500,633.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.904260 40.588014,-111.904258 40.589983)"
117,116,5119,5727,1,,2,0.058000,32.000000,22.400000,0.108750,847.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.901030 40.587971,-111.902133 40.588000)"
118,117,5174,1357,2,,7,0.417100,21.000000,14.700000,1.191714,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.913869 40.559071,-111.914302 40.565109)"
119,118,5174,5587,1,,2,0.296100,36.000000,25.200001,0.493500,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.913869 40.559071,-111.919260 40.560309)"
120,119,5174,5868,1,,2,0.194300,36.000000,25.200001,0.323833,814.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.913869 40.559071,-111.910187 40.558860)"
