zone_id,name,geometry
19009,T10,"POLYGON ((-86.000000 32.000000, -84.000000 32.000000, -84.000000 30.000000, -86.000000 30.000000, -86.000000 32.000000))"
20003,U4,"POLYGON ((-84.000000 44.000000, -82.000000 44.000000, -82.000000 42.000000, -84.000000 42.000000, -84.000000 44.000000))"
20004,U5,"POLYGON ((-84.000000 42.000000, -82.000000 42.000000, -82.000000 40.000000, -84.000000 40.000000, -84.000000 42.000000))"
20005,U6,"POLYGON ((-84.000000 40.000000, -82.000000 40.000000, -82.000000 38.000000, -84.000000 38.000000, -84.000000 40.000000))"
20007,U8,"POLYGON ((-84.000000 36.000000, -82.000000 36.000000, -82.000000 34.000000, -84.000000 34.000000, -84.000000 36.000000))"
20011,U12,"POLYGON ((-84.000000 28.000000, -82.000000 28.000000, -82.000000 26.000000, -84.000000 26.000000, -84.000000 28.000000))"
21003,V4,"POLYGON ((-82.000000 44.000000, -80.000000 44.000000, -80.000000 42.000000, -82.000000 42.000000, -82.000000 44.000000))"
21004,V5,"POLYGON ((-82.000000 42.000000, -80.000000 42.000000, -80.000000 40.000000, -82.000000 40.000000, -82.000000 42.000000))"
21005,V6,"POLYGON ((-82.000000 40.000000, -80.000000 40.000000, -80.000000 38.000000, -82.000000 38.000000, -82.000000 40.000000))"
21006,V7,"POLYGON ((-82.000000 38.000000, -80.000000 38.000000, -80.000000 36.000000, -82.000000 36.000000, -82.000000 38.000000))"
21007,V8,"POLYGON ((-82.000000 36.000000, -80.000000 36.000000, -80.000000 34.000000, -82.000000 34.000000, -82.000000 36.000000))"
21008,V9,"POLYGON ((-82.000000 34.000000, -80.000000 34.000000, -80.000000 32.000000, -82.000000 32.000000, -82.000000 34.000000))"
21009,V10,"POLYGON ((-82.000000 32.000000, -80.000000 32.000000, -80.000000 30.000000, -82.000000 30.000000, -82.000000 32.000000))"
21010,V11,"POLYGON ((-82.000000 30.000000, -80.000000 30.000000, -80.000000 28.000000, -82.000000 28.000000, -82.000000 30.000000))"
21011,V12,"POLYGON ((-82.000000 28.000000, -80.000000 28.000000, -80.000000 26.000000, -82.000000 26.000000, -82.000000 28.000000))"
21012,V13,"POLYGON ((-82.000000 26.000000, -80.000000 26.000000, -80.000000 24.000000, -82.000000 24.000000, -82.000000 26.000000))"
22003,W4,"POLYGON ((-80.000000 44.000000, -78.000000 44.000000, -78.000000 42.000000, -80.000000 42.000000, -80.000000 44.000000))"
22004,W5,"POLYGON ((-80.000000 42.000000, -78.000000 42.000000, -78.000000 40.000000, -80.000000 40.000000, -80.000000 42.000000))"
22005,W6,"POLYGON ((-80.000000 40.000000, -78.000000 40.000000, -78.000000 38.000000, -80.000000 38.000000, -80.000000 40.000000))"
22006,W7,"POLYGON ((-80.000000 38.000000, -78.000000 38.000000, -78.000000 36.000000, -80.000000 36.000000, -80.000000 38.000000))"
22007,W8,"POLYGON ((-80.000000 36.000000, -78.000000 36.000000, -78.000000 34.000000, -80.000000 34.000000, -80.000000 36.000000))"
22008,W9,"POLYGON ((-80.000000 34.000000, -78.000000 34.000000, -78.000000 32.000000, -80.000000 32.000000, -80.000000 34.000000))"
23003,X4,"POLYGON ((-78.000000 44.000000, -76.000000 44.000000, -76.000000 42.000000, -78.000000 42.000000, -78.000000 44.000000))"
23004,X5,"POLYGON ((-78.000000 42.000000, -76.000000 42.000000, -76.000000 40.000000, -78.000000 40.000000, -78.000000 42.000000))"
23005,X6,"POLYGON ((-78.000000 40.000000, -76.000000 40.000000, -76.000000 38.000000, -78.000000 38.000000, -78.000000 40.000000))"
23006,X7,"POLYGON ((-78.000000 38.000000, -76.000000 38.000000, -76.000000 36.000000, -78.000000 36.000000, -78.000000 38.000000))"
23007,X8,"POLYGON ((-78.000000 36.000000, -76.000000 36.000000, -76.000000 34.000000, -78.000000 34.000000, -78.000000 36.000000))"
23008,X9,"POLYGON ((-78.000000 34.000000, -76.000000 34.000000, -76.000000 32.000000, -78.000000 32.000000, -78.000000 34.000000))"
23009,X10,"POLYGON ((-78.000000 32.000000, -76.000000 32.000000, -76.000000 30.000000, -78.000000 30.000000, -78.000000 32.000000))"
24003,Y4,"POLYGON ((-76.000000 44.000000, -74.000000 44.000000, -74.000000 42.000000, -76.000000 42.000000, -76.000000 44.000000))"
24004,Y5,"POLYGON ((-76.000000 42.000000, -74.000000 42.000000, -74.000000 40.000000, -76.000000 40.000000, -76.000000 42.000000))"
24005,Y6,"POLYGON ((-76.000000 40.000000, -74.000000 40.000000, -74.000000 38.000000, -76.000000 38.000000, -76.000000 40.000000))"
24010,Y11,"POLYGON ((-76.000000 30.000000, -74.000000 30.000000, -74.000000 28.000000, -76.000000 28.000000, -76.000000 30.000000))"
24011,Y12,"POLYGON ((-76.000000 28.000000, -74.000000 28.000000, -74.000000 26.000000, -76.000000 26.000000, -76.000000 28.000000))"
25002,Z3,"POLYGON ((-74.000000 46.000000, -72.000000 46.000000, -72.000000 44.000000, -74.000000 44.000000, -74.000000 46.000000))"
25003,Z4,"POLYGON ((-74.000000 44.000000, -72.000000 44.000000, -72.000000 42.000000, -74.000000 42.000000, -74.000000 44.000000))"
25004,Z5,"POLYGON ((-74.000000 42.000000, -72.000000 42.000000, -72.000000 40.000000, -74.000000 40.000000, -74.000000 42.000000))"
26003,BA4,"POLYGON ((-72.000000 44.000000, -70.000000 44.000000, -70.000000 42.000000, -72.000000 42.000000, -72.000000 44.000000))"
26004,BA5,"POLYGON ((-72.000000 42.000000, -70.000000 42.000000, -70.000000 40.000000, -72.000000 40.000000, -72.000000 42.000000))"
26008,BA9,"POLYGON ((-72.000000 34.000000, -70.000000 34.000000, -70.000000 32.000000, -72.000000 32.000000, -72.000000 34.000000))"
27003,BB4,"POLYGON ((-70.000000 44.000000, -68.000000 44.000000, -68.000000 42.000000, -70.000000 42.000000, -70.000000 44.000000))"
27009,BB10,"POLYGON ((-70.000000 32.000000, -68.000000 32.000000, -68.000000 30.000000, -70.000000 30.000000, -70.000000 32.000000))"
