node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry,,ID,Longitude,Latitude,Elevation,,
100016,,-111.811686,33.357070,,,100016,"POINT (-111.811686 33.357070)",,100016,-111811686,33357070,0,,
119,,-111.807055,33.359684,,,0,"POINT (-111.807055 33.359684)",,119,-111807055,33359684,0,,
241,,-111.807065,33.358330,,,0,"POINT (-111.807065 33.358330)",,241,-111807065,33358330,0,,
270,,-111.807061,33.355169,,,0,"POINT (-111.807061 33.355169)",,270,-111807061,33355169,0,,
267,,-111.798419,33.359799,,,0,"POINT (-111.798419 33.359799)",,267,-111798419,33359799,0,,
158,,-111.798375,33.356949,,,0,"POINT (-111.798375 33.356949)",,158,-111798375,33356949,0,,
242,,-111.798391,33.357687,,,0,"POINT (-111.798391 33.357687)",,242,-111798391,33357687,0,,
401,,-111.798365,33.356076,,,0,"POINT (-111.798365 33.356076)",,401,-111798365,33356076,0,,
271,,-111.798347,33.354500,,,0,"POINT (-111.798347 33.354500)",,271,-111798347,33354500,0,,
166,,-111.796127,33.356916,,,0,"POINT (-111.796127 33.356916)",,166,-111796127,33356916,0,,
172,,-111.795781,33.356858,,,0,"POINT (-111.795781 33.356858)",,172,-111795781,33356858,0,,
348,,-111.792147,33.356023,,,0,"POINT (-111.792147 33.356023)",,348,-111792147,33356023,0,,
350,,-111.791424,33.356033,,,0,"POINT (-111.791424 33.356033)",,350,-111791424,33356033,0,,
354,,-111.791392,33.354851,,,0,"POINT (-111.791392 33.354851)",,354,-111791392,33354851,0,,
81,,-111.791665,33.354314,,,0,"POINT (-111.791665 33.354314)",,81,-111791665,33354314,0,,
266,,-111.793096,33.359959,,,0,"POINT (-111.793096 33.359959)",,266,-111793096,33359959,0,,
1520001,,-111.804925,33.363248,,,1520001,"POINT (-111.804925 33.363248)",,1520001,-111804925,33363248,0,,
265,,-111.791641,33.364447,,,0,"POINT (-111.791641 33.364447)",,265,-111791641,33364447,0,,
1520002,,-111.800921,33.362290,,,1520002,"POINT (-111.800921 33.362290)",,1520002,-111800921,33362290,0,,
1520003,,-111.795441,33.362041,,,1520003,"POINT (-111.795441 33.362041)",,1520003,-111795441,33362041,0,,
1520005,,-111.792332,33.361687,,,1520005,"POINT (-111.792332 33.361687)",,1520005,-111792332,33361687,0,,
1520006,,-111.805176,33.361110,,,1520006,"POINT (-111.805176 33.361110)",,1520006,-111805176,33361110,0,,
1520014,,-111.793839,33.356441,,,1520014,"POINT (-111.793839 33.356441)",,1520014,-111793839,33356441,0,,
1520013,,-111.796116,33.354251,,,1520013,"POINT (-111.796116 33.354251)",,1520013,-111796116,33354251,0,,
1520010,,-111.794075,33.358435,,,1520010,"POINT (-111.794075 33.358435)",,1520010,-111794075,33358435,0,,
1520007,,-111.804376,33.358461,,,1520007,"POINT (-111.804376 33.358461)",,1520007,-111804376,33358461,0,,
1520008,,-111.800371,33.358172,,,1520008,"POINT (-111.800371 33.358172)",,1520008,-111800371,33358172,0,,
1520009,,-111.797231,33.359497,,,1520009,"POINT (-111.797231 33.359497)",,1520009,-111797231,33359497,0,,
1520011,,-111.790981,33.358605,,,1520011,"POINT (-111.790981 33.358605)",,1520011,-111790981,33358605,0,,
1520012,,-111.802962,33.355103,,,1520012,"POINT (-111.802962 33.355103)",,1520012,-111802962,33355103,0,,
1520019,,-111.792097,33.355470,,,1520019,"POINT (-111.792097 33.355470)",,1520019,-111792097,33355470,0,,
1520020,,-111.791499,33.355428,,,1520020,"POINT (-111.791499 33.355428)",,1520020,-111791499,33355428,0,,
1520029,,-111.797236,33.356219,,,1520029,"POINT (-111.797236 33.356219)",,1520029,-111797236,33356219,0,,
1520015,,-111.792380,33.356552,,,1520015,"POINT (-111.792380 33.356552)",,1520015,-111792380,33356552,0,,
1520018,,-111.793336,33.355639,,,1520018,"POINT (-111.793336 33.355639)",,1520018,-111793336,33355639,0,,
1520028,,-111.797804,33.357446,,,1520028,"POINT (-111.797804 33.357446)",,1520028,-111797804,33357446,0,,
1520030,,-111.795780,33.355759,,,1520030,"POINT (-111.795780 33.355759)",,1520030,-111795780,33355759,0,,
