node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry,control_type,,
5118,,-111.904260,40.588014,,,-1,"POINT (-111.904260 40.588014)",,,
5219,,-111.929172,40.576740,,,-1,"POINT (-111.929172 40.576740)",,,
5240,,-111.911929,40.614669,,,-1,"POINT (-111.911929 40.614669)",,,
5524,,-111.925488,40.608731,,,-1,"POINT (-111.925488 40.608731)",,,
5589,,-111.934063,40.587781,,,-1,"POINT (-111.934063 40.587781)",,,
5592,,-111.922175,40.587742,,,-1,"POINT (-111.922175 40.587742)",,,
5727,,-111.902133,40.588000,,,-1,"POINT (-111.902133 40.588000)",,,
5730,,-111.905499,40.583282,,,-1,"POINT (-111.905499 40.583282)",,,
5820,,-111.929267,40.603321,,,-1,"POINT (-111.929267 40.603321)",,,
5863,,-111.916784,40.610265,,,-1,"POINT (-111.916784 40.610265)",,,
6185,,-111.905514,40.575754,,,-1,"POINT (-111.905514 40.575754)",,,
6270,,-111.904847,40.593812,,,-1,"POINT (-111.904847 40.593812)",,,
6273,,-111.905677,40.596462,,,-1,"POINT (-111.905677 40.596462)",,,
7210,,-111.904821,40.585866,,,-1,"POINT (-111.904821 40.585866)",,,
8172,,-111.905503,40.580699,,,-1,"POINT (-111.905503 40.580699)",,,
10850,,-111.904175,40.585624,,,-1,"POINT (-111.904175 40.585624)",,,
10851,,-111.906130,40.597034,,,-1,"POINT (-111.906130 40.597034)",,,
10852,,-111.909246,40.598382,,,-1,"POINT (-111.909246 40.598382)",,,
10853,,-111.904442,40.592385,,,-1,"POINT (-111.904442 40.592385)",,,
10854,,-111.904193,40.586691,,,-1,"POINT (-111.904193 40.586691)",,,
11124,,-111.931819,40.609526,,,-1,"POINT (-111.931819 40.609526)",,,
11129,,-111.907639,40.610911,,,-1,"POINT (-111.907639 40.610911)",,,
11146,,-111.938858,40.605898,,,-1,"POINT (-111.938858 40.605898)",,,
11147,,-111.929235,40.607691,,,-1,"POINT (-111.929235 40.607691)",,,
11148,,-111.938793,40.599039,,,-1,"POINT (-111.938793 40.599039)",,,
11150,,-111.910332,40.607207,,,-1,"POINT (-111.910332 40.607207)",,,
11160,,-111.938878,40.590844,,,-1,"POINT (-111.938878 40.590844)",,,
11161,,-111.929272,40.591047,,,-1,"POINT (-111.929272 40.591047)",,,
11172,,-111.938819,40.584171,,,-1,"POINT (-111.938819 40.584171)",,,
11173,,-111.929246,40.584369,,,-1,"POINT (-111.929246 40.584369)",,,
11255,,-111.907886,40.587813,,,-1,"POINT (-111.907886 40.587813)",,,
11489,,-111.902652,40.580647,,,-1,"POINT (-111.902652 40.580647)",,,
11763,,-111.905488,40.584909,,,-1,"POINT (-111.905488 40.584909)",,,
11910,,-111.904258,40.589983,,,-1,"POINT (-111.904258 40.589983)",,,
