zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
22,E2,-122.3225626266667,47.6482868688889,"POLYGON ((-122.3307821 47.64479000000001,-122.3307821 47.649350000000005,-122.32024209999999 47.649350000000005,-122.32024209999999 47.64479000000001,-122.3307821 47.64479000000001))",POINT (-122.3225626266667 47.6482868688889),83,266.65244508294404,375.69518452692483
23,E3,-122.31801967578126,47.64825516171876,"POLYGON ((-122.32024209999999 47.64479000000001,-122.32024209999999 47.649350000000005,-122.30970209999998 47.649350000000005,-122.30970209999998 47.64479000000001,-122.32024209999999 47.64479000000001))",POINT (-122.31801967578126 47.64825516171876),127,199.89204198929914,191.49702069839995
24,E4,-122.30527755,47.6486148875,"POLYGON ((-122.30970209999998 47.64479000000001,-122.30970209999998 47.649350000000005,-122.29916209999998 47.649350000000005,-122.29916209999998 47.64479000000001,-122.30970209999998 47.64479000000001))",POINT (-122.30527755 47.6486148875),16,245.10741483432963,832.0593371325567
25,E5,-122.29389209999997,47.64707000000001,"POLYGON ((-122.29916209999998 47.64479000000001,-122.29916209999998 47.649350000000005,-122.28862209999997 47.649350000000005,-122.28862209999997 47.64479000000001,-122.29916209999998 47.64479000000001))",POINT (-122.29389209999997 47.64707000000001),0,0.0,0.0
26,Gate1,-122.3465921,47.64707,,POINT (-122.3465921 47.64707),0,1000.0,1000.0
27,Gate2,-122.3465921,47.65163,,POINT (-122.3465921 47.65163),0,2000.0,2000.0
28,Gate3,-122.3465921,47.65619,,POINT (-122.3465921 47.65619),0,3000.0,3000.0
29,Gate4,-122.3465921,47.66075,,POINT (-122.3465921 47.66075),0,3000.0,3000.0
30,Gate5,-122.3465921,47.66531,,POINT (-122.3465921 47.66531),0,4000.0,4000.0
31,Gate6,-122.33605209999999,47.669873599999995,,POINT (-122.33605209999999 47.669873599999995),0,3000.0,3000.0
32,Gate7,-122.3255121,47.669873599999995,,POINT (-122.3255121 47.669873599999995),0,10000.0,10000.0
33,Gate8,-122.3149721,47.669873599999995,,POINT (-122.3149721 47.669873599999995),0,10000.0,10000.0
34,Gate9,-122.30443209999999,47.669873599999995,,POINT (-122.30443209999999 47.669873599999995),0,5000.0,5000.0
35,Gate10,-122.2938921,47.669873599999995,,POINT (-122.2938921 47.669873599999995),0,2000.0,2000.0
36,Gate11,-122.28335,47.6653136,,POINT (-122.28335 47.6653136),0,2000.0,2000.0
37,Gate12,-122.28335,47.6607536,,POINT (-122.28335 47.6607536),0,6000.0,6000.0
38,Gate13,-122.28335,47.656193599999995,,POINT (-122.28335 47.656193599999995),0,0.0,0.0
39,Gate14,-122.28335,47.6516336,,POINT (-122.28335 47.6516336),0,0.0,0.0
40,Gate15,-122.28335,47.6470736,,POINT (-122.28335 47.6470736),0,0.0,0.0
41,Gate16,-122.29389,47.64251,,POINT (-122.29389 47.64251),0,0.0,0.0
42,Gate17,-122.30443,47.64251,,POINT (-122.30443 47.64251),0,2000.0,2000.0
43,Gate18,-122.31496999999999,47.64251,,POINT (-122.31496999999999 47.64251),0,0.0,0.0
44,Gate19,-122.32551000000001,47.64251,,POINT (-122.32551000000001 47.64251),0,7000.0,7000.0
45,Gate20,-122.33605,47.64251,,POINT (-122.33605 47.64251),0,0.0,0.0
