link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,main_node_id,movement_str,NEMA_phase_number,geometry,
,TP:EDB->MIA,2085,591,,1,1,33.60001,1,65.0,1900.0,,,,"LINESTRING (-3.243460 55.926690, -3.668470 55.691050)"
,TP:EDB->MIA,591,1436,,1,1,44.85978,1,65.0,1900.0,,,,"LINESTRING (-3.668470 55.691050, -3.353530 55.123050)"
,TP:EDB->MIA,1436,426,,1,1,33.21152,1,65.0,1900.0,,,,"LINESTRING (-3.353530 55.123050, -2.933190 54.890650)"
,TP:EDB->MIA,426,1800,,1,1,19.88253,1,65.0,1900.0,,,,"LINESTRING (-2.933190 54.890650, -2.758880 54.661810)"
,TP:EDB->MIA,1800,1732,,1,1,24.78996,1,65.0,1900.0,,,,"LINESTRING (-2.758880 54.661810, -2.721870 54.304930)"
,TP:EDB->MIA,1732,1337,,1,1,18.66474,1,65.0,1900.0,,,,"LINESTRING (-2.721870 54.304930, -2.807460 54.048730)"
,TP:EDB->MIA,1337,1818,,1,1,21.30383,1,65.0,1900.0,,,,"LINESTRING (-2.807460 54.048730, -2.708130 53.756860)"
,TP:EDB->MIA,1818,586,,1,1,9.14184,1,65.0,1900.0,,,,"LINESTRING (-2.708130 53.756860, -2.626840 53.652540)"
,TP:EDB->MIA,586,310,,1,1,14.92288,1,65.0,1900.0,,,,"LINESTRING (-2.626840 53.652540, -2.425820 53.574140)"
,TP:EDB->MIA,310,2087,,1,1,12.01524,1,65.0,1900.0,,,,"LINESTRING (-2.425820 53.574140, -2.275750 53.486590)"
,TP:EDB->MIA,2087,680,,1,1,1.91174,1,65.0,1900.0,,,,"LINESTRING (-2.275750 53.486590, -2.251050 53.474180)"
,TP:EDB->MIA,680,1508,,1,1,0.62608,1,65.0,1900.0,,,,"LINESTRING (-2.251050 53.474180, -2.242000 53.474030)"
,TP:EDB->MIA,1508,1493,,1,1,0.80089,1,65.0,1900.0,,,,"LINESTRING (-2.242000 53.474030, -2.230910 53.477360)"
,TP:EDB->MIA,1493,1050,,1,1,7.47125,1,65.0,1900.0,,,,"LINESTRING (-2.230910 53.477360, -2.236670 53.369420)"
,TP:EDB->MIA,1050,1538,,1,1,2.52977,1,65.0,1900.0,,,,"LINESTRING (-2.236670 53.369420, -2.272980 53.365040)"
,TP:YRK->RCC,2572,2274,,1,1,26.88470,1,65.0,1900.0,,,,"LINESTRING (-1.093180 53.957970, -1.372590 54.228210)"
,TP:YRK->RCC,2274,1688,,1,1,8.66870,1,65.0,1900.0,,,,"LINESTRING (-1.372590 54.228210, -1.441270 54.333070)"
,TP:YRK->RCC,1688,2573,,1,1,12.73579,1,65.0,1900.0,,,,"LINESTRING (-1.441270 54.333070, -1.351550 54.493900)"
,TP:YRK->RCC,2573,761,,1,1,2.46128,1,65.0,1900.0,,,,"LINESTRING (-1.351550 54.493900, -1.349440 54.529430)"
,TP:YRK->RCC,761,2258,,1,1,3.91095,1,65.0,1900.0,,,,"LINESTRING (-1.349440 54.529430, -1.301410 54.559270)"
,TP:YRK->RCC,2258,1502,,1,1,4.81271,1,65.0,1900.0,,,,"LINESTRING (-1.301410 54.559270, -1.234720 54.579110)"
,TP:YRK->RCC,1502,1882,,1,1,11.62071,1,65.0,1900.0,,,,"LINESTRING (-1.234720 54.579110, -1.070870 54.616230)"
,TP:YRK->MCV,2572,484,,1,1,12.99914,1,65.0,1900.0,,,,"LINESTRING (-1.093180 53.957970, -1.227590 53.826600)"
,TP:YRK->MCV,484,1542,,1,1,7.34180,1,65.0,1900.0,,,,"LINESTRING (-1.227590 53.826600, -1.326790 53.788840)"
,TP:YRK->MCV,2239,1509,,1,1,12.44265,1,65.0,1900.0,,,,"LINESTRING (-2.062740 53.484580, -2.242600 53.487470)"
,TP:RCC->MIA,1509,2035,,1,1,0.89938,1,65.0,1900.0,,,,"LINESTRING (-2.242600 53.487470, -2.254840 53.483080)"
,TP:RCC->MIA,2035,680,,1,1,0.66868,1,65.0,1900.0,,,,"LINESTRING (-2.254840 53.483080, -2.251050 53.474180)"
,TP:RCC->MIA,1493,1014,,1,1,5.83777,1,65.0,1900.0,,,,"LINESTRING (-2.230910 53.477360, -2.231230 53.392900)"
,TP:RCC->MIA,1014,1050,,1,1,1.66595,1,65.0,1900.0,,,,"LINESTRING (-2.231230 53.392900, -2.236670 53.369420)"
,TP:MIA->RCC,1538,1050,,1,1,2.52977,1,65.0,1900.0,,,,"LINESTRING (-2.272980 53.365040, -2.236670 53.369420)"
,TP:MIA->RCC,1050,1014,,1,1,1.66595,1,65.0,1900.0,,,,"LINESTRING (-2.236670 53.369420, -2.231230 53.392900)"
,TP:MIA->RCC,1014,1493,,1,1,5.83777,1,65.0,1900.0,,,,"LINESTRING (-2.231230 53.392900, -2.230910 53.477360)"
,TP:MIA->RCC,1493,1508,,1,1,0.80089,1,65.0,1900.0,,,,"LINESTRING (-2.230910 53.477360, -2.242000 53.474030)"
,TP:MIA->RCC,1508,680,,1,1,0.62608,1,65.0,1900.0,,,,"LINESTRING (-2.242000 53.474030, -2.251050 53.474180)"
,TP:MIA->RCC,680,2035,,1,1,0.66868,1,65.0,1900.0,,,,"LINESTRING (-2.251050 53.474180, -2.254840 53.483080)"
,TP:MIA->RCC,2274,2573,,1,1,18.43033,1,65.0,1900.0,,,,"LINESTRING (-1.372590 54.228210, -1.351550 54.493900)"
,TP:RCC->MIA,2573,2274,,1,1,18.43033,1,65.0,1900.0,,,,"LINESTRING (-1.351550 54.493900, -1.372590 54.228210)"
,TP:SCA->MIA,1995,2027,,1,1,2.81178,1,65.0,1900.0,,,,"LINESTRING (-0.405700 54.279790, -0.417030 54.240750)"
,TP:SCA->MIA,2027,1559,,1,1,27.35107,1,65.0,1900.0,,,,"LINESTRING (-0.417030 54.240750, -0.797220 54.132080)"
,TP:SCA->MIA,1559,2572,,1,1,23.75068,1,65.0,1900.0,,,,"LINESTRING (-0.797220 54.132080, -1.093180 53.957970)"
,TP:HUD->LDS,1188,683,,1,1,2.65566,1,65.0,1900.0,,,,"LINESTRING (-1.784690 53.648500, -1.751900 53.668480)"
,TP:HUD->LDS,683,1546,,1,1,4.11024,1,65.0,1900.0,,,,"LINESTRING (-1.751900 53.668480, -1.692550 53.671400)"
,TP:HUD->LDS,1546,1954,,1,1,2.57306,1,65.0,1900.0,,,,"LINESTRING (-1.692550 53.671400, -1.655580 53.675520)"
,TP:HUD->LDS,1954,672,,1,1,1.93253,1,65.0,1900.0,,,,"LINESTRING (-1.655580 53.675520, -1.633110 53.692130)"
,TP:HUD->LDS,672,366,,1,1,1.41786,1,65.0,1900.0,,,,"LINESTRING (-1.633110 53.692130, -1.622950 53.709940)"
,TP:HUD->LDS,366,1561,,1,1,3.54004,1,65.0,1900.0,,,,"LINESTRING (-1.622950 53.709940, -1.590980 53.749920)"
,TP:HUD->LDS,1561,564,,1,1,1.25818,1,65.0,1900.0,,,,"LINESTRING (-1.590980 53.749920, -1.587710 53.767820)"
,TP:HUD->LDS,564,1357,,1,1,3.35126,1,65.0,1900.0,,,,"LINESTRING (-1.587710 53.767820, -1.548030 53.795630)"
,TP:LDS->HUD,1357,564,,1,1,3.35126,1,65.0,1900.0,,,,"LINESTRING (-1.548030 53.795630, -1.587710 53.767820)"
,TP:LDS->HUD,564,1561,,1,1,1.25818,1,65.0,1900.0,,,,"LINESTRING (-1.587710 53.767820, -1.590980 53.749920)"
,TP:LDS->HUD,1561,366,,1,1,3.54004,1,65.0,1900.0,,,,"LINESTRING (-1.590980 53.749920, -1.622950 53.709940)"
,TP:LDS->HUD,366,672,,1,1,1.41786,1,65.0,1900.0,,,,"LINESTRING (-1.622950 53.709940, -1.633110 53.692130)"
,TP:LDS->HUD,672,1954,,1,1,1.93253,1,65.0,1900.0,,,,"LINESTRING (-1.633110 53.692130, -1.655580 53.675520)"
,TP:LDS->HUD,1954,1546,,1,1,2.57306,1,65.0,1900.0,,,,"LINESTRING (-1.655580 53.675520, -1.692550 53.671400)"
,TP:LDS->HUD,1546,683,,1,1,4.11024,1,65.0,1900.0,,,,"LINESTRING (-1.692550 53.671400, -1.751900 53.668480)"
