od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,path_FF_travel_time_min,distance_km,distance_mile,OD0,OD1,OD2,OD3,OD4,OD5,OD6,OD7,OD8,OD9,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,
26,1,14,0,13,0,0,dms,AM,55.89,1,-111.942300,40.624038,-111.901884,40.620828,4.0006,3.6809,2.2877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
27,1,15,0,14,0,0,p,AM,20.95,1,-111.942300,40.624038,-111.910059,40.625783,3.5557,3.3489,2.0814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
28,1,15,0,14,0,0,dms,AM,20.95,1,-111.942300,40.624038,-111.910059,40.625783,3.5557,3.3489,2.0814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
29,1,16,0,15,0,0,p,AM,26.14,1,-111.942300,40.624038,-111.929192,40.626782,1.5470,1.4553,0.9045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
30,1,16,0,15,0,0,dms,AM,26.14,1,-111.942300,40.624038,-111.929192,40.626782,1.5470,1.4553,0.9045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
31,1,17,0,16,0,0,p,AM,20.39,1,-111.942300,40.624038,-111.933868,40.616707,1.7678,1.5382,0.9560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
32,1,17,0,16,0,0,dms,AM,20.39,1,-111.942300,40.624038,-111.933868,40.616707,1.7678,1.5382,0.9560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
33,1,18,0,17,0,0,p,AM,19.85,1,-111.942300,40.624038,-111.934202,40.630776,2.0613,1.4544,0.9039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
34,1,18,0,17,0,0,dms,AM,19.85,1,-111.942300,40.624038,-111.934202,40.630776,2.0613,1.4544,0.9039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
35,1,19,0,18,0,0,p,AM,25.85,1,-111.942300,40.624038,-111.933963,40.567876,6.6159,6.9222,4.3022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
36,1,19,0,18,0,0,dms,AM,25.85,1,-111.942300,40.624038,-111.933963,40.567876,6.6159,6.9222,4.3022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
37,1,20,0,19,0,0,p,AM,19.25,1,-111.942300,40.624038,-111.924114,40.567177,7.8378,7.7176,4.7965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
38,1,20,0,19,0,0,dms,AM,19.25,1,-111.942300,40.624038,-111.924114,40.567177,7.8378,7.7176,4.7965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
39,1,21,0,20,0,0,p,AM,51.56,1,-111.942300,40.624038,-111.913648,40.554715,9.8456,10.1690,6.3201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
40,1,21,0,20,0,0,dms,AM,51.56,1,-111.942300,40.624038,-111.913648,40.554715,9.8456,10.1690,6.3201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
41,1,22,0,21,0,0,p,AM,26.17,1,-111.942300,40.624038,-111.900748,40.562521,8.8121,8.7728,5.4524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
42,1,22,0,21,0,0,dms,AM,26.17,1,-111.942300,40.624038,-111.900748,40.562521,8.8121,8.7728,5.4524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
43,1,23,0,22,0,0,p,AM,12.00,1,-111.942300,40.624038,-111.902492,40.575680,9.6589,9.1486,5.6859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
