from_stop_id,to_stop_id,transfer_type,min_transfer_time
BEM,BEM,2,300
BEN,BEN,2,300
BEP,BEP,2,300
BER,BER,2,300
BES,BES,2,300
BET,BET,2,300
BEU,BEU,2,360
BEV,BEV,2,300
BEX,BEX,2,240
BEY,BEY,2,300
BFA,BFA,2,1800
BFB,BFB,2,300
BFC,BFC,2,300
BFD,BFD,2,300
BFE,BFE,2,300
BFF,BFF,2,300
BFN,BFN,2,300
BFR,BFR,2,180
BGA,BGA,2,300
BGD,BGD,2,180
BGE,BGE,2,300
BGG,BGG,2,300
BGH,BGH,2,300
BGI,BGI,2,300
BGK,BGK,2,300
BGL,BGL,2,300
BGM,BGM,2,240
BGN,BGN,2,300
BGS,BGS,2,300
BHA,BHA,2,300
BHC,BHC,2,300
BHD,BHD,2,300
BHG,BHG,2,300
BHI,BHI,2,300
BHK,BHK,2,300
BHM,BHM,2,720
BHN,BHN,2,300
BHO,BHO,2,600
BHP,BHP,2,300
BHR,BHR,2,300
BHS,BHS,2,300
BIA,BIA,2,300
BIC,BIC,2,300
BID,BID,2,300
BIF,BIF,2,300
BIG,BIG,2,240
BIH,BIH,2,300
BIK,BIK,2,300
BIL,BIL,2,300
BIN,BIN,2,300
BIO,BIO,2,300
BIP,BIP,2,240
BIS,BIS,2,300
BIT,BIT,2,120
BIW,BIW,2,300
BIY,BIY,2,300
BKA,BKA,2,360
BKC,BKC,2,120
BKD,BKD,2,300
BKG,BKG,2,300
BKH,BKH,2,240
BKI,BKI,2,300
BKJ,BKJ,2,240
BKL,BKL,2,240
BKM,BKM,2,300
BKN,BKN,2,300
BKO,BKO,2,180
BKP,BKP,2,300
BKQ,BKQ,2,300
BKR,BKR,2,300
BKS,BKS,2,240
BKT,BKT,2,300
BKV,BKV,2,300
BKW,BKW,2,300
BLA,BLA,2,300
BLB,BLB,2,300
BLD,BLD,2,300
BLE,BLE,2,300
BLG,BLG,2,300
BLH,BLH,2,300
BLK,BLK,2,300
BLL,BLL,2,300
BLM,BLM,2,240
BLN,BLN,2,300
BLO,BLO,2,300
BLP,BLP,2,300
BLT,BLT,2,300
BLV,BLV,2,300
BLW,BLW,2,300
BLX,BLX,2,300
BLY,BLY,2,300
BMA,BMA,2,300
BMB,BMB,2,300
BMC,BMC,2,300
BMD,BMD,2,300
BME,BME,2,300
BMF,BMF,2,300
BMG,BMG,2,240
BMH,BMH,2,300
BML,BML,2,300
BMM,BMM,2,300
BMN,BMN,2,120
BMO,BMO,2,300
BMP,BMP,2,300
BMR,BMR,2,300
BMS,BMS,2,240
BMT,BMT,2,300
BMV,BMV,2,300
BMY,BMY,2,300
BNA,BNA,2,300
BNC,BNC,2,120
BND,BND,2,300
BNE,BNE,2,180
BNF,BNF,2,300
BNG,BNG,2,300
BNH,BNH,2,60
BNI,BNI,2,360
BNK,BNK,2,300
BNL,BNL,2,300
BNM,BNM,2,300
BNP,BNP,2,300
BNR,BNR,2,300
BNS,BNS,2,300
BNT,BNT,2,300
BNU,BNU,2,300
BNV,BNV,2,300
BNW,BNW,2,300
BNY,BNY,2,300
BOA,BOA,2,300
BOB,BOB,2,300
BOC,BOC,2,300
BOD,BOD,2,300
BOE,BOE,2,360
BOG,BOG,2,240
BOH,BOH,2,240
BOK,BOK,2,300
BOM,BOM,2,300
BON,BON,2,300
BOP,BOP,2,300
BOQ,BOQ,2,300
BOR,BOR,2,300
BOT,BOT,2,300
BOW,BOW,2,300
BPB,BPB,2,300
BPK,BPK,2,300
BPL,BPL,2,60
BPN,BPN,2,300
BPO,BPO,2,300
BPS,BPS,2,300
BPT,BPT,2,300
BPW,BPW,2,420
BRA,BRA,2,300
BRC,BRC,2,300
BRD,BRD,2,300
BRE,BRE,2,180
BRF,BRF,2,300
BRG,BRG,2,240
BRH,BRH,2,300
BRI,BRI,2,600
BRK,BRK,2,240
BRL,BRL,2,300
BRM,BRM,2,300
BRN,BRN,2,300
BRO,BRO,2,300
BRP,BRP,2,300
BRR,BRR,2,300
BRS,BRS,2,360
BRT,BRT,2,300
BRU,BRU,2,300
BRV,BRV,2,180
BRW,BRW,2,300
BRX,BRX,2,300
BRY,BRY,2,180
BRZ,BRZ,2,300
BSB,BSB,2,300
BSC,BSC,2,300
BSD,BSD,2,240
BSE,BSE,2,300
BSG,BSG,2,300
BSH,BSH,2,300
BSI,BSI,2,300
BSJ,BSJ,2,300
BSK,BSK,2,300
BSL,BSL,2,300
BSM,BSM,2,360
BSN,BSN,2,300
BSO,BSO,2,300
BSP,BSP,2,300
BSR,BSR,2,240
BSS,BSS,2,300
BST,BST,2,60
BSU,BSU,2,300
BSV,BSV,2,300
BSW,BSW,2,300
BSY,BSY,2,300
BTB,BTB,2,300
BTD,BTD,2,300
BTE,BTE,2,360
BTF,BTF,2,240
BTG,BTG,2,300
BTH,BTH,2,420
BTL,BTL,2,300
BTN,BTN,2,600
BTO,BTO,2,300
BTP,BTP,2,300
BTR,BTR,2,300
BTS,BTS,2,300
BTT,BTT,2,300
BTY,BTY,2,360
BUA,BUA,2,300
BUB,BUB,2,300
BUC,BUC,2,300
BUD,BUD,2,300
BUE,BUE,2,300
BUG,BUG,2,240
BUH,BUH,2,300
BUI,BUI,2,300
BUJ,BUJ,2,300
BUK,BUK,2,300
BUL,BUL,2,300
BUO,BUO,2,360
BUR,BUR,2,300
BUS,BUS,2,300
BUT,BUT,2,300
BUU,BUU,2,300
BUW,BUW,2,300
BUX,BUX,2,300
BUY,BUY,2,300
BVD,BVD,2,240
BWB,BWB,2,300
BWD,BWD,2,300
BWG,BWG,2,300
BWK,BWK,2,300
BWN,BWN,2,300
BWO,BWO,2,300
BWS,BWS,2,300
BWT,BWT,2,300
BWY,BWY,2,300
BXB,BXB,2,180
BXD,BXD,2,240
BXH,BXH,2,240
BXW,BXW,2,240
BXX,BXX,2,60
BXY,BXY,2,240
BYA,BYA,2,300
BYB,BYB,2,300
BYC,BYC,2,300
BYD,BYD,2,300
BYE,BYE,2,300
BYF,BYF,2,300
BYI,BYI,2,300
BYK,BYK,2,300
BYL,BYL,2,300
BYM,BYM,2,300
BYN,BYN,2,300
BYS,BYS,2,300
BZY,BZY,2,180
CAA,CAA,2,300
CAC,CAC,2,300
CAD,CAD,2,300
CAG,CAG,2,300
CAH,CAH,2,300
CAK,CAK,2,300
CAM,CAM,2,300
CAN,CAN,2,300
CAO,CAO,2,300
CAR,CAR,2,480
CAS,CAS,2,300
CAT,CAT,2,240
CAU,CAU,2,300
CAW,CAW,2,300
CAY,CAY,2,300
CBB,CBB,2,300
CBC,CBC,2,300
CBD,CBD,2,300
CBE,CBE,2,240
CBG,CBG,2,300
CBH,CBH,2,300
CBK,CBK,2,300
CBL,CBL,2,180
CBN,CBN,2,300
CBP,CBP,2,300
CBR,CBR,2,240
CBS,CBS,2,300
CBT,CBT,2,300
CBW,CBW,2,240
CBY,CBY,2,240
CBZ,CBZ,2,300
CCB,CCB,2,300
CCC,CCC,2,300
CCH,CCH,2,240
CCK,CCK,2,300
CCN,CCN,2,300
CCR,CCR,2,300
CCT,CCT,2,300
CDB,CDB,2,300
CDD,CDD,2,300
CDF,CDF,2,420
CDI,CDI,2,300
CDN,CDN,2,240
CDO,CDO,2,300
CDQ,CDQ,2,180
CDR,CDR,2,300
CDS,CDS,2,240
CDT,CDT,2,300
CDU,CDU,2,300
CDY,CDY,2,300
CEA,CEA,2,300
CED,CED,2,300
CEF,CEF,2,300
CEH,CEH,2,300
CEI,CEI,2,60
CEL,CEL,2,300
CEM,CEM,2,300
CES,CES,2,300
CET,CET,2,180
CEY,CEY,2,300
CFB,CFB,2,120
CFC,CFC,2,300
CFD,CFD,2,300
CFF,CFF,2,300
CFH,CFH,2,300
CFL,CFL,2,300
CFN,CFN,2,300
CFO,CFO,2,300
CFR,CFR,2,360
CFT,CFT,2,240
CGD,CGD,2,300
CGM,CGM,2,300
CGN,CGN,2,300
CGT,CGT,2,300
CGW,CGW,2,300
CHB,CHB,2,300
CHC,CHC,2,300
CHD,CHD,2,300
CHE,CHE,2,240
CHF,CHF,2,300
CHG,CHG,2,240
CHH,CHH,2,240
CHI,CHI,2,300
CHJ,CHJ,2,300
CHK,CHK,2,360
CHL,CHL,2,300
CHM,CHM,2,180
CHN,CHN,2,300
CHO,CHO,2,300
CHP,CHP,2,240
CHR,CHR,2,300
CHS,CHS,2,300
CHT,CHT,2,300
CHU,CHU,2,300
CHW,CHW,2,300
CHX,CHX,2,600
CHY,CHY,2,360
CIL,CIL,2,240
CIM,CIM,2,300
CIR,CIR,2,300
CIT,CIT,2,240
CKA,CKA,2,300
CKH,CKH,2,300
CKL,CKL,2,300
CKN,CKN,2,240
CKS,CKS,2,300
CKT,CKT,2,300
CKU,CKU,2,300
CKY,CKY,2,300
CLA,CLA,2,360
CLB,CLB,2,300
CLC,CLC,2,300
CLD,CLD,2,180
CLE,CLE,2,300
CLG,CLG,2,360
CLH,CLH,2,300
CLI,CLI,2,300
CLJ,CLJ,2,600
CLK,CLK,2,120
CLL,CLL,2,240
CLM,CLM,2,300
CLN,CLN,2,300
CLP,CLP,2,240
CLQ,CLQ,2,300
CLR,CLR,2,300
CLS,CLS,2,300
CLT,CLT,2,300
CLU,CLU,2,300
CLV,CLV,2,300
CLW,CLW,2,300
CLX,CLX,2,300
CLY,CLY,2,300
CLZ,CLZ,2,300
CMB,CMB,2,300
CMD,CMD,2,240
CME,CME,2,300
CMF,CMF,2,300
CMH,CMH,2,300
CMI,CMI,2,300
CMK,CMK,2,300
CML,CML,2,300
CMN,CMN,2,300
CMO,CMO,2,300
CMR,CMR,2,300
CMY,CMY,2,300
CNE,CNE,2,300
CNF,CNF,2,300
CNG,CNG,2,300
CNK,CNK,2,300
CNL,CNL,2,300
CNM,CNM,2,300
CNN,CNN,2,300
CNO,CNO,2,300
CNP,CNP,2,180
CNR,CNR,2,300
CNS,CNS,2,240
CNW,CNW,2,300
CNY,CNY,2,300
COA,COA,2,300
COB,COB,2,240
COC,COC,2,60
COE,COE,2,300
COH,COH,2,240
COI,COI,2,300
COK,COK,2,600
COL,COL,2,240
COM,COM,2,300
CON,CON,2,300
COO,COO,2,300
COP,COP,2,300
COQ,COQ,2,300
COR,COR,2,300
COS,COS,2,300
COT,COT,2,300
COU,COU,2,300
COV,COV,2,300
COW,COW,2,300
COY,COY,2,300
COZ,COZ,2,300
CPA,CPA,2,300
CPG,CPG,2,300
CPH,CPH,2,180
CPK,CPK,2,300
CPM,CPM,2,300
CPN,CPN,2,300
CPT,CPT,2,300
CPU,CPU,2,300
CPW,CPW,2,300
CPY,CPY,2,300
CRA,CRA,2,300
CRB,CRB,2,300
CRC,CRC,2,300
CRD,CRD,2,300
CRE,CRE,2,600
CRF,CRF,2,300
CRG,CRG,2,300
CRH,CRH,2,300
CRI,CRI,2,300
CRJ,CRJ,2,300
CRK,CRK,2,300
CRL,CRL,2,300
CRM,CRM,2,300
CRN,CRN,2,300
CRO,CRO,2,180
CRP,CRP,2,600
CRQ,CRQ,2,300
CRR,CRR,2,300
CRS,CRS,2,300
CRT,CRT,2,240
CRU,CRU,2,300
CRV,CRV,2,300
CRW,CRW,2,240
CRY,CRY,2,60
CRZ,CRZ,2,300
CSA,CSA,2,300
CSB,CSB,2,240
CSD,CSD,2,360
CSE,CSE,2,300
CSG,CSG,2,300
CSH,CSH,2,240
CSK,CSK,2,300
CSL,CSL,2,300
CSM,CSM,2,300
CSN,CSN,2,360
CSO,CSO,2,300
CSR,CSR,2,300
CSS,CSS,2,360
CST,CST,2,600
CSW,CSW,2,240
CSY,CSY,2,300
CTB,CTB,2,300
CTE,CTE,2,300
CTF,CTF,2,120
CTH,CTH,2,300
CTK,CTK,2,180
CTL,CTL,2,300
CTM,CTM,2,240
CTN,CTN,2,420
CTO,CTO,2,300
CTR,CTR,2,300
CTT,CTT,2,300
CTW,CTW,2,300
CUA,CUA,2,300
CUB,CUB,2,300
CUD,CUD,2,300
CUF,CUF,2,300
CUH,CUH,2,300
CUL,CUL,2,300
CUM,CUM,2,300
CUP,CUP,2,300
CUS,CUS,2,300
CUW,CUW,2,300
CUX,CUX,2,240
CVG,CVG,2,300
CWB,CWB,2,300
CWC,CWC,2,300
CWD,CWD,2,300
CWE,CWE,2,300
CWH,CWH,2,300
CWL,CWL,2,300
CWM,CWM,2,300
CWN,CWN,2,240
CWS,CWS,2,300
CWU,CWU,2,240
CWX,CWX,2,300
CYB,CYB,2,300
CYK,CYK,2,300
CYN,CYN,2,300
CYP,CYP,2,240
CYS,CYS,2,300
CYT,CYT,2,300
DAG,DAG,2,300
DAK,DAK,2,300
DAL,DAL,2,300
DAM,DAM,2,300
DAN,DAN,2,300
DAR,DAR,2,300
DAT,DAT,2,360
DBC,DBC,2,300
DBD,DBD,2,240
DBE,DBE,2,300
DBG,DBG,2,300
DBL,DBL,2,300
DBP,DBP,2,300
DBR,DBR,2,300
DBY,DBY,2,360
DCG,DCG,2,300
DCH,DCH,2,300
DCL,DCL,2,300
DCT,DCT,2,180
DCW,DCW,2,120
DDB,DDB,2,300
DDG,DDG,2,300
DDK,DDK,2,300
DDP,DDP,2,300
DEA,DEA,2,240
DEB,DEB,2,5880
DEE,DEE,2,300
DEN,DEN,2,300
DEP,DEP,2,240
DEW,DEW,2,300
DFD,DFD,2,240
DFE,DFE,2,300
DFI,DFI,2,300
DFL,DFL,2,300
DFP,DFP,2,1800
DFR,DFR,2,300
DGC,DGC,2,300
DGL,DGL,2,300
DGS,DGS,2,300
DGT,DGT,2,300
DGY,DGY,2,300
DHM,DHM,2,300
DHN,DHN,2,300
DHT,DHT,2,300
DID,DID,2,300
DIG,DIG,2,300
DIN,DIN,2,240
DIS,DIS,2,240
DKD,DKD,2,300
DKG,DKG,2,240
DKR,DKR,2,300
DKT,DKT,2,300
DLE,DLE,2,300
DLG,DLG,2,300
DLH,DLH,2,240
DLJ,DLJ,2,300
DLK,DLK,2,180
DLM,DLM,2,300
DLR,DLR,2,300
DLS,DLS,2,300
DLT,DLT,2,300
DLW,DLW,2,300
DLY,DLY,2,300
DMC,DMC,2,300
DMD,DMD,2,300
DMF,DMF,2,300
DMG,DMG,2,300
DMH,DMH,2,300
DMK,DMK,2,240
DML,DML,2,300
DMP,DMP,2,240
DMR,DMR,2,300
DMS,DMS,2,240
DMY,DMY,2,300
DND,DND,2,300
DNG,DNG,2,240
DNL,DNL,2,300
DNM,DNM,2,300
DNO,DNO,2,300
DNS,DNS,2,300
DNT,DNT,2,300
DNY,DNY,2,300
DOC,DOC,2,300
DOD,DOD,2,300
DOL,DOL,2,300
DON,DON,2,420
DOR,DOR,2,540
DOT,DOT,2,300
DOW,DOW,2,300
DPD,DPD,2,120
DPS,DPS,2,1800
DPT,DPT,2,300
DRA,DRA,2,300
DRD,DRD,2,300
DRF,DRF,2,300
DRG,DRG,2,300
DRI,DRI,2,300
DRM,DRM,2,300
DRN,DRN,2,300
DRO,DRO,2,300
DRT,DRT,2,300
DRU,DRU,2,300
DSL,DSL,2,300
DSM,DSM,2,300
DST,DST,2,300
DSY,DSY,2,300
DTG,DTG,2,180
DTN,DTN,2,300
DTW,DTW,2,300
DUD,DUD,2,300
DUK,DUK,2,300
DUL,DUL,2,300
DUM,DUM,2,300
DUN,DUN,2,300
DUO,DUO,2,300
DUR,DUR,2,240
DUU,DUU,2,300
DVC,DVC,2,300
DVH,DVH,2,300
DVM,DVM,2,300
DVN,DVN,2,300
DVP,DVP,2,240
DVR,DVR,2,300
DVY,DVY,2,240
DWD,DWD,2,300
DWL,DWL,2,300
DWN,DWN,2,300
DWW,DWW,2,300
DYC,DYC,2,300
DYF,DYF,2,300
DYP,DYP,2,300
DZY,DZY,2,300
EAD,EAD,2,360
EAG,EAG,2,240
EAL,EAL,2,60
EAR,EAR,2,360
EAS,EAS,2,300
EBA,EBA,2,300
EBB,EBB,2,300
EBD,EBD,2,300
EBF,EBF,2,300
EBK,EBK,2,300
EBL,EBL,2,300
EBN,EBN,2,240
EBR,EBR,2,120
EBT,EBT,2,120
EBV,EBV,2,300
ECC,ECC,2,300
ECL,ECL,2,300
ECM,ECM,2,300
ECP,ECP,2,300
ECR,ECR,2,300
ECS,ECS,2,300
ECW,ECW,2,300
EDA,EDA,2,300
EDB,EDB,2,600
EDG,EDG,2,300
EDL,EDL,2,300
EDM,EDM,2,300
EDN,EDN,2,240
EDP,EDP,2,300
EDR,EDR,2,300
EDW,EDW,2,240
EDY,EDY,2,300
EFD,EFD,2,300
EFF,EFF,2,360
EFL,EFL,2,240
EGF,EGF,2,300
EGG,EGG,2,300
EGH,EGH,2,360
EGN,EGN,2,300
EGR,EGR,2,300
EGT,EGT,2,300
EGY,EGY,2,300
EHC,EHC,2,300
EKB,EKB,2,300
EKL,EKL,2,300
EKR,EKR,2,300
ELD,ELD,2,240
ELE,ELE,2,240
ELG,ELG,2,300
ELM,ELM,2,300
ELO,ELO,2,300
ELP,ELP,2,300
ELR,ELR,2,300
ELS,ELS,2,300
ELW,ELW,2,240
ELY,ELY,2,360
EMA,EMA,2,300
EMC,EMC,2,300
EMD,EMD,2,300
EML,EML,2,240
EMP,EMP,2,300
EMS,EMS,2,240
ENC,ENC,2,120
ENF,ENF,2,120
ENL,ENL,2,300
ENN,ENN,2,300
ENS,ENS,2,300
ENT,ENT,2,300
EPD,EPD,2,240
EPH,EPH,2,300
EPS,EPS,2,180
ERA,ERA,2,300
ERB,ERB,2,60
ERD,ERD,2,300
ERH,ERH,2,240
ERI,ERI,2,240
ERL,ERL,2,480
ESD,ESD,2,240
ESH,ESH,2,360
ESL,ESL,2,180
ESM,ESM,2,300
EST,EST,2,300
ESW,ESW,2,300
ETC,ETC,2,240
ETL,ETL,2,300
EUS,EUS,2,900
EVE,EVE,2,300
EWD,EWD,2,300
EWE,EWE,2,240
EWR,EWR,2,240
EWW,EWW,2,300
EXC,EXC,2,300
EXD,EXD,2,360
EXG,EXG,2,300
EXM,EXM,2,300
EXN,EXN,2,300
EXQ,EXQ,2,300
EXR,EXR,2,300
EXT,EXT,2,300
EYN,EYN,2,240
FAL,FAL,2,300
FAR,FAR,2,300
FAV,FAV,2,240
FAX,FAX,2,300
FAZ,FAZ,2,300
FBY,FBY,2,180
FCN,FCN,2,240
FEA,FEA,2,300
FEG,FEG,2,300
FEL,FEL,2,300
FEN,FEN,2,300
FER,FER,2,300
FFA,FFA,2,300
FFD,FFD,2,300
FGH,FGH,2,420
FGT,FGT,2,240
FGW,FGW,2,300
FHM,FHM,2,300
FIL,FIL,2,300
FIN,FIN,2,300
FIT,FIT,2,300
FKC,FKC,2,240
FKG,FKG,2,300
FKK,FKK,2,180
FKW,FKW,2,240
FLD,FLD,2,300
FLE,FLE,2,300
FLF,FLF,2,300
FLI,FLI,2,300
FLM,FLM,2,300
FLN,FLN,2,300
FLS,FLS,2,300
FLT,FLT,2,300
FLW,FLW,2,360
FLX,FLX,2,300
FML,FML,2,360
FMR,FMR,2,300
FMT,FMT,2,300
FNB,FNB,2,300
FNC,FNC,2,360
FNH,FNH,2,360
FNN,FNN,2,120
FNR,FNR,2,240
FNT,FNT,2,360
FNV,FNV,2,300
FNW,FNW,2,300
FNY,FNY,2,300
FOC,FOC,2,300
FOD,FOD,2,240
FOG,FOG,2,120
FOH,FOH,2,240
FOK,FOK,2,300
FOR,FOR,2,300
FOT,FOT,2,300
FOX,FOX,2,300
FPK,FPK,2,300
FRB,FRB,2,300
FRD,FRD,2,300
FRE,FRE,2,300
FRF,FRF,2,300
FRI,FRI,2,300
FRL,FRL,2,300
FRM,FRM,2,300
FRN,FRN,2,300
FRO,FRO,2,300
FRS,FRS,2,300
FRT,FRT,2,240
FRW,FRW,2,300
FRY,FRY,2,300
FSB,FSB,2,240
FSG,FSG,2,240
FSK,FSK,2,300
FST,FST,2,420
FTM,FTM,2,300
FTN,FTN,2,300
FTW,FTW,2,300
FWN,FWN,2,300
FWY,FWY,2,300
FXF,FXF,2,300
FXN,FXN,2,300
FYS,FYS,2,300
FZH,FZH,2,300
FZP,FZP,2,300
FZW,FZW,2,300
GAL,GAL,2,300
GAR,GAR,2,300
GBD,GBD,2,300
GBG,GBG,2,300
GBK,GBK,2,300
GBL,GBL,2,300
GBS,GBS,2,240
GCH,GCH,2,300
GCR,GCR,2,420
GCT,GCT,2,300
GCW,GCW,2,300
GDH,GDH,2,300
GDL,GDL,2,300
GDN,GDN,2,240
GDP,GDP,2,300
GEA,GEA,2,300
GER,GER,2,60
GFD,GFD,2,300
GFF,GFF,2,300
GFN,GFN,2,300
GFY,GFY,2,300
GGJ,GGJ,2,300
GGT,GGT,2,300
GGV,GGV,2,300
GIG,GIG,2,300
GIL,GIL,2,300
GIP,GIP,2,240
GIR,GIR,2,300
GKC,GKC,2,300
GKW,GKW,2,300
GLC,GLC,2,900
GLD,GLD,2,300
GLE,GLE,2,300
GLF,GLF,2,300
GLG,GLG,2,300
GLH,GLH,2,300
GLM,GLM,2,240
GLO,GLO,2,300
GLQ,GLQ,2,600
GLS,GLS,2,300
GLT,GLT,2,120
GLY,GLY,2,240
GLZ,GLZ,2,300
GMB,GMB,2,300
GMD,GMD,2,300
GMG,GMG,2,300
GMN,GMN,2,180
GMT,GMT,2,300
GMV,GMV,2,300
GMY,GMY,2,300
GNB,GNB,2,120
GNF,GNF,2,300
GNH,GNH,2,300
GNL,GNL,2,300
GNR,GNR,2,300
GNT,GNT,2,300
GNW,GNW,2,240
GOB,GOB,2,300
GOD,GOD,2,360
GOE,GOE,2,300
GOF,GOF,2,300
GOL,GOL,2,300
GOM,GOM,2,180
GOO,GOO,2,300
GOP,GOP,2,300
GOR,GOR,2,300
GOS,GOS,2,300
GOX,GOX,2,300
GOY,GOY,2,300
GPK,GPK,2,300
GPO,GPO,2,300
GRA,GRA,2,420
GRB,GRB,2,300
GRC,GRC,2,300
GRF,GRF,2,300
GRH,GRH,2,300
GRK,GRK,2,120
GRL,GRL,2,300
GRN,GRN,2,300
GRP,GRP,2,240
GRS,GRS,2,300
GRT,GRT,2,360
GRV,GRV,2,240
GRY,GRY,2,300
GSC,GSC,2,300
GSD,GSD,2,300
GSL,GSL,2,300
GSN,GSN,2,300
GSO,GSO,2,300
GST,GST,2,300
GSW,GSW,2,300
GSY,GSY,2,300
GTA,GTA,2,300
GTH,GTH,2,300
GTN,GTN,2,300
GTO,GTO,2,300
GTR,GTR,2,300
GTW,GTW,2,600
GTY,GTY,2,300
GUD,GUD,2,300
GUI,GUI,2,300
GUN,GUN,2,240
GVE,GVE,2,300
GVH,GVH,2,300
GWE,GWE,2,300
GWN,GWN,2,300
GWY,GWY,2,300
GXX,GXX,2,60
GYM,GYM,2,300
GYP,GYP,2,300
HAB,HAB,2,300
HAC,HAC,2,300
HAD,HAD,2,300
