route_id,agency_id,route_short_name,route_long_name,route_type,route_text_color,route_color,route_url,route_desc
263534,XC,XC:EDB->GLC,XC train service from EDB to GLC,2,,,,Train. First class available. Reservation possible
639,AW,AW:SHR->AYW,AW bus service from SHR to AYW,3,,,,Bus. Standard class only. Reservation not possible
640,TW,TW:APN->SUN,TW underground service from APN to SUN,1,,,,Underground. Standard class only. Reservation not possible
641,TW,TW:SUN->APN,TW underground service from SUN to APN,1,,,,Underground. Standard class only. Reservation not possible
643,XC,XC:BHM->MAN,XC train service from BHM to MAN,2,,,,Train. First class available. Reservation possible
646,XC,XC:SOU->MAN,XC train service from SOU to MAN,2,,,,Train. First class available. Reservation possible
131600,XC,XC:OXF->MAN,XC train service from OXF to MAN,2,,,,Train. First class available. Reservation possible
170130,XC,XC:BAN->MAN,XC train service from BAN to MAN,2,,,,Train. First class available. Reservation possible
263536,XC,XC:RDG->BHM,XC train service from RDG to BHM,2,,,,Train. First class available. Reservation possible
186981,XC,XC:BHI->BHM,XC train service from BHI to BHM,2,,,,Train. First class available. Reservation possible
131601,XC,XC:OXF->BHM,XC train service from OXF to BHM,2,,,,Train. First class available. Reservation possible
170131,XC,XC:BAN->BHM,XC train service from BAN to BHM,2,,,,Train. First class available. Reservation possible
651,XC,XC:CDF->BHM,XC train service from CDF to BHM,2,,,,Train. First class available. Reservation possible
263539,XC,XC:LEI->BHM,XC train service from LEI to BHM,2,,,,Train. First class available. Reservation possible
131603,XC,XC:NUN->BHM,XC train service from NUN to BHM,2,,,,Train. First class available. Reservation not possible
660,XC,XC:NCL->EDB,XC train service from NCL to EDB,2,,,,Train. First class available. Reservation possible
92725,XC,XC:NCL->BWK,XC train service from NCL to BWK,2,,,,Train. First class available. Reservation possible
113361,XC,XC:NCL->MPT,XC train service from NCL to MPT,2,,,,Train. First class available. Reservation possible
661,XC,XC:LDS->GLC,XC train service from LDS to GLC,2,,,,Train. First class available. Reservation possible
113362,XC,XC:LDS->MPT,XC train service from LDS to MPT,2,,,,Train. First class available. Reservation possible
131607,XC,XC:LDS->NCL,XC train service from LDS to NCL,2,,,,Train. First class available. Reservation possible
242626,XC,XC:LDS->BWK,XC train service from LDS to BWK,2,,,,Train. First class available. Reservation possible
263542,XC,XC:BHM->RDG,XC train service from BHM to RDG,2,,,,Train. First class available. Reservation possible
263543,XC,XC:EDB->ABD,XC train service from EDB to ABD,2,,,,Train. First class available. Reservation possible
263544,XC,XC:SSD->CBG,XC train service from SSD to CBG,2,,,,Train. First class available. Reservation possible
674,XC,XC:XAA->BWK,XC bus service from XAA to BWK,3,,,,Bus. Standard class only. Reservation not possible
675,XC,XC:BWK->XAA,XC bus service from BWK to XAA,3,,,,Bus. Standard class only. Reservation not possible
685,SW,SW:POO->WAT,SW train service from POO to WAT,2,,,,Train. First class available. Reservation not possible
92746,SW,SW:POO->WIN,SW train service from POO to WIN,2,,,,Train. First class available. Reservation not possible
131610,SW,SW:BMH->WAT,SW train service from BMH to WAT,2,,,,Train. First class available. Reservation not possible
686,TL,TL:LBG->HRH,TL train service from LBG to HRH,2,,,,Train. First class available. Reservation not possible
131612,TL,TL:BFR->HRH,TL train service from BFR to HRH,2,,,,Train. First class available. Reservation not possible
688,TL,TL:HRH->LBG,TL train service from HRH to LBG,2,,,,Train. First class available. Reservation not possible
92750,TL,TL:HRH->BFR,TL train service from HRH to BFR,2,,,,Train. First class available. Reservation not possible
92754,TL,TL:TBD->BFR,TL train service from TBD to BFR,2,,,,Train. First class available. Reservation not possible
714,TL,TL:LBG->TBD,TL train service from LBG to TBD,2,,,,Train. First class available. Reservation not possible
266075,TL,TL:BDM->TBD,TL train service from BDM to TBD,2,,,,Train. First class available. Reservation not possible
187004,TL,TL:HPD->TBD,TL train service from HPD to TBD,2,,,,Train. First class available. Reservation not possible
266029,TL,TL:TBD->BDM,TL train service from TBD to BDM,2,,,,Train. First class available. Reservation not possible
266203,TL,TL:BDM->GTW,TL train service from BDM to GTW,2,,,,Train. First class available. Reservation not possible
770,TL,TL:GTW->CBG,TL train service from GTW to CBG,2,,,,Train. First class available. Reservation not possible
113395,TL,TL:BTN->CBG,TL train service from BTN to CBG,2,,,,Train. First class available. Reservation not possible
187056,TL,TL:GTW->RYS,TL train service from GTW to RYS,2,,,,Train. First class available. Reservation not possible
131642,TL,TL:HHE->CBG,TL train service from HHE to CBG,2,,,,Train. First class available. Reservation not possible
150323,TL,TL:TBD->CBG,TL train service from TBD to CBG,2,,,,Train. First class available. Reservation not possible
187057,TL,TL:BTN->RYS,TL train service from BTN to RYS,2,,,,Train. First class available. Reservation not possible
772,TL,TL:CBG->BTN,TL train service from CBG to BTN,2,,,,Train. First class available. Reservation not possible
131643,TL,TL:CBG->HHE,TL train service from CBG to HHE,2,,,,Train. First class available. Reservation not possible
150324,TL,TL:CBG->TBD,TL train service from CBG to TBD,2,,,,Train. First class available. Reservation not possible
187058,TL,TL:FPK->BTN,TL train service from FPK to BTN,2,,,,Train. First class available. Reservation not possible
187060,TL,TL:RYS->BTN,TL train service from RYS to BTN,2,,,,Train. First class available. Reservation not possible
797,TL,TL:BTN->BDM,TL train service from BTN to BDM,2,,,,Train. First class available. Reservation not possible
798,TL,TL:LBG->BTN,TL train service from LBG to BTN,2,,,,Train. First class available. Reservation not possible
170232,TL,TL:BFR->BDM,TL train service from BFR to BDM,2,,,,Train. First class available. Reservation not possible
802,TL,TL:BDM->BTN,TL train service from BDM to BTN,2,,,,Train. First class available. Reservation not possible
187088,TL,TL:HPD->BTN,TL train service from HPD to BTN,2,,,,Train. First class available. Reservation not possible
854,TL,TL:BTN->LBG,TL train service from BTN to LBG,2,,,,Train. First class available. Reservation not possible
170260,TL,TL:TBD->LBG,TL train service from TBD to LBG,2,,,,Train. First class available. Reservation not possible
131668,TL,TL:HHE->BDM,TL train service from HHE to BDM,2,,,,Train. First class available. Reservation not possible
856,NT,NT:BPN->MAN,NT train service from BPN to MAN,2,,,,Train. Standard class only. Reservation not possible
857,NT,NT:MAN->SHF,NT train service from MAN to SHF,2,,,,Train. Standard class only. Reservation possible
864,NT,NT:SHF->MAN,NT train service from SHF to MAN,2,,,,Train. Standard class only. Reservation possible
872,GN,GN:MOG->SVG,GN train service from MOG to SVG,2,,,,Train. Standard class only. Reservation not possible
131670,GN,GN:KGX->SVG,GN train service from KGX to SVG,2,,,,Train. Standard class only. Reservation not possible
873,GN,GN:SVG->MOG,GN train service from SVG to MOG,2,,,,Train. Standard class only. Reservation not possible
150352,GN,GN:SVG->KGX,GN train service from SVG to KGX,2,,,,Train. Standard class only. Reservation not possible
170263,GN,GN:HFN->KGX,GN train service from HFN to KGX,2,,,,Train. Standard class only. Reservation not possible
246479,GN,GN:AAP->SVG,GN train service from AAP to SVG,2,,,,Train. Standard class only. Reservation not possible
187149,GN,GN:HFN->SVG,GN train service from HFN to SVG,2,,,,Train. Standard class only. Reservation not possible
187151,GN,GN:AAP->MOG,GN train service from AAP to MOG,2,,,,Train. Standard class only. Reservation not possible
263550,LO,LO:CYP->HHY,LO train service from CYP to HHY,2,,,,Train. Standard class only. Reservation not possible
263551,LO,LO:HHY->NXG,LO train service from HHY to NXG,2,,,,Train. Standard class only. Reservation not possible
263553,LO,LO:NXG->HHY,LO train service from NXG to HHY,2,,,,Train. Standard class only. Reservation not possible
946,LO,LO:HHY->CLJ,LO train service from HHY to CLJ,2,,,,Train. Standard class only. Reservation not possible
92862,LO,LO:HHY->BAK,LO train service from HHY to BAK,2,,,,Train. Standard class only. Reservation not possible
948,LO,LO:WCY->HHY,LO train service from WCY to HHY,2,,,,Train. Standard class only. Reservation not possible
949,LO,LO:WCY->DLJ,LO train service from WCY to DLJ,2,,,,Train. Standard class only. Reservation not possible
951,LE,LE:HPQ->LST,LE train service from HPQ to LST,2,,,,Train. Standard class only. Reservation not possible
170328,LE,LE:HPQ->MNG,LE train service from HPQ to MNG,2,,,,Train. First class available. Reservation not possible
952,LE,LE:CLT->LST,LE train service from CLT to LST,2,,,,Train. First class available. Reservation possible
113434,LE,LE:WON->LST,LE train service from WON to LST,2,,,,Train. First class available. Reservation possible
131735,LE,LE:COL->LST,LE train service from COL to LST,2,,,,Train. First class available. Reservation possible
