from_stop_id,to_stop_id,mode,duration,start_time,end_time,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
ALT,ANH,METRO,2400,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ANH,ALT,METRO,2400,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,ANH,METRO,2220,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ANH,ALT,METRO,2220,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,ASM,METRO,3780,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ASM,ALT,METRO,3780,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,ASM,METRO,3600,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ASM,ALT,METRO,3600,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,ASM,METRO,3780,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ASM,ALT,METRO,3780,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,ASM,METRO,3600,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ASM,ALT,METRO,3600,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,AUL,METRO,4140,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AUL,ALT,METRO,4140,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,AUL,METRO,3960,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AUL,ALT,METRO,3960,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,AUL,METRO,4140,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AUL,ALT,METRO,4140,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,AUL,METRO,3960,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
AUL,ALT,METRO,3960,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,AWL,METRO,4020,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AWL,ALT,METRO,4020,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,AWL,METRO,3840,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AWL,ALT,METRO,3840,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,AWL,METRO,4020,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AWL,ALT,METRO,4020,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,AWL,METRO,3840,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
AWL,ALT,METRO,3840,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,BGK,METRO,3060,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BGK,ALT,METRO,3060,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BGK,METRO,2880,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BGK,ALT,METRO,2880,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BGK,METRO,3060,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BGK,ALT,METRO,3060,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BGK,METRO,2880,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
BGK,ALT,METRO,2880,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,BKV,METRO,3420,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BKV,ALT,METRO,3420,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BKV,METRO,3180,09:29:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BKV,ALT,METRO,3180,09:29:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BKV,METRO,3420,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BKV,ALT,METRO,3420,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BKV,METRO,3180,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
BKV,ALT,METRO,3180,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,BMM,METRO,2460,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BMM,ALT,METRO,2460,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BMM,METRO,2280,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BMM,ALT,METRO,2280,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BMM,METRO,2460,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BMM,ALT,METRO,2460,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BMM,METRO,2280,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
BMM,ALT,METRO,2280,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,BNK,METRO,3420,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BNK,ALT,METRO,3420,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BNK,METRO,3240,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BNK,ALT,METRO,3240,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BNK,METRO,3420,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BNK,ALT,METRO,3420,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BNK,METRO,3240,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
BNK,ALT,METRO,3240,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,BOB,METRO,3720,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BOB,ALT,METRO,3720,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BOB,METRO,3540,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BOB,ALT,METRO,3540,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BOB,METRO,3720,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BOB,ALT,METRO,3720,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BOB,METRO,3540,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
BOB,ALT,METRO,3540,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,BOK,METRO,1140,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BOK,ALT,METRO,1140,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BOK,METRO,960,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BOK,ALT,METRO,960,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BOK,METRO,1140,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BOK,ALT,METRO,1140,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BOK,METRO,960,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
BOK,ALT,METRO,960,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,BRD,METRO,2640,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BRD,ALT,METRO,2640,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BRD,METRO,2460,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BRD,ALT,METRO,2460,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BRD,METRO,2640,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BRD,ALT,METRO,2640,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BRD,METRO,2460,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
BRD,ALT,METRO,2460,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,BRZ,METRO,2520,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BRZ,ALT,METRO,2520,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BRZ,METRO,2340,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BRZ,ALT,METRO,2340,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BRZ,METRO,2520,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BRZ,ALT,METRO,2520,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BRZ,METRO,2340,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
BRZ,ALT,METRO,2340,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,BUR,METRO,3960,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BUR,ALT,METRO,3960,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BUR,METRO,3780,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BUR,ALT,METRO,3780,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BUR,METRO,4380,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
BUR,ALT,METRO,4380,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,BUR,METRO,3780,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
BUR,ALT,METRO,3780,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,CHB,METRO,3240,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CHB,ALT,METRO,3240,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CHB,METRO,3060,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CHB,ALT,METRO,3060,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CHB,METRO,3240,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CHB,ALT,METRO,3240,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CHB,METRO,3060,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
CHB,ALT,METRO,3060,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,CMK,METRO,3540,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CMK,ALT,METRO,3540,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CMK,METRO,3360,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CMK,ALT,METRO,3360,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CMK,METRO,3540,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CMK,ALT,METRO,3540,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CMK,METRO,3360,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
CMK,ALT,METRO,3360,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,CNK,METRO,2340,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CNK,ALT,METRO,2340,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CNK,METRO,2160,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CNK,ALT,METRO,2160,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CNK,METRO,2340,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CNK,ALT,METRO,2340,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CNK,METRO,2160,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
CNK,ALT,METRO,2160,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,COZ,METRO,1860,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
COZ,ALT,METRO,1860,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,COZ,METRO,1680,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
COZ,ALT,METRO,1680,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,COZ,METRO,1860,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
COZ,ALT,METRO,1860,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,COZ,METRO,1680,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
COZ,ALT,METRO,1680,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,CRJ,METRO,3300,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CRJ,ALT,METRO,3300,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CRJ,METRO,3120,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CRJ,ALT,METRO,3120,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CRJ,METRO,3300,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CRJ,ALT,METRO,3300,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CRJ,METRO,3120,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
CRJ,ALT,METRO,3120,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,CRQ,METRO,3000,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CRQ,ALT,METRO,3000,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CRQ,METRO,2820,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CRQ,ALT,METRO,2820,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CRQ,METRO,3000,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
CRQ,ALT,METRO,3000,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,CRQ,METRO,2820,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
CRQ,ALT,METRO,2820,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,DKR,METRO,3960,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
DKR,ALT,METRO,3960,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,DKR,METRO,3780,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
DKR,ALT,METRO,3780,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,DKR,METRO,3960,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
DKR,ALT,METRO,3960,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,DKR,METRO,3780,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
DKR,ALT,METRO,3780,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,DML,METRO,3660,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
DML,ALT,METRO,3660,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,DML,METRO,3480,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
DML,ALT,METRO,3480,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,DML,METRO,3660,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
DML,ALT,METRO,3660,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,DML,METRO,3480,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
DML,ALT,METRO,3480,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,DRD,METRO,1200,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
DRD,ALT,METRO,1200,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,DRD,METRO,1020,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
DRD,ALT,METRO,1020,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,DRD,METRO,1200,17:30:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
DRD,ALT,METRO,1200,17:30:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,DRD,METRO,1020,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
DRD,ALT,METRO,1020,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,DVM,METRO,2700,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
DVM,ALT,METRO,2700,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,DVM,METRO,2520,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
DVM,ALT,METRO,2520,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,DVM,METRO,2700,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
DVM,ALT,METRO,2700,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,DVM,METRO,2520,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
DVM,ALT,METRO,2520,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,ECM,METRO,3240,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ECM,ALT,METRO,3240,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,ECM,METRO,3060,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ECM,ALT,METRO,3060,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,ECM,METRO,3240,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ECM,ALT,METRO,3240,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,ECM,METRO,3060,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ECM,ALT,METRO,3060,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,EDM,METRO,2760,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
EDM,ALT,METRO,2760,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,EDM,METRO,2580,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
EDM,ALT,METRO,2580,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,EDM,METRO,2760,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
EDM,ALT,METRO,2760,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,EDM,METRO,2580,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
EDM,ALT,METRO,2580,06:30:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,EHC,METRO,2880,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
EHC,ALT,METRO,2880,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,EHC,METRO,2700,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
EHC,ALT,METRO,2700,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,EHC,METRO,2880,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
EHC,ALT,METRO,2880,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,EHC,METRO,2700,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
EHC,ALT,METRO,2700,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,ELM,METRO,3420,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ELM,ALT,METRO,3420,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,ELM,METRO,3240,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ELM,ALT,METRO,3240,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,ELM,METRO,3420,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ELM,ALT,METRO,3420,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,ELM,METRO,3240,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ELM,ALT,METRO,3240,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,EXQ,METRO,2160,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
EXQ,ALT,METRO,2160,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,EXQ,METRO,1980,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
EXQ,ALT,METRO,1980,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,EXQ,METRO,2160,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
EXQ,ALT,METRO,2160,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,EXQ,METRO,1980,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
EXQ,ALT,METRO,1980,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
